PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
GA,b,1959,0,0.03367,0.03272,0.14,100000,3272,97193,6791484,67.91
GA,b,1959,1-4,0.00135,0.00536,1.38,96728,519,385551,6694291,69.21
GA,b,1959,5-9,0.00059,0.00294,2.4,96209,283,480307,6308740,65.57
GA,b,1959,10-14,0.00055,0.00275,2.7,95926,264,479020,5828433,60.76
GA,b,1959,15-19,0.00115,0.00574,2.82,95662,550,477114,5349413,55.92
GA,b,1959,20-24,0.00160,0.00799,2.5,95112,760,473660,4872300,51.23
GA,b,1959,25-29,0.00174,0.00864,2.55,94353,815,469769,4398640,46.62
GA,b,1959,30-34,0.00233,0.01156,2.62,93537,1082,465116,3928871,42.00
GA,b,1959,35-39,0.00331,0.01640,2.73,92456,1517,458828,3463755,37.46
GA,b,1959,40-44,0.00492,0.02432,2.7,90939,2212,449605,3004927,33.04
GA,b,1959,45-49,0.00753,0.03699,2.63,88727,3282,435850,2555322,28.80
GA,b,1959,50-54,0.01194,0.05807,2.63,85445,4962,415482,2119472,24.81
GA,b,1959,55-59,0.01697,0.08158,2.65,80483,6566,386990,1703990,21.17
GA,b,1959,60-64,0.02483,0.11702,2.55,73918,8650,348426,1317001,17.82
GA,b,1959,65-69,0.03227,0.14954,2.55,65268,9760,302453,968575,14.84
GA,b,1959,70-74,0.04384,0.19775,2.53,55508,10977,250376,666122,12.00
GA,b,1959,75-79,0.06480,0.27928,2.53,44531,12437,191926,415746,9.34
GA,b,1959,80-84,0.10497,0.41427,2.46,32095,13296,126667,223820,6.97
GA,b,1959,85-89,0.16847,0.57635,2.26,18799,10835,64311,97153,5.17
GA,b,1959,90-94,0.21843,0.67681,2.19,7964,5390,24677,32842,4.12
GA,b,1959,95-99,0.29785,0.78906,2.02,2574,2031,6819,8165,3.17
GA,b,1959,100-104,0.39233,0.87399,1.83,543,475,1210,1346,2.48
GA,b,1959,105-109,0.49659,0.92910,1.63,68,64,128,136,1.99
GA,b,1959,110+,0.58300,1.00000,1.72,5,5,8,8,1.72
GA,b,1960,0,0.03406,0.03310,0.14,100000,3310,97165,6750066,67.50
GA,b,1960,1-4,0.00137,0.00546,1.54,96690,528,385461,6652901,68.81
GA,b,1960,5-9,0.00055,0.00274,2.55,96162,264,480163,6267440,65.18
GA,b,1960,10-14,0.00052,0.00262,2.6,95898,251,478887,5787277,60.35
GA,b,1960,15-19,0.00103,0.00516,2.7,95647,494,477098,5308390,55.50
GA,b,1960,20-24,0.00147,0.00732,2.48,95153,696,474009,4831292,50.77
GA,b,1960,25-29,0.00175,0.00870,2.6,94457,822,470311,4357283,46.13
GA,b,1960,30-34,0.00230,0.01145,2.6,93635,1072,465609,3886972,41.51
GA,b,1960,35-39,0.00332,0.01650,2.77,92563,1527,459411,3421364,36.96
GA,b,1960,40-44,0.00512,0.02528,2.65,91036,2302,449774,2961952,32.54
GA,b,1960,45-49,0.00766,0.03761,2.66,88735,3337,435855,2512178,28.31
GA,b,1960,50-54,0.01266,0.06147,2.62,85397,5249,414516,2076323,24.31
GA,b,1960,55-59,0.01731,0.08313,2.61,80148,6663,384810,1661807,20.73
GA,b,1960,60-64,0.02588,0.12153,2.5,73485,8931,345101,1276997,17.38
GA,b,1960,65-69,0.03458,0.15928,2.53,64554,10282,297380,931896,14.44
GA,b,1960,70-74,0.04622,0.20733,2.52,54272,11252,243438,634516,11.69
GA,b,1960,75-79,0.06692,0.28717,2.53,43020,12354,184620,391078,9.09
GA,b,1960,80-84,0.11307,0.43945,2.47,30666,13476,119183,206458,6.73
GA,b,1960,85-89,0.17117,0.58589,2.31,17190,10071,58838,87276,5.08
GA,b,1960,90-94,0.22865,0.69074,2.13,7118,4917,21505,28438,3.99
GA,b,1960,95-99,0.30090,0.79196,2.01,2201,1743,5794,6933,3.15
GA,b,1960,100-104,0.39141,0.87284,1.83,458,400,1021,1139,2.49
GA,b,1960,105-109,0.49083,0.92642,1.64,58,54,110,117,2.02
GA,b,1960,110+,0.57309,1.00000,1.74,4,4,7,7,1.74
GA,b,1961,0,0.03031,0.02954,0.13,100000,2954,97439,6834595,68.35
GA,b,1961,1-4,0.00125,0.00498,1.55,97046,483,387002,6737156,69.42
GA,b,1961,5-9,0.00052,0.00257,2.24,96564,248,482132,6350154,65.76
GA,b,1961,10-14,0.00054,0.00270,2.7,96315,260,480978,5868023,60.93
GA,b,1961,15-19,0.00104,0.00516,2.87,96055,496,479218,5387045,56.08
GA,b,1961,20-24,0.00147,0.00732,2.5,95559,699,476049,4907827,51.36
GA,b,1961,25-29,0.00179,0.00889,2.56,94860,843,472237,4431777,46.72
GA,b,1961,30-34,0.00211,0.01050,2.59,94016,987,467706,3959540,42.12
GA,b,1961,35-39,0.00314,0.01558,2.59,93029,1449,461661,3491834,37.53
GA,b,1961,40-44,0.00490,0.02424,2.67,91580,2220,452734,3030172,33.09
GA,b,1961,45-49,0.00710,0.03491,2.63,89360,3119,439408,2577438,28.84
GA,b,1961,50-54,0.01124,0.05476,2.63,86241,4723,419995,2138030,24.79
GA,b,1961,55-59,0.01636,0.07868,2.58,81518,6414,392080,1718034,21.08
GA,b,1961,60-64,0.02539,0.11939,2.51,75104,8967,353186,1325955,17.65
GA,b,1961,65-69,0.03387,0.15597,2.47,66137,10315,304562,972768,14.71
GA,b,1961,70-74,0.04406,0.19854,2.51,55822,11083,251562,668207,11.97
GA,b,1961,75-79,0.06428,0.27778,2.56,44739,12428,193340,416644,9.31
GA,b,1961,80-84,0.10791,0.42331,2.46,32311,13678,126753,223304,6.91
GA,b,1961,85-89,0.16217,0.56473,2.31,18634,10523,64890,96551,5.18
GA,b,1961,90-94,0.23600,0.69740,2.07,8111,5656,23968,31661,3.90
GA,b,1961,95-99,0.30187,0.79364,2.01,2454,1948,6452,7694,3.13
GA,b,1961,100-104,0.39721,0.87734,1.82,506,444,1119,1241,2.45
GA,b,1961,105-109,0.50196,0.93119,1.62,62,58,115,123,1.97
GA,b,1961,110+,0.58855,1.00000,1.7,4,4,7,7,1.70
GA,b,1962,0,0.03064,0.02984,0.13,100000,2984,97413,6800407,68.00
GA,b,1962,1-4,0.00132,0.00526,1.53,97016,511,386802,6702993,69.09
GA,b,1962,5-9,0.00056,0.00280,2.21,96505,270,481771,6316192,65.45
GA,b,1962,10-14,0.00051,0.00255,2.8,96235,245,480634,5834421,60.63
GA,b,1962,15-19,0.00117,0.00582,2.82,95989,559,478728,5353786,55.77
GA,b,1962,20-24,0.00150,0.00747,2.57,95431,713,475422,4875058,51.08
GA,b,1962,25-29,0.00170,0.00845,2.62,94717,800,471683,4399637,46.45
GA,b,1962,30-34,0.00231,0.01149,2.61,93917,1079,467013,3927954,41.82
GA,b,1962,35-39,0.00337,0.01673,2.64,92838,1553,460527,3460941,37.28
GA,b,1962,40-44,0.00485,0.02395,2.53,91285,2187,451032,3000414,32.87
GA,b,1962,45-49,0.00736,0.03619,2.65,89099,3225,437923,2549382,28.61
GA,b,1962,50-54,0.01182,0.05748,2.61,85874,4936,417580,2111459,24.59
GA,b,1962,55-59,0.01661,0.07988,2.62,80938,6466,389306,1693878,20.93
GA,b,1962,60-64,0.02437,0.11497,2.55,74473,8562,351358,1304572,17.52
GA,b,1962,65-69,0.03427,0.15788,2.51,65911,10406,303690,953214,14.46
GA,b,1962,70-74,0.04704,0.21038,2.49,55505,11677,248228,649524,11.70
GA,b,1962,75-79,0.06598,0.28390,2.54,43827,12443,188586,401296,9.16
GA,b,1962,80-84,0.11358,0.44267,2.51,31385,13893,122320,212709,6.78
GA,b,1962,85-89,0.16777,0.57524,2.27,17491,10062,59974,90389,5.17
GA,b,1962,90-94,0.22147,0.68133,2.18,7430,5062,22856,30415,4.09
GA,b,1962,95-99,0.29643,0.78669,2.02,2368,1863,6283,7559,3.19
GA,b,1962,100-104,0.38487,0.86805,1.84,505,438,1139,1276,2.53
GA,b,1962,105-109,0.48249,0.92284,1.65,67,61,127,137,2.05
GA,b,1962,110+,0.56346,1.00000,1.77,5,5,9,9,1.77
GA,b,1963,0,0.03183,0.03098,0.14,100000,3098,97324,6766444,67.66
GA,b,1963,1-4,0.00125,0.00499,1.46,96902,484,386380,6669120,68.82
GA,b,1963,5-9,0.00051,0.00256,2.12,96419,247,481381,6282740,65.16
GA,b,1963,10-14,0.00052,0.00258,2.76,96171,248,480302,5801359,60.32
GA,b,1963,15-19,0.00114,0.00570,2.65,95923,546,478329,5321058,55.47
GA,b,1963,20-24,0.00148,0.00739,2.57,95377,705,475168,4842729,50.77
GA,b,1963,25-29,0.00174,0.00867,2.5,94672,821,471309,4367561,46.13
GA,b,1963,30-34,0.00238,0.01181,2.64,93851,1108,466638,3896252,41.52
GA,b,1963,35-39,0.00337,0.01670,2.66,92743,1549,460091,3429614,36.98
GA,b,1963,40-44,0.00513,0.02537,2.68,91194,2314,450600,2969523,32.56
GA,b,1963,45-49,0.00761,0.03738,2.65,88880,3322,436578,2518924,28.34
GA,b,1963,50-54,0.01171,0.05694,2.58,85558,4872,416022,2082345,24.34
GA,b,1963,55-59,0.01655,0.07957,2.58,80686,6420,387887,1666324,20.65
GA,b,1963,60-64,0.02520,0.11869,2.55,74266,8814,349741,1278437,17.21
GA,b,1963,65-69,0.03739,0.17093,2.49,65452,11187,299196,928696,14.19
GA,b,1963,70-74,0.04955,0.22048,2.5,54264,11964,241460,629500,11.60
GA,b,1963,75-79,0.06552,0.28007,2.41,42300,11847,180809,388040,9.17
GA,b,1963,80-84,0.11028,0.43121,2.47,30453,13132,119073,207232,6.80
GA,b,1963,85-89,0.16891,0.58316,2.35,17322,10101,59802,88158,5.09
GA,b,1963,90-94,0.23093,0.69819,2.17,7220,5041,21830,28357,3.93
GA,b,1963,95-99,0.31740,0.81088,1.98,2179,1767,5567,6527,3.00
GA,b,1963,100-104,0.41962,0.89207,1.78,412,368,876,959,2.33
GA,b,1963,105-109,0.53035,0.94155,1.58,44,42,79,83,1.87
GA,b,1963,110+,0.62085,1.00000,1.61,3,3,4,4,1.61
GA,b,1964,0,0.03009,0.02933,0.13,100000,2933,97453,6801148,68.01
GA,b,1964,1-4,0.00127,0.00505,1.62,97067,491,387101,6703695,69.06
GA,b,1964,5-9,0.00051,0.00255,2.38,96577,246,482237,6316594,65.40
