PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
GA,f,1960-1969,0,0.02538,0.02483,0.12,100000,2483,97825,7208412,72.08
GA,f,1960-1969,1-4,0.00117,0.00468,1.51,97517,456,388935,7110587,72.92
GA,f,1960-1969,5-9,0.00047,0.00232,2.33,97061,225,484703,6721652,69.25
GA,f,1960-1969,10-14,0.00038,0.00192,2.63,96836,185,483739,6236949,64.41
GA,f,1960-1969,15-19,0.00070,0.00349,2.72,96650,337,482481,5753211,59.53
GA,f,1960-1969,20-24,0.00087,0.00435,2.55,96313,419,480540,5270730,54.72
GA,f,1960-1969,25-29,0.00114,0.00570,2.64,95894,547,478178,4790190,49.95
GA,f,1960-1969,30-34,0.00170,0.00845,2.67,95347,806,474862,4312011,45.22
GA,f,1960-1969,35-39,0.00255,0.01265,2.65,94541,1196,469899,3837150,40.59
GA,f,1960-1969,40-44,0.00376,0.01861,2.62,93345,1737,462593,3367250,36.07
GA,f,1960-1969,45-49,0.00529,0.02614,2.62,91608,2395,452341,2904657,31.71
GA,f,1960-1969,50-54,0.00809,0.03968,2.59,89214,3540,437545,2452317,27.49
GA,f,1960-1969,55-59,0.01121,0.05460,2.64,85674,4678,417332,2014772,23.52
GA,f,1960-1969,60-64,0.01719,0.08253,2.58,80996,6684,388776,1597439,19.72
GA,f,1960-1969,65-69,0.02497,0.11765,2.55,74312,8743,350173,1208663,16.26
GA,f,1960-1969,70-74,0.03587,0.16489,2.56,65569,10812,301460,858490,13.09
GA,f,1960-1969,75-79,0.05377,0.23731,2.53,54757,12994,241674,557030,10.17
GA,f,1960-1969,80-84,0.09255,0.37665,2.53,41762,15730,169959,315356,7.55
GA,f,1960-1969,85-89,0.14708,0.53041,2.37,26032,13808,93877,145397,5.59
GA,f,1960-1969,90-94,0.21059,0.66440,2.22,12225,8122,38569,51520,4.21
GA,f,1960-1969,95-99,0.29820,0.79084,2.03,4103,3244,10880,12951,3.16
GA,f,1960-1969,100-104,0.40312,0.88230,1.81,858,757,1878,2071,2.41
GA,f,1960-1969,105-109,0.51782,0.93764,1.6,101,95,183,193,1.91
GA,f,1960-1969,110+,0.61189,1.00000,1.63,6,6,10,10,1.63
GA,f,1970-1979,0,0.01653,0.01629,0.1,100000,1629,98533,7464119,74.64
GA,f,1970-1979,1-4,0.00077,0.00308,1.6,98371,303,392760,7365586,74.88
GA,f,1970-1979,5-9,0.00036,0.00179,2.25,98069,175,489862,6972826,71.10
GA,f,1970-1979,10-14,0.00030,0.00152,2.72,97893,149,489127,6482964,66.22
GA,f,1970-1979,15-19,0.00067,0.00333,2.72,97745,325,487981,5993837,61.32
GA,f,1970-1979,20-24,0.00079,0.00394,2.48,97420,383,486133,5505856,56.52
GA,f,1970-1979,25-29,0.00094,0.00470,2.58,97036,457,484075,5019722,51.73
GA,f,1970-1979,30-34,0.00129,0.00642,2.7,96580,620,481472,4535648,46.96
GA,f,1970-1979,35-39,0.00205,0.01021,2.63,95960,980,477477,4054176,42.25
GA,f,1970-1979,40-44,0.00326,0.01617,2.64,94980,1536,471282,3576699,37.66
GA,f,1970-1979,45-49,0.00474,0.02346,2.63,93444,2192,462034,3105417,33.23
GA,f,1970-1979,50-54,0.00687,0.03379,2.6,91252,3083,448872,2643383,28.97
GA,f,1970-1979,55-59,0.00954,0.04665,2.62,88169,4113,431075,2194511,24.89
GA,f,1970-1979,60-64,0.01421,0.06876,2.64,84056,5780,406621,1763436,20.98
GA,f,1970-1979,65-69,0.02026,0.09663,2.61,78276,7564,373281,1356815,17.33
GA,f,1970-1979,70-74,0.03249,0.15065,2.59,70712,10653,327879,983534,13.91
GA,f,1970-1979,75-79,0.04845,0.21676,2.57,60059,13019,268690,655655,10.92
GA,f,1970-1979,80-84,0.08033,0.33576,2.56,47041,15794,196620,386965,8.23
GA,f,1970-1979,85-89,0.12890,0.48414,2.43,31246,15128,117361,190345,6.09
GA,f,1970-1979,90-94,0.19226,0.62856,2.25,16119,10132,52698,72984,4.53
GA,f,1970-1979,95-99,0.27414,0.76203,2.09,5987,4562,16642,20286,3.39
GA,f,1970-1979,100-104,0.37814,0.86530,1.87,1425,1233,3260,3644,2.56
GA,f,1970-1979,105-109,0.49465,0.92932,1.64,192,178,361,384,2.00
GA,f,1970-1979,110+,0.59136,1.00000,1.69,14,14,23,23,1.69
GA,f,1980-1989,0,0.01203,0.01190,0.09,100000,1190,98913,7687007,76.87
GA,f,1980-1989,1-4,0.00056,0.00225,1.64,98810,222,394718,7588093,76.79
GA,f,1980-1989,5-9,0.00028,0.00140,2.15,98588,138,492547,7193375,72.96
GA,f,1980-1989,10-14,0.00024,0.00120,2.64,98450,118,491970,6700829,68.06
GA,f,1980-1989,15-19,0.00057,0.00283,2.69,98332,278,491015,6208859,63.14
GA,f,1980-1989,20-24,0.00065,0.00323,2.54,98053,317,489486,5717844,58.31
GA,f,1980-1989,25-29,0.00078,0.00387,2.55,97736,378,487754,5228358,53.49
GA,f,1980-1989,30-34,0.00100,0.00500,2.63,97358,486,485636,4740603,48.69
GA,f,1980-1989,35-39,0.00139,0.00694,2.68,96872,672,482797,4254967,43.92
GA,f,1980-1989,40-44,0.00213,0.01059,2.7,96200,1019,478658,3772171,39.21
GA,f,1980-1989,45-49,0.00349,0.01729,2.68,95181,1646,472088,3293512,34.60
GA,f,1980-1989,50-54,0.00550,0.02715,2.66,93535,2540,461734,2821424,30.16
GA,f,1980-1989,55-59,0.00819,0.04017,2.65,90995,3656,446394,2359690,25.93
GA,f,1980-1989,60-64,0.01281,0.06217,2.63,87340,5430,423831,1913296,21.91
GA,f,1980-1989,65-69,0.01850,0.08859,2.63,81910,7256,392317,1489465,18.18
GA,f,1980-1989,70-74,0.02840,0.13299,2.62,74654,9928,349595,1097148,14.70
GA,f,1980-1989,75-79,0.04316,0.19528,2.56,64726,12640,292830,747553,11.55
GA,f,1980-1989,80-84,0.07159,0.30463,2.56,52086,15867,221643,454723,8.73
GA,f,1980-1989,85-89,0.11697,0.45000,2.44,36219,16299,139341,233080,6.44
GA,f,1980-1989,90-94,0.18096,0.60782,2.3,19921,12108,66912,93739,4.71
GA,f,1980-1989,95-99,0.26878,0.75601,2.11,7813,5906,21974,26827,3.43
GA,f,1980-1989,100-104,0.37942,0.86715,1.87,1906,1653,4357,4853,2.55
GA,f,1980-1989,105-109,0.50415,0.93358,1.63,253,236,469,497,1.96
GA,f,1980-1989,110+,0.60768,1.00000,1.65,17,17,28,28,1.65
GA,f,1990-1999,0,0.00912,0.00904,0.08,100000,904,99167,7792780,77.93
GA,f,1990-1999,1-4,0.00041,0.00164,1.61,99096,162,395997,7693613,77.64
GA,f,1990-1999,5-9,0.00020,0.00101,2.28,98934,100,494398,7297616,73.76
GA,f,1990-1999,10-14,0.00021,0.00104,2.74,98834,102,493939,6803219,68.83
GA,f,1990-1999,15-19,0.00052,0.00257,2.74,98732,254,493085,6309280,63.90
GA,f,1990-1999,20-24,0.00060,0.00301,2.52,98478,297,491653,5816195,59.06
GA,f,1990-1999,25-29,0.00073,0.00362,2.57,98181,355,490042,5324542,54.23
GA,f,1990-1999,30-34,0.00095,0.00476,2.64,97826,465,488028,4834500,49.42
GA,f,1990-1999,35-39,0.00138,0.00690,2.65,97360,671,485226,4346472,44.64
GA,f,1990-1999,40-44,0.00201,0.01000,2.64,96689,967,481164,3861246,39.93
GA,f,1990-1999,45-49,0.00296,0.01469,2.67,95722,1406,475336,3380082,35.31
GA,f,1990-1999,50-54,0.00462,0.02284,2.67,94316,2154,466560,2904746,30.80
GA,f,1990-1999,55-59,0.00746,0.03669,2.68,92161,3381,452951,2438186,26.46
GA,f,1990-1999,60-64,0.01159,0.05643,2.65,88780,5010,432137,1985236,22.36
GA,f,1990-1999,65-69,0.01753,0.08413,2.62,83770,7048,402061,1553099,18.54
GA,f,1990-1999,70-74,0.02719,0.12772,2.63,76722,9799,360384,1151038,15.00
GA,f,1990-1999,75-79,0.04119,0.18743,2.6,66924,12543,304502,790654,11.81
GA,f,1990-1999,80-84,0.06691,0.28798,2.58,54380,15661,234065,486152,8.94
GA,f,1990-1999,85-89,0.11216,0.43672,2.47,38720,16910,150760,252087,6.51
GA,f,1990-1999,90-94,0.18202,0.61143,2.32,21810,13335,73262,101326,4.65
GA,f,1990-1999,95-99,0.27942,0.77108,2.09,8475,6535,23387,28064,3.31
GA,f,1990-1999,100-104,0.40221,0.88405,1.83,1940,1715,4264,4678,2.41
GA,f,1990-1999,105-109,0.53884,0.94596,1.57,225,213,395,414,1.84
GA,f,1990-1999,110+,0.65044,1.00000,1.54,12,12,19,19,1.54
GA,f,2000-2009,0,0.00765,0.00759,0.07,100000,759,99297,7867855,78.68
GA,f,2000-2009,1-4,0.00031,0.00122,1.61,99241,122,396673,7768558,78.28
GA,f,2000-2009,5-9,0.00014,0.00070,2.45,99119,70,495419,7371885,74.37
GA,f,2000-2009,10-14,0.00016,0.00082,2.67,99050,81,495059,6876466,69.42
GA,f,2000-2009,15-19,0.00043,0.00212,2.85,98968,210,494388,6381407,64.48
GA,f,2000-2009,20-24,0.00056,0.00281,2.59,98758,277,493122,5887019,59.61
GA,f,2000-2009,25-29,0.00069,0.00347,2.66,98481,341,491604,5393897,54.77
GA,f,2000-2009,30-34,0.00089,0.00444,2.6,98139,435,489653,4902293,49.95
GA,f,2000-2009,35-39,0.00129,0.00642,2.65,97704,628,487048,4412641,45.16
GA,f,2000-2009,40-44,0.00206,0.01025,2.67,97076,995,483063,3925593,40.44
GA,f,2000-2009,45-49,0.00310,0.01541,2.65,96081,1480,476922,3442530,35.83
GA,f,2000-2009,50-54,0.00454,0.02246,2.64,94601,2124,467994,2965607,31.35
