PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
GA,m,1960-1964,0,0.03544,0.03439,0.14,100000,3439,97043,6425290,64.25
GA,m,1960-1964,1,0.00222,0.00222,0.5,96561,214,96454,6328247,65.54
GA,m,1960-1964,2,0.00136,0.00136,0.5,96347,131,96282,6231793,64.68
GA,m,1960-1964,3,0.00106,0.00106,0.5,96216,102,96165,6135511,63.77
GA,m,1960-1964,4,0.00078,0.00077,0.5,96114,74,96077,6039346,62.84
GA,m,1960-1964,5,0.00067,0.00067,0.5,96039,65,96007,5943270,61.88
GA,m,1960-1964,6,0.00066,0.00066,0.5,95975,64,95943,5847263,60.93
GA,m,1960-1964,7,0.00053,0.00053,0.5,95911,50,95886,5751320,59.97
GA,m,1960-1964,8,0.00054,0.00054,0.5,95860,52,95835,5655434,59.00
GA,m,1960-1964,9,0.00046,0.00046,0.5,95809,44,95787,5559600,58.03
GA,m,1960-1964,10,0.00048,0.00048,0.5,95764,46,95742,5463813,57.05
GA,m,1960-1964,11,0.00053,0.00053,0.5,95719,51,95694,5368072,56.08
GA,m,1960-1964,12,0.00055,0.00055,0.5,95668,53,95642,5272378,55.11
GA,m,1960-1964,13,0.00076,0.00076,0.5,95615,72,95579,5176736,54.14
GA,m,1960-1964,14,0.00085,0.00085,0.5,95543,81,95502,5081157,53.18
GA,m,1960-1964,15,0.00106,0.00106,0.5,95462,101,95411,4985655,52.23
GA,m,1960-1964,16,0.00126,0.00126,0.5,95361,120,95301,4890244,51.28
GA,m,1960-1964,17,0.00154,0.00154,0.5,95241,146,95168,4794943,50.35
GA,m,1960-1964,18,0.00196,0.00196,0.5,95094,186,95001,4699775,49.42
GA,m,1960-1964,19,0.00183,0.00183,0.5,94908,173,94822,4604774,48.52
GA,m,1960-1964,20,0.00189,0.00189,0.5,94735,179,94645,4509952,47.61
GA,m,1960-1964,21,0.00191,0.00190,0.5,94556,180,94466,4415307,46.70
GA,m,1960-1964,22,0.00225,0.00224,0.5,94376,212,94270,4320842,45.78
GA,m,1960-1964,23,0.00226,0.00226,0.5,94164,212,94058,4226572,44.89
GA,m,1960-1964,24,0.00218,0.00217,0.5,93951,204,93849,4132514,43.99
GA,m,1960-1964,25,0.00219,0.00219,0.5,93747,205,93645,4038665,43.08
GA,m,1960-1964,26,0.00223,0.00223,0.5,93542,208,93438,3945020,42.17
GA,m,1960-1964,27,0.00252,0.00251,0.5,93334,235,93216,3851582,41.27
GA,m,1960-1964,28,0.00237,0.00237,0.5,93099,221,92989,3758366,40.37
GA,m,1960-1964,29,0.00251,0.00251,0.5,92878,233,92762,3665377,39.46
GA,m,1960-1964,30,0.00254,0.00253,0.5,92645,235,92528,3572616,38.56
