PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
HI,b,1960-1969,0,0.02072,0.02035,0.11,100000,2035,98181,7272071,72.72
HI,b,1960-1969,1-4,0.00076,0.00305,1.55,97965,299,391129,7173890,73.23
HI,b,1960-1969,5-9,0.00039,0.00193,2.3,97667,189,487824,6782761,69.45
HI,b,1960-1969,10-14,0.00035,0.00173,2.63,97478,169,486988,6294936,64.58
HI,b,1960-1969,15-19,0.00072,0.00358,2.71,97309,348,485747,5807948,59.69
HI,b,1960-1969,20-24,0.00096,0.00479,2.5,96961,464,483645,5322201,54.89
HI,b,1960-1969,25-29,0.00095,0.00472,2.59,96496,456,481385,4838556,50.14
HI,b,1960-1969,30-34,0.00128,0.00636,2.63,96041,611,478757,4357171,45.37
HI,b,1960-1969,35-39,0.00178,0.00887,2.72,95430,846,475218,3878414,40.64
HI,b,1960-1969,40-44,0.00271,0.01349,2.7,94584,1276,469989,3403196,35.98
HI,b,1960-1969,45-49,0.00445,0.02205,2.7,93308,2057,461818,2933207,31.44
HI,b,1960-1969,50-54,0.00780,0.03829,2.69,91251,3494,448176,2471389,27.08
HI,b,1960-1969,55-59,0.01138,0.05540,2.64,87757,4862,427314,2023213,23.05
HI,b,1960-1969,60-64,0.01699,0.08165,2.61,82895,6769,398299,1595899,19.25
HI,b,1960-1969,65-69,0.02635,0.12379,2.57,76127,9424,357716,1197601,15.73
HI,b,1960-1969,70-74,0.04100,0.18668,2.6,66703,12452,303666,839885,12.59
HI,b,1960-1969,75-79,0.06126,0.26570,2.51,54251,14414,235295,536218,9.88
HI,b,1960-1969,80-84,0.09094,0.37079,2.51,39836,14771,162421,300924,7.55
HI,b,1960-1969,85-89,0.14488,0.52558,2.39,25066,13174,90933,138503,5.53
HI,b,1960-1969,90-94,0.22244,0.68662,2.21,11891,8165,36706,47570,4.00
HI,b,1960-1969,95-99,0.32525,0.82128,1.99,3727,3061,9410,10864,2.92
HI,b,1960-1969,100-104,0.44839,0.90977,1.73,666,606,1351,1454,2.18
HI,b,1960-1969,105-109,0.57944,0.95661,1.5,60,57,99,103,1.71
HI,b,1960-1969,110+,0.68399,1.00000,1.46,3,3,4,4,1.46
HI,b,1970-1979,0,0.01430,0.01412,0.09,100000,1412,98712,7578680,75.79
HI,b,1970-1979,1-4,0.00053,0.00211,1.67,98588,208,393870,7479968,75.87
HI,b,1970-1979,5-9,0.00025,0.00127,2.29,98381,125,491564,7086098,72.03
HI,b,1970-1979,10-14,0.00024,0.00118,2.56,98256,116,490995,6594534,67.12
HI,b,1970-1979,15-19,0.00078,0.00391,2.85,98140,384,489870,6103538,62.19
HI,b,1970-1979,20-24,0.00094,0.00467,2.54,97756,456,487654,5613668,57.43
HI,b,1970-1979,25-29,0.00108,0.00536,2.58,97299,522,485233,5126014,52.68
HI,b,1970-1979,30-34,0.00112,0.00558,2.53,96777,540,482554,4640781,47.95
HI,b,1970-1979,35-39,0.00147,0.00734,2.67,96237,707,479540,4158227,43.21
HI,b,1970-1979,40-44,0.00227,0.01131,2.66,95530,1080,475119,3678687,38.51
HI,b,1970-1979,45-49,0.00379,0.01879,2.68,94450,1775,468139,3203568,33.92
HI,b,1970-1979,50-54,0.00603,0.02976,2.7,92675,2758,457028,2735429,29.52
HI,b,1970-1979,55-59,0.00875,0.04285,2.66,89917,3853,440576,2278401,25.34
HI,b,1970-1979,60-64,0.01321,0.06405,2.63,86064,5513,417272,1837825,21.35
HI,b,1970-1979,65-69,0.02043,0.09746,2.63,80551,7850,384184,1420553,17.64
HI,b,1970-1979,70-74,0.03099,0.14412,2.58,72701,10478,338111,1036369,14.26
HI,b,1970-1979,75-79,0.04778,0.21382,2.55,62223,13305,278466,698258,11.22
HI,b,1970-1979,80-84,0.07465,0.31541,2.54,48918,15429,206683,419792,8.58
HI,b,1970-1979,85-89,0.11896,0.45609,2.44,33489,15274,128393,213109,6.36
HI,b,1970-1979,90-94,0.18383,0.61397,2.3,18215,11184,60838,84717,4.65
HI,b,1970-1979,95-99,0.27242,0.76071,2.1,7031,5349,19634,23879,3.40
HI,b,1970-1979,100-104,0.38330,0.86996,1.86,1683,1464,3819,4244,2.52
HI,b,1970-1979,105-109,0.50835,0.93515,1.62,219,205,402,426,1.95
HI,b,1970-1979,110+,0.61233,1.00000,1.63,14,14,23,23,1.63
HI,b,1980-1989,0,0.00932,0.00925,0.07,100000,925,99144,7781760,77.82
HI,b,1980-1989,1-4,0.00043,0.00170,1.61,99075,169,395899,7682616,77.54
HI,b,1980-1989,5-9,0.00022,0.00110,2.49,98907,109,494261,7286717,73.67
HI,b,1980-1989,10-14,0.00024,0.00121,2.9,98798,119,493739,6792456,68.75
HI,b,1980-1989,15-19,0.00067,0.00333,2.84,98679,328,492683,6298717,63.83
HI,b,1980-1989,20-24,0.00090,0.00448,2.48,98351,441,490640,5806034,59.03
HI,b,1980-1989,25-29,0.00083,0.00412,2.41,97910,404,488504,5315394,54.29
HI,b,1980-1989,30-34,0.00100,0.00499,2.55,97506,486,486337,4826891,49.50
HI,b,1980-1989,35-39,0.00133,0.00665,2.68,97020,645,483601,4340553,44.74
HI,b,1980-1989,40-44,0.00199,0.00993,2.72,96375,957,479691,3856952,40.02
HI,b,1980-1989,45-49,0.00324,0.01609,2.7,95418,1535,473568,3377261,35.39
HI,b,1980-1989,50-54,0.00494,0.02440,2.63,93883,2291,463995,2903693,30.93
HI,b,1980-1989,55-59,0.00768,0.03773,2.65,91593,3455,449845,2439698,26.64
HI,b,1980-1989,60-64,0.01121,0.05460,2.63,88137,4813,429299,1989854,22.58
HI,b,1980-1989,65-69,0.01691,0.08131,2.63,83324,6775,400591,1560555,18.73
HI,b,1980-1989,70-74,0.02627,0.12367,2.64,76549,9467,360443,1159963,15.15
HI,b,1980-1989,75-79,0.04128,0.18821,2.66,67082,12626,305864,799521,11.92
HI,b,1980-1989,80-84,0.06691,0.28774,2.57,54456,15669,234188,493657,9.07
HI,b,1980-1989,85-89,0.10934,0.42834,2.47,38787,16614,151948,259469,6.69
HI,b,1980-1989,90-94,0.17303,0.59159,2.33,22173,13117,75808,107520,4.85
HI,b,1980-1989,95-99,0.26197,0.74728,2.13,9056,6767,25832,31712,3.50
