PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
HI,f,1960-1969,0,0.01763,0.01735,0.1,100000,1735,98442,7562447,75.62
HI,f,1960-1969,1,0.00129,0.00129,0.5,98265,126,98201,7464004,75.96
HI,f,1960-1969,2,0.00065,0.00065,0.5,98138,63,98106,7365803,75.06
HI,f,1960-1969,3,0.00049,0.00049,0.5,98075,48,98051,7267697,74.10
HI,f,1960-1969,4,0.00048,0.00048,0.5,98027,47,98003,7169646,73.14
HI,f,1960-1969,5,0.00043,0.00043,0.5,97980,42,97959,7071643,72.17
HI,f,1960-1969,6,0.00031,0.00031,0.5,97938,30,97923,6973684,71.21
HI,f,1960-1969,7,0.00030,0.00030,0.5,97908,29,97893,6875761,70.23
HI,f,1960-1969,8,0.00035,0.00035,0.5,97879,35,97861,6777868,69.25
HI,f,1960-1969,9,0.00031,0.00031,0.5,97844,30,97829,6680007,68.27
HI,f,1960-1969,10,0.00029,0.00029,0.5,97814,28,97800,6582178,67.29
HI,f,1960-1969,11,0.00027,0.00027,0.5,97786,26,97773,6484378,66.31
HI,f,1960-1969,12,0.00032,0.00032,0.5,97759,31,97744,6386606,65.33
HI,f,1960-1969,13,0.00032,0.00032,0.5,97729,31,97713,6288862,64.35
HI,f,1960-1969,14,0.00033,0.00033,0.5,97697,32,97681,6191149,63.37
HI,f,1960-1969,15,0.00043,0.00043,0.5,97665,42,97645,6093467,62.39
HI,f,1960-1969,16,0.00042,0.00042,0.5,97624,41,97603,5995823,61.42
HI,f,1960-1969,17,0.00049,0.00049,0.5,97583,48,97559,5898219,60.44
HI,f,1960-1969,18,0.00046,0.00046,0.5,97535,45,97513,5800660,59.47
HI,f,1960-1969,19,0.00049,0.00049,0.5,97490,47,97467,5703148,58.50
HI,f,1960-1969,20,0.00059,0.00059,0.5,97443,58,97414,5605681,57.53
HI,f,1960-1969,21,0.00076,0.00076,0.5,97385,74,97348,5508267,56.56
HI,f,1960-1969,22,0.00055,0.00055,0.5,97312,53,97285,5410919,55.60
HI,f,1960-1969,23,0.00055,0.00055,0.5,97258,53,97232,5313634,54.63
HI,f,1960-1969,24,0.00073,0.00073,0.5,97205,71,97169,5216402,53.66
HI,f,1960-1969,25,0.00071,0.00071,0.5,97134,69,97099,5119232,52.70
HI,f,1960-1969,26,0.00065,0.00065,0.5,97065,63,97033,5022133,51.74
HI,f,1960-1969,27,0.00081,0.00081,0.5,97002,79,96963,4925100,50.77
HI,f,1960-1969,28,0.00082,0.00082,0.5,96923,79,96884,4828137,49.81
HI,f,1960-1969,29,0.00084,0.00084,0.5,96844,81,96803,4731254,48.85
HI,f,1960-1969,30,0.00087,0.00087,0.5,96763,84,96721,4634450,47.89
HI,f,1960-1969,31,0.00102,0.00102,0.5,96678,98,96629,4537730,46.94
