HI: Hawaii, Lifetables (period 5x1), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02038	0.02002	0.11	100000	2002	98219	7433658	74.34
1959	1-4	0.00089	0.00356	1.51	97998	349	391126	7335439	74.85
1959	5-9	0.00051	0.00256	2.17	97650	250	487540	6944313	71.11
1959	10-14	0.00016	0.00078	1.7	97400	76	486745	6456773	66.29
1959	15-19	0.00024	0.00118	3.16	97323	115	486404	5970028	61.34
1959	20-24	0.00059	0.00296	1.81	97208	288	485123	5483624	56.41
1959	25-29	0.00080	0.00401	1.99	96920	389	483433	4998501	51.57
1959	30-34	0.00072	0.00361	2.65	96532	348	481840	4515068	46.77
1959	35-39	0.00152	0.00757	2.21	96183	728	478888	4033227	41.93
1959	40-44	0.00176	0.00876	2.47	95455	836	475159	3554339	37.24
1959	45-49	0.00404	0.02001	2.89	94619	1893	469103	3079180	32.54
1959	50-54	0.00823	0.04040	2.83	92726	3747	455483	2610077	28.15
1959	55-59	0.01057	0.05162	2.75	88979	4593	434580	2154594	24.21
1959	60-64	0.01413	0.06840	2.69	84386	5772	408605	1720013	20.38
1959	65-69	0.01989	0.09448	2.36	78614	7428	373456	1311409	16.68
1959	70-74	0.03685	0.16870	2.5	71186	12009	325901	937953	13.18
1959	75-79	0.05590	0.24771	2.71	59177	14659	262251	612051	10.34
1959	80-84	0.08724	0.35831	2.51	44518	15951	182840	349801	7.86
1959	85-89	0.13559	0.50119	2.4	28567	14318	105592	166961	5.84
1959	90-94	0.20401	0.65297	2.24	14249	9304	45607	61369	4.31
1959	95-99	0.29427	0.78696	2.04	4945	3891	13224	15762	3.19
1959	100-104	0.40358	0.88315	1.82	1054	930	2305	2538	2.41
1959	105-109	0.52351	0.93995	1.59	123	116	221	233	1.89
1959	110+	0.62178	1.00000	1.61	7	7	12	12	1.61
1960	0	0.02155	0.02114	0.11	100000	2114	98125	7414483	74.14
1960	1-4	0.00082	0.00327	1.59	97886	320	390773	7316358	74.74
1960	5-9	0.00025	0.00126	2.57	97566	123	487531	6925585	70.98
1960	10-14	0.00060	0.00300	2.29	97443	292	486424	6438054	66.07
1960	15-19	0.00040	0.00202	2.55	97151	196	485273	5951630	61.26
1960	20-24	0.00059	0.00295	2.32	96954	286	484005	5466358	56.38
1960	25-29	0.00055	0.00276	1.95	96668	267	482527	4982353	51.54
1960	30-34	0.00104	0.00521	2.94	96401	503	480971	4499826	46.68
1960	35-39	0.00163	0.00811	2.78	95898	777	477769	4018856	41.91
1960	40-44	0.00280	0.01390	2.29	95121	1322	472023	3541086	37.23
1960	45-49	0.00507	0.02508	2.88	93799	2353	464011	3069063	32.72
1960	50-54	0.00664	0.03266	2.48	91447	2987	449709	2605053	28.49
1960	55-59	0.00966	0.04721	2.56	88460	4176	432114	2155343	24.37
1960	60-64	0.01478	0.07149	2.72	84284	6025	407684	1723229	20.45
1960	65-69	0.02436	0.11538	2.72	78259	9030	370661	1315545	16.81
1960	70-74	0.03627	0.16749	2.72	69229	11595	319688	944883	13.65
1960	75-79	0.05027	0.22441	2.61	57634	12934	257295	625195	10.85
1960	80-84	0.08589	0.35307	2.48	44700	15782	183739	367900	8.23
1960	85-89	0.12452	0.47012	2.4	28918	13595	109178	184162	6.37
1960	90-94	0.17679	0.59689	2.28	15323	9146	51735	74984	4.89
1960	95-99	0.24438	0.71839	2.13	6177	4437	18158	23248	3.76
1960	100-104	0.32706	0.81958	1.96	1740	1426	4359	5090	2.93
1960	105-109	0.42184	0.89243	1.77	314	280	664	731	2.33
1960	110+	0.50129	1.00000	1.99	34	34	67	67	1.99
1961	0	0.01850	0.01820	0.1	100000	1820	98371	7457312	74.57
1961	1-4	0.00075	0.00299	1.64	98180	294	392027	7358941	74.95
1961	5-9	0.00030	0.00149	2.72	97886	146	489099	6966915	71.17
1961	10-14	0.00028	0.00139	1.5	97740	136	488227	6477815	66.28
1961	15-19	0.00048	0.00239	2.53	97605	233	487446	5989588	61.37
1961	20-24	0.00082	0.00410	2.16	97371	399	485721	5502143	56.51
1961	25-29	0.00087	0.00434	2.87	96972	421	483963	5016422	51.73
1961	30-34	0.00082	0.00411	1.77	96551	397	481474	4532458	46.94
1961	35-39	0.00191	0.00952	2.68	96154	916	478647	4050984	42.13
1961	40-44	0.00175	0.00869	2.58	95238	828	474187	3572338	37.51
1961	45-49	0.00426	0.02112	2.97	94410	1994	468010	3098151	32.82
