HI: Hawaii, Lifetables (period 1x1), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02870	0.02800	0.12	100000	2800	97542	6945365	69.45
1959	1	0.00085	0.00085	0.5	97200	82	97159	6847824	70.45
1959	2	0.00087	0.00087	0.5	97118	84	97076	6750665	69.51
1959	3	0.00075	0.00075	0.5	97033	73	96997	6653589	68.57
1959	4	0.00051	0.00051	0.5	96960	49	96936	6556592	67.62
1959	5	0.00051	0.00051	0.5	96911	50	96886	6459656	66.66
1959	6	0.00052	0.00052	0.5	96862	51	96836	6362770	65.69
1959	7	0.00041	0.00041	0.5	96811	39	96791	6265933	64.72
1959	8	0.00029	0.00029	0.5	96772	28	96758	6169142	63.75
1959	9	0.00015	0.00015	0.5	96744	14	96737	6072384	62.77
1959	10	0.00015	0.00015	0.5	96729	14	96722	5975648	61.78
1959	11	0.00030	0.00030	0.5	96715	29	96701	5878926	60.79
1959	12	0.00046	0.00046	0.5	96686	45	96664	5782225	59.80
1959	13	0.00033	0.00033	0.5	96642	32	96626	5685561	58.83
1959	14	0.00067	0.00067	0.5	96610	65	96577	5588935	57.85
1959	15	0.00085	0.00085	0.5	96545	82	96504	5492358	56.89
1959	16	0.00053	0.00053	0.5	96463	51	96438	5395854	55.94
1959	17	0.00086	0.00086	0.5	96412	83	96370	5299416	54.97
1959	18	0.00029	0.00029	0.5	96329	28	96315	5203046	54.01
1959	19	0.00133	0.00133	0.5	96301	128	96237	5106731	53.03
1959	20	0.00197	0.00197	0.5	96173	189	96078	5010494	52.10
1959	21	0.00088	0.00088	0.5	95983	85	95941	4914416	51.20
1959	22	0.00092	0.00092	0.5	95898	88	95855	4818475	50.25
1959	23	0.00145	0.00145	0.5	95811	139	95741	4722620	49.29
1959	24	0.00156	0.00156	0.5	95672	149	95598	4626879	48.36
1959	25	0.00113	0.00112	0.5	95523	107	95469	4531282	47.44
1959	26	0.00093	0.00093	0.5	95416	89	95371	4435812	46.49
1959	27	0.00067	0.00067	0.5	95327	64	95295	4340441	45.53
1959	28	0.00066	0.00066	0.5	95263	63	95231	4245146	44.56
1959	29	0.00043	0.00043	0.5	95200	41	95179	4149914	43.59
1959	30	0.00127	0.00127	0.5	95159	121	95098	4054735	42.61
1959	31	0.00062	0.00062	0.5	95038	59	95009	3959637	41.66
1959	32	0.00142	0.00142	0.5	94979	135	94912	3864628	40.69
1959	33	0.00100	0.00100	0.5	94844	94	94797	3769716	39.75
