HI: Hawaii, Lifetables (period 1x10), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02367	0.02319	0.11	100000	2319	97933	7050101	70.50
1960-1969	1	0.00133	0.00133	0.5	97681	130	97617	6952168	71.17
1960-1969	2	0.00082	0.00082	0.5	97552	80	97512	6854551	70.27
1960-1969	3	0.00063	0.00063	0.5	97472	61	97441	6757040	69.32
1960-1969	4	0.00042	0.00042	0.5	97411	41	97390	6659598	68.37
1960-1969	5	0.00056	0.00056	0.5	97369	54	97342	6562208	67.39
1960-1969	6	0.00044	0.00044	0.5	97315	43	97294	6464866	66.43
1960-1969	7	0.00048	0.00048	0.5	97272	47	97249	6367572	65.46
1960-1969	8	0.00036	0.00036	0.5	97226	35	97208	6270323	64.49
1960-1969	9	0.00032	0.00032	0.5	97190	31	97175	6173115	63.52
1960-1969	10	0.00029	0.00029	0.5	97159	28	97145	6075941	62.54
1960-1969	11	0.00041	0.00041	0.5	97131	40	97111	5978795	61.55
1960-1969	12	0.00035	0.00035	0.5	97091	34	97074	5881684	60.58
1960-1969	13	0.00050	0.00050	0.5	97058	48	97033	5784610	59.60
1960-1969	14	0.00039	0.00039	0.5	97009	38	96990	5687576	58.63
1960-1969	15	0.00068	0.00068	0.5	96971	66	96938	5590586	57.65
1960-1969	16	0.00079	0.00079	0.5	96905	77	96867	5493648	56.69
1960-1969	17	0.00105	0.00105	0.5	96828	102	96777	5396781	55.74
1960-1969	18	0.00096	0.00096	0.5	96726	92	96680	5300004	54.79
1960-1969	19	0.00120	0.00120	0.5	96634	116	96576	5203324	53.85
1960-1969	20	0.00134	0.00134	0.5	96518	129	96453	5106748	52.91
1960-1969	21	0.00096	0.00096	0.5	96389	93	96342	5010295	51.98
1960-1969	22	0.00132	0.00132	0.5	96296	127	96232	4913953	51.03
1960-1969	23	0.00128	0.00128	0.5	96169	123	96107	4817720	50.10
1960-1969	24	0.00120	0.00120	0.5	96046	115	95988	4721613	49.16
1960-1969	25	0.00097	0.00097	0.5	95931	93	95884	4625625	48.22
