PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
IA,f,1960-1964,0,0.01759,0.01731,0.1,100000,1731,98446,7575072,75.75
IA,f,1960-1964,1-4,0.00078,0.00312,1.61,98269,306,392343,7476626,76.08
IA,f,1960-1964,5-9,0.00037,0.00183,2.4,97962,179,489345,7084283,72.32
IA,f,1960-1964,10-14,0.00030,0.00151,2.85,97783,147,488598,6594938,67.44
IA,f,1960-1964,15-19,0.00056,0.00278,2.84,97635,272,487592,6106341,62.54
IA,f,1960-1964,20-24,0.00058,0.00291,2.58,97364,284,486134,5618749,57.71
IA,f,1960-1964,25-29,0.00071,0.00355,2.5,97080,345,484540,5132615,52.87
IA,f,1960-1964,30-34,0.00088,0.00441,2.62,96736,427,482663,4648074,48.05
IA,f,1960-1964,35-39,0.00134,0.00668,2.66,96309,644,480041,4165411,43.25
IA,f,1960-1964,40-44,0.00210,0.01047,2.65,95665,1001,475975,3685370,38.52
IA,f,1960-1964,45-49,0.00328,0.01626,2.64,94664,1539,469693,3209395,33.90
IA,f,1960-1964,50-54,0.00470,0.02325,2.6,93125,2165,460422,2739701,29.42
IA,f,1960-1964,55-59,0.00707,0.03477,2.7,90960,3163,447526,2279280,25.06
IA,f,1960-1964,60-64,0.01101,0.05365,2.66,87797,4711,427970,1831754,20.86
IA,f,1960-1964,65-69,0.01797,0.08625,2.66,83086,7166,398696,1403784,16.90
IA,f,1960-1964,70-74,0.03059,0.14273,2.66,75920,10836,354198,1005088,13.24
IA,f,1960-1964,75-79,0.05385,0.23838,2.6,65084,15515,288135,650889,10.00
IA,f,1960-1964,80-84,0.09241,0.37685,2.55,49569,18680,202147,362755,7.32
IA,f,1960-1964,85-89,0.15670,0.55611,2.39,30889,17178,109624,160607,5.20
IA,f,1960-1964,90-94,0.24180,0.71766,2.17,13711,9840,40695,50983,3.72
IA,f,1960-1964,95-99,0.36062,0.85416,1.92,3871,3307,9169,10288,2.66
IA,f,1960-1964,100-104,0.49723,0.93201,1.65,565,526,1058,1118,1.98
IA,f,1960-1964,105-109,0.63533,0.96858,1.41,38,37,59,60,1.57
IA,f,1960-1964,110+,0.74031,1.00000,1.35,1,1,2,2,1.35
IA,f,1965-1969,0,0.01697,0.01671,0.1,100000,1671,98497,7616568,76.17
IA,f,1965-1969,1-4,0.00067,0.00267,1.74,98329,263,392719,7518072,76.46
IA,f,1965-1969,5-9,0.00034,0.00169,2.44,98066,166,489903,7125353,72.66
IA,f,1965-1969,10-14,0.00027,0.00134,2.6,97900,131,489185,6635450,67.78
IA,f,1965-1969,15-19,0.00061,0.00306,2.85,97769,299,488202,6146265,62.87
IA,f,1965-1969,20-24,0.00068,0.00340,2.48,97470,331,486516,5658063,58.05
IA,f,1965-1969,25-29,0.00063,0.00315,2.6,97139,306,484959,5171547,53.24
IA,f,1965-1969,30-34,0.00095,0.00473,2.69,96833,458,483106,4686588,48.40
IA,f,1965-1969,35-39,0.00130,0.00650,2.6,96375,626,480372,4203481,43.62
IA,f,1965-1969,40-44,0.00210,0.01046,2.78,95748,1001,476514,3723109,38.88
IA,f,1965-1969,45-49,0.00309,0.01535,2.61,94747,1455,470264,3246595,34.27
IA,f,1965-1969,50-54,0.00483,0.02385,2.6,93293,2225,461131,2776331,29.76
IA,f,1965-1969,55-59,0.00732,0.03598,2.7,91068,3277,447800,2315200,25.42
IA,f,1965-1969,60-64,0.01099,0.05357,2.7,87791,4703,428118,1867400,21.27
IA,f,1965-1969,65-69,0.01748,0.08395,2.64,83088,6975,399012,1439282,17.32
IA,f,1965-1969,70-74,0.02920,0.13666,2.66,76113,10402,356217,1040270,13.67
IA,f,1965-1969,75-79,0.04950,0.22145,2.62,65711,14552,293956,684053,10.41
IA,f,1965-1969,80-84,0.08573,0.35505,2.58,51160,18164,211869,390097,7.63
IA,f,1965-1969,85-89,0.14737,0.53315,2.41,32995,17592,119373,178228,5.40
IA,f,1965-1969,90-94,0.23352,0.70616,2.2,15404,10878,46580,58855,3.82
IA,f,1965-1969,95-99,0.35215,0.84756,1.94,4526,3836,10894,12275,2.71
IA,f,1965-1969,100-104,0.49159,0.93012,1.66,690,642,1305,1381,2.00
IA,f,1965-1969,105-109,0.63348,0.96840,1.42,48,47,74,76,1.57
IA,f,1965-1969,110+,0.74133,1.00000,1.35,2,2,2,2,1.35
IA,f,1970-1974,0,0.01433,0.01415,0.09,100000,1415,98717,7698531,76.99
IA,f,1970-1974,1-4,0.00065,0.00258,1.73,98585,254,393764,7599814,77.09
IA,f,1970-1974,5-9,0.00027,0.00136,2.22,98331,134,491282,7206050,73.28
IA,f,1970-1974,10-14,0.00030,0.00148,2.89,98197,145,490677,6714768,68.38
IA,f,1970-1974,15-19,0.00062,0.00312,2.61,98051,306,489526,6224090,63.48
IA,f,1970-1974,20-24,0.00059,0.00296,2.42,97745,289,487981,5734564,58.67
IA,f,1970-1974,25-29,0.00066,0.00332,2.56,97456,323,486491,5246583,53.84
IA,f,1970-1974,30-34,0.00077,0.00386,2.63,97133,375,484777,4760092,49.01
IA,f,1970-1974,35-39,0.00131,0.00652,2.65,96758,631,482302,4275315,44.19
IA,f,1970-1974,40-44,0.00198,0.00985,2.63,96126,947,478382,3793013,39.46
IA,f,1970-1974,45-49,0.00320,0.01587,2.71,95179,1510,472437,3314631,34.83
IA,f,1970-1974,50-54,0.00461,0.02280,2.59,93669,2136,463196,2842193,30.34
IA,f,1970-1974,55-59,0.00704,0.03462,2.64,91533,3169,450193,2378997,25.99
IA,f,1970-1974,60-64,0.01048,0.05114,2.66,88364,4519,431241,1928804,21.83
IA,f,1970-1974,65-69,0.01649,0.07936,2.64,83845,6654,403519,1497563,17.86
IA,f,1970-1974,70-74,0.02711,0.12747,2.66,77192,9840,362918,1094044,14.17
IA,f,1970-1974,75-79,0.04666,0.21013,2.63,67352,14152,303288,731126,10.86
IA,f,1970-1974,80-84,0.07988,0.33391,2.54,53200,17764,222387,427838,8.04
IA,f,1970-1974,85-89,0.13284,0.49500,2.43,35436,17541,132049,205451,5.80
IA,f,1970-1974,90-94,0.21460,0.67398,2.24,17895,12061,56201,73402,4.10
IA,f,1970-1974,95-99,0.32032,0.81738,2,5834,4769,14887,17201,2.95
IA,f,1970-1974,100-104,0.45064,0.91159,1.73,1065,971,2155,2314,2.17
