PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
IA,m,1960-1964,0,0.02414,0.02364,0.11,100000,2364,97896,6878116,68.78
IA,m,1960-1964,1-4,0.00093,0.00371,1.7,97636,362,389713,6780220,69.44
IA,m,1960-1964,5-9,0.00049,0.00245,2.32,97274,239,485731,6390507,65.70
IA,m,1960-1964,10-14,0.00055,0.00275,2.73,97036,266,484573,5904776,60.85
IA,m,1960-1964,15-19,0.00147,0.00735,2.79,96769,711,482274,5420203,56.01
IA,m,1960-1964,20-24,0.00192,0.00956,2.49,96058,918,477986,4937929,51.41
IA,m,1960-1964,25-29,0.00156,0.00778,2.35,95140,740,473741,4459943,46.88
IA,m,1960-1964,30-34,0.00154,0.00766,2.59,94400,723,470258,3986203,42.23
IA,m,1960-1964,35-39,0.00221,0.01099,2.66,93677,1030,465976,3515945,37.53
IA,m,1960-1964,40-44,0.00346,0.01718,2.75,92647,1592,459658,3049969,32.92
IA,m,1960-1964,45-49,0.00596,0.02938,2.71,91055,2676,449143,2590311,28.45
IA,m,1960-1964,50-54,0.00986,0.04820,2.68,88380,4260,432018,2141167,24.23
IA,m,1960-1964,55-59,0.01584,0.07636,2.67,84120,6423,405615,1709150,20.32
IA,m,1960-1964,60-64,0.02386,0.11284,2.6,77696,8767,367429,1303534,16.78
IA,m,1960-1964,65-69,0.03544,0.16332,2.6,68929,11258,317635,936106,13.58
IA,m,1960-1964,70-74,0.05299,0.23459,2.56,57672,13529,255313,618471,10.72
IA,m,1960-1964,75-79,0.08001,0.33391,2.52,44143,14740,184216,363158,8.23
IA,m,1960-1964,80-84,0.12669,0.47860,2.45,29403,14072,111077,178942,6.09
IA,m,1960-1964,85-89,0.19460,0.63726,2.29,15330,9769,50202,67865,4.43
IA,m,1960-1964,90-94,0.29441,0.78831,2.05,5561,4384,14890,17663,3.18
IA,m,1960-1964,95-99,0.41295,0.89011,1.8,1177,1048,2537,2773,2.36
IA,m,1960-1964,100-104,0.54339,0.94689,1.56,129,122,225,236,1.82
IA,m,1960-1964,105-109,0.66920,0.97369,1.36,7,7,10,10,1.49
IA,m,1960-1964,110+,0.76276,1.00000,1.31,0,0,0,0,1.31
IA,m,1965-1969,0,0.02176,0.02135,0.1,100000,2135,98086,6870329,68.70
IA,m,1965-1969,1-4,0.00086,0.00342,1.7,97865,335,390689,6772243,69.20
IA,m,1965-1969,5-9,0.00044,0.00221,2.5,97530,216,487111,6381553,65.43
IA,m,1965-1969,10-14,0.00051,0.00256,2.67,97315,249,485993,5894442,60.57
IA,m,1965-1969,15-19,0.00169,0.00844,2.98,97065,820,483671,5408449,55.72
IA,m,1965-1969,20-24,0.00194,0.00963,2.34,96246,927,478761,4924778,51.17
IA,m,1965-1969,25-29,0.00166,0.00825,2.4,95319,787,474551,4446017,46.64
IA,m,1965-1969,30-34,0.00173,0.00862,2.53,94532,815,470646,3971466,42.01
IA,m,1965-1969,35-39,0.00224,0.01113,2.65,93718,1043,466141,3500820,37.35
IA,m,1965-1969,40-44,0.00348,0.01728,2.7,92675,1601,459699,3034679,32.75
IA,m,1965-1969,45-49,0.00601,0.02962,2.67,91074,2698,449071,2574980,28.27
IA,m,1965-1969,50-54,0.00980,0.04791,2.72,88376,4234,432242,2125909,24.06
IA,m,1965-1969,55-59,0.01583,0.07631,2.66,84142,6421,405682,1693668,20.13
IA,m,1965-1969,60-64,0.02458,0.11611,2.62,77721,9024,367134,1287986,16.57
IA,m,1965-1969,65-69,0.03683,0.16902,2.57,68697,11611,315278,920852,13.40
IA,m,1965-1969,70-74,0.05502,0.24256,2.56,57085,13847,251668,605574,10.61
IA,m,1965-1969,75-79,0.08258,0.34155,2.47,43238,14768,178830,353906,8.18
IA,m,1965-1969,80-84,0.12426,0.47122,2.44,28470,13416,107963,175077,6.15
IA,m,1965-1969,85-89,0.19353,0.63126,2.25,15055,9503,49104,67114,4.46
IA,m,1965-1969,90-94,0.28767,0.78077,2.07,5551,4334,15067,18009,3.24
