PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
ID,b,1960-1964,0,0.02313,0.02267,0.11,100000,2267,97989,7135099,71.35
ID,b,1960-1964,1,0.00183,0.00183,0.5,97733,179,97644,7037110,72.00
ID,b,1960-1964,2,0.00110,0.00110,0.5,97554,108,97501,6939466,71.13
ID,b,1960-1964,3,0.00085,0.00085,0.5,97447,82,97406,6841966,70.21
ID,b,1960-1964,4,0.00066,0.00066,0.5,97364,65,97332,6744560,69.27
ID,b,1960-1964,5,0.00053,0.00053,0.5,97300,52,97274,6647228,68.32
ID,b,1960-1964,6,0.00053,0.00053,0.5,97248,52,97222,6549954,67.35
ID,b,1960-1964,7,0.00045,0.00045,0.5,97196,43,97175,6452732,66.39
ID,b,1960-1964,8,0.00045,0.00045,0.5,97153,44,97131,6355557,65.42
ID,b,1960-1964,9,0.00050,0.00050,0.5,97109,48,97085,6258426,64.45
ID,b,1960-1964,10,0.00039,0.00039,0.5,97061,38,97042,6161341,63.48
ID,b,1960-1964,11,0.00062,0.00062,0.5,97023,60,96993,6064299,62.50
ID,b,1960-1964,12,0.00043,0.00043,0.5,96963,41,96942,5967306,61.54
ID,b,1960-1964,13,0.00044,0.00044,0.5,96922,42,96901,5870364,60.57
ID,b,1960-1964,14,0.00078,0.00078,0.5,96879,76,96841,5773463,59.59
ID,b,1960-1964,15,0.00079,0.00079,0.5,96804,76,96765,5676622,58.64
ID,b,1960-1964,16,0.00111,0.00111,0.5,96727,107,96674,5579856,57.69
ID,b,1960-1964,17,0.00139,0.00139,0.5,96620,134,96553,5483182,56.75
ID,b,1960-1964,18,0.00143,0.00143,0.5,96486,138,96417,5386629,55.83
ID,b,1960-1964,19,0.00179,0.00179,0.5,96348,172,96262,5290212,54.91
ID,b,1960-1964,20,0.00165,0.00164,0.5,96176,158,96097,5193950,54.00
ID,b,1960-1964,21,0.00196,0.00196,0.5,96018,188,95924,5097853,53.09
ID,b,1960-1964,22,0.00178,0.00178,0.5,95830,170,95745,5001929,52.20
ID,b,1960-1964,23,0.00124,0.00123,0.5,95660,118,95601,4906185,51.29
ID,b,1960-1964,24,0.00153,0.00153,0.5,95541,146,95468,4810584,50.35
ID,b,1960-1964,25,0.00151,0.00151,0.5,95395,144,95323,4715116,49.43
ID,b,1960-1964,26,0.00164,0.00164,0.5,95251,156,95173,4619792,48.50
ID,b,1960-1964,27,0.00177,0.00177,0.5,95095,168,95011,4524619,47.58
ID,b,1960-1964,28,0.00127,0.00127,0.5,94926,120,94866,4429609,46.66
ID,b,1960-1964,29,0.00159,0.00159,0.5,94806,150,94731,4334743,45.72
ID,b,1960-1964,30,0.00131,0.00131,0.5,94656,124,94594,4240012,44.79
ID,b,1960-1964,31,0.00143,0.00143,0.5,94532,135,94464,4145418,43.85
ID,b,1960-1964,32,0.00148,0.00148,0.5,94397,140,94327,4050954,42.91
ID,b,1960-1964,33,0.00141,0.00141,0.5,94257,133,94191,3956627,41.98
ID,b,1960-1964,34,0.00172,0.00172,0.5,94124,162,94044,3862436,41.04
ID,b,1960-1964,35,0.00180,0.00180,0.5,93963,169,93878,3768392,40.11
ID,b,1960-1964,36,0.00206,0.00206,0.5,93793,193,93697,3674515,39.18
ID,b,1960-1964,37,0.00183,0.00183,0.5,93600,171,93515,3580818,38.26
ID,b,1960-1964,38,0.00213,0.00213,0.5,93429,199,93330,3487303,37.33
ID,b,1960-1964,39,0.00257,0.00257,0.5,93230,240,93110,3393974,36.40
ID,b,1960-1964,40,0.00228,0.00227,0.5,92991,211,92885,3300863,35.50
ID,b,1960-1964,41,0.00299,0.00298,0.5,92779,277,92641,3207978,34.58
ID,b,1960-1964,42,0.00304,0.00303,0.5,92503,281,92362,3115337,33.68
ID,b,1960-1964,43,0.00356,0.00356,0.5,92222,328,92058,3022974,32.78
ID,b,1960-1964,44,0.00365,0.00364,0.5,91894,334,91727,2930916,31.89
ID,b,1960-1964,45,0.00402,0.00401,0.5,91560,367,91376,2839189,31.01
ID,b,1960-1964,46,0.00370,0.00369,0.5,91193,336,91024,2747813,30.13
ID,b,1960-1964,47,0.00572,0.00571,0.5,90856,519,90597,2656789,29.24
ID,b,1960-1964,48,0.00513,0.00511,0.5,90338,462,90107,2566192,28.41
ID,b,1960-1964,49,0.00586,0.00584,0.5,89876,525,89613,2476086,27.55
ID,b,1960-1964,50,0.00610,0.00609,0.5,89351,544,89079,2386472,26.71
ID,b,1960-1964,51,0.00668,0.00666,0.5,88807,591,88511,2297394,25.87
ID,b,1960-1964,52,0.00761,0.00758,0.5,88216,668,87882,2208882,25.04
ID,b,1960-1964,53,0.00789,0.00786,0.5,87547,688,87203,2121000,24.23
ID,b,1960-1964,54,0.00899,0.00895,0.5,86859,777,86471,2033797,23.41
ID,b,1960-1964,55,0.00928,0.00924,0.5,86082,795,85685,1947326,22.62
ID,b,1960-1964,56,0.01057,0.01052,0.5,85287,897,84838,1861642,21.83
ID,b,1960-1964,57,0.01093,0.01087,0.5,84390,917,83931,1776803,21.05
ID,b,1960-1964,58,0.01257,0.01249,0.5,83473,1043,82952,1692872,20.28
ID,b,1960-1964,59,0.01374,0.01365,0.5,82430,1125,81868,1609920,19.53
ID,b,1960-1964,60,0.01671,0.01657,0.5,81305,1348,80631,1528053,18.79
ID,b,1960-1964,61,0.01721,0.01706,0.5,79958,1364,79275,1447421,18.10
ID,b,1960-1964,62,0.01644,0.01631,0.5,78593,1282,77953,1368146,17.41
ID,b,1960-1964,63,0.01875,0.01857,0.5,77312,1436,76594,1290193,16.69
ID,b,1960-1964,64,0.02100,0.02078,0.5,75876,1577,75087,1213600,15.99
ID,b,1960-1964,65,0.02162,0.02138,0.5,74299,1589,73505,1138512,15.32
ID,b,1960-1964,66,0.02377,0.02349,0.5,72710,1708,71856,1065008,14.65
ID,b,1960-1964,67,0.02576,0.02544,0.5,71002,1806,70099,993151,13.99
ID,b,1960-1964,68,0.02790,0.02751,0.5,69196,1904,68244,923052,13.34
ID,b,1960-1964,69,0.03208,0.03158,0.5,67292,2125,66230,854808,12.70
ID,b,1960-1964,70,0.03427,0.03369,0.5,65168,2196,64070,788578,12.10
ID,b,1960-1964,71,0.03796,0.03725,0.5,62972,2346,61799,724508,11.51
ID,b,1960-1964,72,0.04012,0.03933,0.5,60626,2384,59434,662709,10.93
ID,b,1960-1964,73,0.04455,0.04358,0.5,58242,2538,56973,603275,10.36
ID,b,1960-1964,74,0.04935,0.04816,0.5,55704,2683,54362,546302,9.81
ID,b,1960-1964,75,0.05463,0.05317,0.5,53021,2819,51611,491939,9.28
ID,b,1960-1964,76,0.05930,0.05759,0.5,50202,2891,48756,440328,8.77
ID,b,1960-1964,77,0.06442,0.06241,0.5,47310,2953,45834,391572,8.28
ID,b,1960-1964,78,0.07108,0.06864,0.5,44358,3045,42835,345738,7.79
ID,b,1960-1964,79,0.07874,0.07576,0.5,41313,3130,39748,302903,7.33
ID,b,1960-1964,80,0.08738,0.08372,0.5,38183,3197,36585,263154,6.89
ID,b,1960-1964,81,0.09638,0.09195,0.5,34987,3217,33378,226569,6.48
ID,b,1960-1964,82,0.10621,0.10085,0.5,31770,3204,30168,193191,6.08
ID,b,1960-1964,83,0.11691,0.11045,0.5,28566,3155,26988,163024,5.71
ID,b,1960-1964,84,0.12854,0.12078,0.5,25410,3069,23876,136036,5.35
ID,b,1960-1964,85,0.14114,0.13184,0.5,22341,2945,20869,112160,5.02
ID,b,1960-1964,86,0.15477,0.14365,0.5,19396,2786,18003,91291,4.71
ID,b,1960-1964,87,0.16945,0.15621,0.5,16610,2595,15312,73288,4.41
ID,b,1960-1964,88,0.18522,0.16952,0.5,14015,2376,12827,57976,4.14
ID,b,1960-1964,89,0.20211,0.18356,0.5,11639,2137,10571,45149,3.88
ID,b,1960-1964,90,0.22014,0.19831,0.5,9503,1884,8560,34578,3.64
ID,b,1960-1964,91,0.23929,0.21372,0.5,7618,1628,6804,26017,3.42
ID,b,1960-1964,92,0.25957,0.22975,0.5,5990,1376,5302,19213,3.21
ID,b,1960-1964,93,0.28093,0.24633,0.5,4614,1137,4046,13911,3.02
ID,b,1960-1964,94,0.30335,0.26340,0.5,3477,916,3019,9866,2.84
ID,b,1960-1964,95,0.32675,0.28087,0.5,2561,719,2202,6847,2.67
ID,b,1960-1964,96,0.35107,0.29864,0.5,1842,550,1567,4645,2.52
ID,b,1960-1964,97,0.37619,0.31663,0.5,1292,409,1087,3078,2.38
ID,b,1960-1964,98,0.40201,0.33473,0.5,883,296,735,1991,2.25
ID,b,1960-1964,99,0.42841,0.35283,0.5,587,207,484,1256,2.14
ID,b,1960-1964,100,0.45523,0.37083,0.5,380,141,310,772,2.03
ID,b,1960-1964,101,0.48233,0.38861,0.5,239,93,193,462,1.93
ID,b,1960-1964,102,0.50956,0.40609,0.5,146,59,117,270,1.84
ID,b,1960-1964,103,0.53674,0.42317,0.5,87,37,68,153,1.76
ID,b,1960-1964,104,0.56372,0.43977,0.5,50,22,39,85,1.69
ID,b,1960-1964,105,0.59035,0.45581,0.5,28,13,22,46,1.62
ID,b,1960-1964,106,0.61647,0.47122,0.5,15,7,12,24,1.56
ID,b,1960-1964,107,0.64195,0.48597,0.5,8,4,6,12,1.51
ID,b,1960-1964,108,0.66667,0.50000,0.5,4,2,3,6,1.46
ID,b,1960-1964,109,0.69052,0.51330,0.5,2,1,2,3,1.43
ID,b,1960-1964,110+,0.71341,1.00000,1.4,1,1,1,1,1.40
ID,b,1965-1969,0,0.02066,0.02028,0.11,100000,2028,98186,7170151,71.70
ID,b,1965-1969,1,0.00185,0.00185,0.5,97972,181,97881,7071964,72.18
ID,b,1965-1969,2,0.00136,0.00136,0.5,97791,133,97724,6974083,71.32
ID,b,1965-1969,3,0.00091,0.00091,0.5,97657,89,97613,6876359,70.41
ID,b,1965-1969,4,0.00075,0.00075,0.5,97569,73,97532,6778746,69.48
ID,b,1965-1969,5,0.00039,0.00039,0.5,97496,38,97477,6681214,68.53
ID,b,1965-1969,6,0.00050,0.00050,0.5,97458,49,97433,6583737,67.55
ID,b,1965-1969,7,0.00052,0.00052,0.5,97409,50,97384,6486303,66.59
ID,b,1965-1969,8,0.00043,0.00043,0.5,97359,42,97338,6388920,65.62
ID,b,1965-1969,9,0.00043,0.00043,0.5,97317,41,97296,6291582,64.65
ID,b,1965-1969,10,0.00043,0.00043,0.5,97276,41,97255,6194285,63.68
ID,b,1965-1969,11,0.00029,0.00029,0.5,97234,28,97220,6097030,62.70
ID,b,1965-1969,12,0.00049,0.00049,0.5,97206,48,97183,5999810,61.72
ID,b,1965-1969,13,0.00048,0.00048,0.5,97159,47,97135,5902627,60.75
ID,b,1965-1969,14,0.00092,0.00092,0.5,97112,89,97067,5805492,59.78
ID,b,1965-1969,15,0.00091,0.00091,0.5,97023,89,96979,5708425,58.84
ID,b,1965-1969,16,0.00136,0.00136,0.5,96934,132,96868,5611446,57.89
ID,b,1965-1969,17,0.00129,0.00129,0.5,96803,125,96740,5514578,56.97
ID,b,1965-1969,18,0.00184,0.00184,0.5,96678,178,96589,5417838,56.04
ID,b,1965-1969,19,0.00143,0.00143,0.5,96500,138,96431,5321249,55.14
ID,b,1965-1969,20,0.00141,0.00141,0.5,96361,136,96294,5224818,54.22
