ID: Idaho, Lifetables (period 1x10), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.01864	0.01833	0.11	100000	1833	98359	7565505	75.66
1960-1969	1	0.00164	0.00164	0.5	98167	161	98086	7467145	76.07
1960-1969	2	0.00097	0.00097	0.5	98005	95	97958	7369059	75.19
1960-1969	3	0.00063	0.00063	0.5	97910	62	97879	7271102	74.26
1960-1969	4	0.00045	0.00045	0.5	97849	44	97827	7173222	73.31
1960-1969	5	0.00038	0.00038	0.5	97805	37	97786	7075396	72.34
1960-1969	6	0.00038	0.00038	0.5	97768	38	97749	6977609	71.37
1960-1969	7	0.00042	0.00042	0.5	97730	41	97710	6879860	70.40
1960-1969	8	0.00032	0.00032	0.5	97689	31	97673	6782150	69.43
1960-1969	9	0.00032	0.00032	0.5	97658	32	97642	6684477	68.45
1960-1969	10	0.00035	0.00035	0.5	97626	35	97609	6586835	67.47
1960-1969	11	0.00033	0.00033	0.5	97591	32	97575	6489226	66.49
1960-1969	12	0.00023	0.00023	0.5	97559	22	97548	6391651	65.52
1960-1969	13	0.00030	0.00030	0.5	97537	29	97522	6294103	64.53
1960-1969	14	0.00047	0.00046	0.5	97508	45	97485	6196581	63.55
1960-1969	15	0.00048	0.00048	0.5	97462	47	97439	6099096	62.58
1960-1969	16	0.00079	0.00079	0.5	97415	77	97377	6001657	61.61
1960-1969	17	0.00067	0.00067	0.5	97338	65	97305	5904280	60.66
1960-1969	18	0.00079	0.00079	0.5	97273	77	97234	5806975	59.70
1960-1969	19	0.00095	0.00095	0.5	97196	92	97150	5709741	58.74
1960-1969	20	0.00085	0.00085	0.5	97104	83	97062	5612591	57.80
1960-1969	21	0.00090	0.00090	0.5	97021	88	96977	5515528	56.85
1960-1969	22	0.00091	0.00091	0.5	96933	89	96889	5418551	55.90
1960-1969	23	0.00052	0.00052	0.5	96845	50	96820	5321662	54.95
1960-1969	24	0.00086	0.00086	0.5	96795	83	96753	5224842	53.98
1960-1969	25	0.00062	0.00062	0.5	96712	60	96682	5128089	53.02
1960-1969	26	0.00094	0.00094	0.5	96651	91	96606	5031407	52.06
1960-1969	27	0.00084	0.00084	0.5	96561	81	96521	4934801	51.11
1960-1969	28	0.00070	0.00070	0.5	96480	67	96446	4838281	50.15
1960-1969	29	0.00091	0.00091	0.5	96413	88	96369	4741834	49.18
1960-1969	30	0.00087	0.00087	0.5	96325	83	96283	4645465	48.23
1960-1969	31	0.00089	0.00089	0.5	96242	86	96198	4549182	47.27
1960-1969	32	0.00089	0.00089	0.5	96155	86	96113	4452984	46.31
1960-1969	33	0.00120	0.00120	0.5	96070	115	96012	4356871	45.35
1960-1969	34	0.00124	0.00124	0.5	95955	119	95895	4260858	44.40
1960-1969	35	0.00113	0.00113	0.5	95836	108	95782	4164963	43.46
1960-1969	36	0.00135	0.00135	0.5	95728	129	95663	4069181	42.51
1960-1969	37	0.00156	0.00156	0.5	95599	149	95524	3973518	41.56
1960-1969	38	0.00170	0.00170	0.5	95450	162	95369	3877994	40.63
1960-1969	39	0.00173	0.00173	0.5	95288	165	95205	3782625	39.70
1960-1969	40	0.00187	0.00187	0.5	95123	178	95034	3687420	38.76
1960-1969	41	0.00227	0.00227	0.5	94945	216	94837	3592386	37.84
1960-1969	42	0.00170	0.00170	0.5	94729	161	94649	3497549	36.92
1960-1969	43	0.00248	0.00248	0.5	94568	235	94451	3402901	35.98
1960-1969	44	0.00256	0.00256	0.5	94333	242	94213	3308450	35.07
1960-1969	45	0.00302	0.00302	0.5	94092	284	93950	3214237	34.16
1960-1969	46	0.00253	0.00253	0.5	93808	237	93689	3120287	33.26
1960-1969	47	0.00377	0.00376	0.5	93571	352	93395	3026598	32.35
1960-1969	48	0.00363	0.00362	0.5	93219	337	93050	2933203	31.47
1960-1969	49	0.00382	0.00381	0.5	92882	354	92705	2840152	30.58
1960-1969	50	0.00420	0.00419	0.5	92527	388	92333	2747448	29.69
1960-1969	51	0.00446	0.00445	0.5	92139	410	91934	2655115	28.82
1960-1969	52	0.00495	0.00494	0.5	91729	453	91503	2563180	27.94
1960-1969	53	0.00493	0.00491	0.5	91276	449	91052	2471678	27.08
1960-1969	54	0.00653	0.00651	0.5	90828	591	90532	2380625	26.21
1960-1969	55	0.00564	0.00562	0.5	90236	507	89983	2290093	25.38
1960-1969	56	0.00685	0.00683	0.5	89729	613	89423	2200111	24.52
1960-1969	57	0.00792	0.00789	0.5	89116	703	88765	2110688	23.68
