PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
ID,m,1959,0,0.02799,0.02731,0.12,100000,2731,97597,6791071,67.91
ID,m,1959,1,0.00300,0.00299,0.5,97269,291,97123,6693474,68.81
ID,m,1959,2,0.00190,0.00190,0.5,96977,184,96886,6596351,68.02
ID,m,1959,3,0.00156,0.00156,0.5,96794,151,96718,6499466,67.15
ID,m,1959,4,0.00157,0.00157,0.5,96642,151,96567,6402748,66.25
ID,m,1959,5,0.00084,0.00084,0.5,96491,81,96451,6306181,65.36
ID,m,1959,6,0.00085,0.00085,0.5,96410,82,96369,6209731,64.41
ID,m,1959,7,0.00050,0.00050,0.5,96329,48,96304,6113361,63.46
ID,m,1959,8,0.00053,0.00053,0.5,96280,51,96255,6017057,62.50
ID,m,1959,9,0.00027,0.00027,0.5,96230,26,96217,5920802,61.53
ID,m,1959,10,0.00066,0.00066,0.5,96204,64,96172,5824585,60.54
ID,m,1959,11,0.00093,0.00093,0.5,96140,89,96096,5728413,59.58
ID,m,1959,12,0.00055,0.00055,0.5,96051,53,96024,5632317,58.64
ID,m,1959,13,0.00047,0.00046,0.5,95998,45,95976,5536293,57.67
ID,m,1959,14,0.00115,0.00115,0.5,95953,110,95898,5440317,56.70
ID,m,1959,15,0.00047,0.00047,0.5,95843,45,95820,5344419,55.76
ID,m,1959,16,0.00147,0.00147,0.5,95798,141,95727,5248599,54.79
ID,m,1959,17,0.00207,0.00207,0.5,95657,198,95558,5152871,53.87
ID,m,1959,18,0.00249,0.00249,0.5,95459,238,95340,5057313,52.98
ID,m,1959,19,0.00123,0.00123,0.5,95221,117,95163,4961973,52.11
ID,m,1959,20,0.00339,0.00338,0.5,95104,322,94944,4866811,51.17
ID,m,1959,21,0.00276,0.00275,0.5,94783,261,94652,4771867,50.35
ID,m,1959,22,0.00237,0.00237,0.5,94522,224,94410,4677215,49.48
ID,m,1959,23,0.00245,0.00245,0.5,94298,231,94183,4582805,48.60
ID,m,1959,24,0.00216,0.00216,0.5,94067,203,93966,4488622,47.72
ID,m,1959,25,0.00080,0.00080,0.5,93864,75,93826,4394657,46.82
ID,m,1959,26,0.00138,0.00138,0.5,93789,130,93724,4300831,45.86
ID,m,1959,27,0.00138,0.00138,0.5,93659,130,93594,4207107,44.92
ID,m,1959,28,0.00188,0.00188,0.5,93529,176,93441,4113513,43.98
ID,m,1959,29,0.00207,0.00207,0.5,93354,193,93257,4020071,43.06
ID,m,1959,30,0.00176,0.00176,0.5,93161,164,93079,3926814,42.15
ID,m,1959,31,0.00279,0.00278,0.5,92996,259,92867,3833736,41.22
ID,m,1959,32,0.00176,0.00176,0.5,92738,163,92656,3740869,40.34
ID,m,1959,33,0.00246,0.00246,0.5,92575,228,92461,3648212,39.41
ID,m,1959,34,0.00243,0.00243,0.5,92347,224,92235,3555751,38.50
ID,m,1959,35,0.00122,0.00122,0.5,92123,113,92066,3463516,37.60
ID,m,1959,36,0.00294,0.00294,0.5,92010,270,91875,3371450,36.64
ID,m,1959,37,0.00214,0.00213,0.5,91740,196,91642,3279575,35.75
ID,m,1959,38,0.00357,0.00356,0.5,91544,326,91381,3187933,34.82
ID,m,1959,39,0.00319,0.00319,0.5,91218,291,91073,3096552,33.95
ID,m,1959,40,0.00388,0.00388,0.5,90928,352,90751,3005479,33.05
ID,m,1959,41,0.00447,0.00446,0.5,90575,404,90373,2914727,32.18
ID,m,1959,42,0.00381,0.00380,0.5,90171,343,90000,2824354,31.32
ID,m,1959,43,0.00454,0.00453,0.5,89828,407,89625,2734355,30.44
ID,m,1959,44,0.00517,0.00516,0.5,89421,461,89191,2644730,29.58
ID,m,1959,45,0.00426,0.00425,0.5,88960,378,88771,2555539,28.73
ID,m,1959,46,0.00584,0.00582,0.5,88582,516,88324,2466768,27.85
