IL: Illinois, Lifetables (period 5x1), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02240	0.02196	0.12	100000	2196	98058	7290225	72.90
1959	1-4	0.00086	0.00345	1.56	97804	337	390391	7192167	73.54
1959	5-9	0.00038	0.00189	2.14	97467	184	486808	6801775	69.79
1959	10-14	0.00034	0.00171	2.63	97283	166	486020	6314968	64.91
1959	15-19	0.00052	0.00258	2.73	97117	251	485013	5828947	60.02
1959	20-24	0.00065	0.00325	2.69	96866	314	483603	5343935	55.17
1959	25-29	0.00083	0.00416	2.46	96551	402	481734	4860332	50.34
1959	30-34	0.00123	0.00613	2.61	96149	589	479339	4378598	45.54
1959	35-39	0.00187	0.00928	2.6	95560	887	475674	3899259	40.80
1959	40-44	0.00289	0.01437	2.67	94673	1361	470200	3423585	36.16
1959	45-49	0.00442	0.02186	2.75	93312	2040	461968	2953385	31.65
1959	50-54	0.00646	0.03180	2.64	91272	2903	449497	2491417	27.30
1959	55-59	0.00950	0.04647	2.64	88369	4106	432152	2041920	23.11
1959	60-64	0.01532	0.07396	2.68	84263	6232	406838	1609768	19.10
1959	65-69	0.02502	0.11823	2.68	78031	9225	368712	1202930	15.42
1959	70-74	0.03984	0.18187	2.61	68805	12513	314109	834218	12.12
1959	75-79	0.06558	0.28276	2.56	56292	15917	242694	520109	9.24
1959	80-84	0.10705	0.42051	2.45	40375	16978	158599	277416	6.87
1959	85-89	0.16170	0.56746	2.37	23397	13277	82108	118816	5.08
1959	90-94	0.25434	0.74067	2.18	10120	7496	29471	36709	3.63
1959	95-99	0.34718	0.84080	1.93	2624	2207	6356	7238	2.76
1959	100-104	0.46544	0.91726	1.7	418	383	823	882	2.11
1959	105-109	0.58826	0.95825	1.48	35	33	56	58	1.69
1959	110+	0.68533	1.00000	1.46	1	1	2	2	1.46
1960	0	0.02181	0.02140	0.11	100000	2140	98105	7294897	72.95
1960	1-4	0.00095	0.00380	1.51	97860	372	390514	7196792	73.54
1960	5-9	0.00038	0.00191	2.22	97488	186	486924	6806278	69.82
1960	10-14	0.00034	0.00171	2.65	97302	166	486120	6319354	64.95
1960	15-19	0.00055	0.00277	2.9	97136	269	485117	5833234	60.05
1960	20-24	0.00064	0.00321	2.53	96867	311	483568	5348118	55.21
1960	25-29	0.00081	0.00403	2.65	96556	389	481867	4864550	50.38
1960	30-34	0.00129	0.00641	2.69	96167	616	479412	4382683	45.57
1960	35-39	0.00193	0.00960	2.53	95551	917	475493	3903271	40.85
1960	40-44	0.00299	0.01483	2.64	94634	1403	469860	3427778	36.22
1960	45-49	0.00449	0.02220	2.7	93231	2069	461399	2957918	31.73
1960	50-54	0.00676	0.03328	2.64	91162	3034	448663	2496519	27.39
1960	55-59	0.00990	0.04837	2.67	88128	4263	430702	2047856	23.24
1960	60-64	0.01545	0.07457	2.67	83865	6254	404756	1617154	19.28
1960	65-69	0.02370	0.11211	2.6	77611	8701	367150	1212398	15.62
1960	70-74	0.03888	0.17799	2.63	68910	12265	315455	845248	12.27
1960	75-79	0.06250	0.27127	2.57	56645	15366	245854	529793	9.35
1960	80-84	0.10499	0.41580	2.5	41279	17164	163480	283940	6.88
1960	85-89	0.16647	0.57644	2.33	24115	13901	83504	120459	5.00
1960	90-94	0.25230	0.73337	2.15	10214	7491	29690	36955	3.62
1960	95-99	0.35994	0.85227	1.91	2723	2321	6449	7265	2.67
1960	100-104	0.48513	0.92631	1.66	402	373	768	816	2.03
1960	105-109	0.61298	0.96389	1.44	30	29	47	48	1.62
1960	110+	0.71227	1.00000	1.4	1	1	2	2	1.40
1961	0	0.02148	0.02108	0.11	100000	2108	98131	7329175	73.29
1961	1-4	0.00094	0.00375	1.62	97892	367	390694	7231045	73.87
1961	5-9	0.00039	0.00194	2.2	97525	189	487093	6840350	70.14
1961	10-14	0.00035	0.00173	2.78	97335	168	486303	6353257	65.27
1961	15-19	0.00046	0.00229	2.77	97167	222	485341	5866954	60.38
1961	20-24	0.00069	0.00345	2.6	96945	334	483922	5381613	55.51
1961	25-29	0.00090	0.00447	2.54	96611	432	481990	4897691	50.70
1961	30-34	0.00114	0.00570	2.63	96179	548	479598	4415700	45.91
1961	35-39	0.00178	0.00885	2.64	95631	846	476155	3936102	41.16
1961	40-44	0.00281	0.01395	2.63	94785	1322	470787	3459947	36.50
1961	45-49	0.00446	0.02206	2.65	93463	2062	462461	2989160	31.98
1961	50-54	0.00667	0.03281	2.61	91401	2998	449848	2526699	27.64
1961	55-59	0.00940	0.04595	2.6	88403	4062	432245	2076852	23.49
1961	60-64	0.01492	0.07205	2.64	84341	6077	407359	1644606	19.50
1961	65-69	0.02304	0.10920	2.62	78264	8547	370950	1237248	15.81
1961	70-74	0.03848	0.17615	2.6	69717	12280	319152	866298	12.43
1961	75-79	0.06137	0.26733	2.59	57437	15354	250183	547145	9.53
1961	80-84	0.10216	0.40593	2.47	42082	17082	167212	296963	7.06
1961	85-89	0.15968	0.56015	2.34	25000	14004	87701	129751	5.19
1961	90-94	0.23699	0.70939	2.17	10996	7801	32915	42050	3.82
1961	95-99	0.33351	0.82816	1.96	3196	2646	7935	9135	2.86
1961	100-104	0.44856	0.90896	1.73	549	499	1113	1200	2.19
1961	105-109	0.56983	0.95363	1.51	50	48	84	87	1.74
1961	110+	0.66674	1.00000	1.5	2	2	3	3	1.50
1962	0	0.02085	0.02047	0.11	100000	2047	98181	7328504	73.29
1962	1-4	0.00078	0.00313	1.53	97953	307	391052	7230324	73.81
1962	5-9	0.00033	0.00166	2.06	97646	162	487752	6839272	70.04
1962	10-14	0.00029	0.00144	2.6	97483	141	487079	6351520	65.15
1962	15-19	0.00056	0.00281	2.73	97343	273	486093	5864441	60.25
1962	20-24	0.00070	0.00349	2.46	97070	338	484489	5378348	55.41
1962	25-29	0.00086	0.00430	2.59	96731	416	482653	4893859	50.59
1962	30-34	0.00128	0.00640	2.7	96315	616	480158	4411207	45.80
1962	35-39	0.00192	0.00955	2.58	95698	914	476278	3931049	41.08
1962	40-44	0.00269	0.01338	2.64	94784	1268	470929	3454771	36.45
1962	45-49	0.00433	0.02143	2.62	93516	2004	462813	2983843	31.91
1962	50-54	0.00657	0.03235	2.66	91512	2961	450621	2521030	27.55
1962	55-59	0.00960	0.04694	2.64	88551	4157	432956	2070409	23.38
1962	60-64	0.01487	0.07185	2.65	84394	6064	407735	1637453	19.40
1962	65-69	0.02398	0.11342	2.62	78330	8884	370509	1229718	15.70
1962	70-74	0.03842	0.17615	2.64	69446	12233	318405	859209	12.37
1962	75-79	0.06143	0.26735	2.58	57213	15296	249010	540803	9.45
1962	80-84	0.10256	0.40727	2.47	41917	17072	166456	291793	6.96
1962	85-89	0.16522	0.57468	2.35	24845	14278	86417	125337	5.04
1962	90-94	0.24671	0.72646	2.17	10567	7677	31116	38920	3.68
1962	95-99	0.35511	0.84827	1.92	2891	2452	6905	7804	2.70
1962	100-104	0.47982	0.92410	1.67	439	405	845	899	2.05
1962	105-109	0.60783	0.96284	1.45	33	32	53	54	1.64
1962	110+	0.70760	1.00000	1.41	1	1	2	2	1.41
1963	0	0.02055	0.02018	0.11	100000	2018	98205	7314255	73.14
1963	1-4	0.00090	0.00357	1.62	97982	350	391096	7216050	73.65
1963	5-9	0.00034	0.00171	2.16	97632	167	487685	6824954	69.90
1963	10-14	0.00033	0.00163	2.43	97465	159	486917	6337269	65.02
1963	15-19	0.00053	0.00264	2.71	97306	257	485942	5850352	60.12
1963	20-24	0.00068	0.00339	2.62	97049	329	484462	5364410	55.28
1963	25-29	0.00089	0.00444	2.56	96720	430	482550	4879948	50.45
1963	30-34	0.00127	0.00634	2.61	96290	610	479992	4397398	45.67
1963	35-39	0.00205	0.01019	2.65	95679	975	476109	3917405	40.94
1963	40-44	0.00293	0.01456	2.65	94705	1379	470281	3441296	36.34
1963	45-49	0.00445	0.02204	2.68	93326	2057	461860	2971015	31.83
1963	50-54	0.00672	0.03309	2.64	91269	3020	449207	2509155	27.49
1963	55-59	0.00992	0.04844	2.63	88249	4275	431115	2059948	23.34
1963	60-64	0.01505	0.07263	2.6	83974	6099	405251	1628833	19.40
1963	65-69	0.02339	0.11081	2.63	77875	8630	368900	1223582	15.71
1963	70-74	0.03872	0.17739	2.64	69245	12283	317214	854682	12.34
1963	75-79	0.06104	0.26513	2.52	56962	15103	247428	537468	9.44
1963	80-84	0.10265	0.40836	2.5	41860	17094	166526	290040	6.93
1963	85-89	0.16784	0.57713	2.29	24766	14293	85157	123514	4.99
1963	90-94	0.24716	0.72203	2.12	10473	7562	30595	38357	3.66
1963	95-99	0.36005	0.85251	1.91	2911	2482	6893	7762	2.67
1963	100-104	0.48653	0.92699	1.66	429	398	818	869	2.02
1963	105-109	0.61555	0.96446	1.44	31	30	49	51	1.62
1963	110+	0.71553	1.00000	1.4	1	1	2	2	1.40
