IL: Illinois, Lifetables (period 5x1), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02925	0.02852	0.12	100000	2852	97500	6652224	66.52
1959	1-4	0.00100	0.00400	1.57	97148	388	387649	6554723	67.47
1959	5-9	0.00058	0.00290	2.3	96760	281	483042	6167074	63.74
1959	10-14	0.00054	0.00268	2.65	96479	258	481788	5684032	58.91
1959	15-19	0.00133	0.00662	2.9	96221	637	479766	5202244	54.07
1959	20-24	0.00155	0.00774	2.48	95584	740	476057	4722479	49.41
1959	25-29	0.00159	0.00793	2.41	94844	752	472273	4246422	44.77
1959	30-34	0.00197	0.00980	2.61	94092	922	468259	3774148	40.11
1959	35-39	0.00285	0.01414	2.72	93170	1317	462841	3305890	35.48
1959	40-44	0.00454	0.02245	2.69	91853	2062	454504	2843049	30.95
1959	45-49	0.00786	0.03858	2.71	89791	3464	441012	2388545	26.60
1959	50-54	0.01235	0.05997	2.57	86327	5177	419045	1947533	22.56
1959	55-59	0.01934	0.09242	2.61	81150	7500	387814	1528487	18.84
1959	60-64	0.02872	0.13424	2.58	73650	9887	344285	1140673	15.49
1959	65-69	0.04429	0.19978	2.55	63764	12739	287628	796389	12.49
1959	70-74	0.06193	0.26831	2.51	51025	13691	221072	508761	9.97
1959	75-79	0.09160	0.37135	2.45	37334	13864	151346	287688	7.71
1959	80-84	0.13776	0.50579	2.37	23470	11871	86169	136342	5.81
1959	85-89	0.20518	0.65729	2.27	11599	7624	37158	50173	4.33
1959	90-94	0.28527	0.77309	2.04	3975	3073	10773	13015	3.27
1959	95-99	0.39038	0.87361	1.84	902	788	2019	2242	2.49
1959	100-104	0.50329	0.93231	1.62	114	106	211	224	1.96
1959	105-109	0.61645	0.96394	1.44	8	7	12	12	1.61
1959	110+	0.70454	1.00000	1.42	0	0	0	0	1.42
1960	0	0.02937	0.02863	0.12	100000	2863	97492	6643773	66.44
1960	1-4	0.00113	0.00452	1.61	97137	439	387501	6546281	67.39
1960	5-9	0.00054	0.00267	2.34	96698	259	482803	6158780	63.69
1960	10-14	0.00047	0.00236	2.74	96439	228	481682	5675977	58.86
1960	15-19	0.00121	0.00604	2.83	96212	582	479796	5194295	53.99
1960	20-24	0.00163	0.00813	2.44	95630	777	476160	4714499	49.30
1960	25-29	0.00159	0.00790	2.58	94853	749	472450	4238339	44.68
1960	30-34	0.00205	0.01021	2.56	94104	961	468179	3765889	40.02
1960	35-39	0.00297	0.01475	2.69	93143	1374	462535	3297710	35.40
1960	40-44	0.00456	0.02253	2.64	91769	2068	453962	2835175	30.89
1960	45-49	0.00765	0.03757	2.69	89701	3370	440711	2381214	26.55
1960	50-54	0.01282	0.06216	2.58	86331	5366	418667	1940503	22.48
1960	55-59	0.01951	0.09321	2.61	80965	7546	386792	1521836	18.80
1960	60-64	0.02901	0.13564	2.61	73418	9959	343261	1135045	15.46
1960	65-69	0.04403	0.19861	2.54	63460	12604	286256	791784	12.48
1960	70-74	0.06386	0.27561	2.52	50856	14016	219468	505528	9.94
1960	75-79	0.08918	0.36345	2.46	36840	13389	150146	286059	7.76
1960	80-84	0.13762	0.50652	2.4	23450	11878	86311	135913	5.80
1960	85-89	0.20708	0.65841	2.23	11572	7619	36793	49603	4.29
1960	90-94	0.28847	0.77690	2.03	3953	3071	10646	12810	3.24
1960	95-99	0.39594	0.87763	1.83	882	774	1955	2163	2.45
1960	100-104	0.51111	0.93533	1.61	108	101	197	209	1.93
1960	105-109	0.62576	0.96585	1.42	7	7	11	11	1.59
1960	110+	0.71445	1.00000	1.4	0	0	0	0	1.40
1961	0	0.02799	0.02732	0.12	100000	2732	97596	6684685	66.85
1961	1-4	0.00106	0.00422	1.68	97268	411	388123	6587089	67.72
1961	5-9	0.00048	0.00240	2.44	96858	232	483694	6198966	64.00
1961	10-14	0.00057	0.00285	2.67	96625	275	482486	5715272	59.15
1961	15-19	0.00111	0.00555	2.67	96350	535	480504	5232787	54.31
1961	20-24	0.00174	0.00864	2.54	95816	828	477042	4752283	49.60
1961	25-29	0.00164	0.00817	2.5	94988	776	472994	4275241	45.01
1961	30-34	0.00196	0.00977	2.64	94211	920	468887	3802247	40.36
1961	35-39	0.00284	0.01413	2.58	93291	1318	463272	3333360	35.73
