IN: Indiana, Lifetables (period 1x1), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02718	0.02655	0.12	100000	2655	97658	6744990	67.45
1959	1	0.00161	0.00160	0.5	97345	156	97267	6647331	68.29
1959	2	0.00096	0.00096	0.5	97189	94	97142	6550064	67.39
1959	3	0.00068	0.00068	0.5	97095	66	97062	6452922	66.46
1959	4	0.00063	0.00063	0.5	97029	61	96999	6355859	65.50
1959	5	0.00070	0.00070	0.5	96968	68	96934	6258861	64.55
1959	6	0.00041	0.00041	0.5	96900	39	96880	6161926	63.59
1959	7	0.00048	0.00048	0.5	96861	46	96837	6065046	62.62
1959	8	0.00046	0.00046	0.5	96814	44	96792	5968209	61.65
1959	9	0.00049	0.00049	0.5	96770	47	96746	5871417	60.67
1959	10	0.00051	0.00051	0.5	96722	50	96698	5774670	59.70
1959	11	0.00043	0.00043	0.5	96673	41	96652	5677973	58.73
1959	12	0.00073	0.00073	0.5	96632	70	96596	5581321	57.76
1959	13	0.00048	0.00048	0.5	96561	46	96538	5484724	56.80
1959	14	0.00071	0.00071	0.5	96515	69	96481	5388186	55.83
1959	15	0.00087	0.00087	0.5	96447	84	96405	5291705	54.87
1959	16	0.00104	0.00104	0.5	96363	101	96313	5195300	53.91
1959	17	0.00157	0.00156	0.5	96262	151	96187	5098988	52.97
1959	18	0.00143	0.00143	0.5	96112	137	96043	5002800	52.05
1959	19	0.00209	0.00209	0.5	95975	200	95875	4906757	51.13
1959	20	0.00147	0.00147	0.5	95774	141	95704	4810882	50.23
1959	21	0.00172	0.00172	0.5	95634	165	95551	4715178	49.30
1959	22	0.00164	0.00164	0.5	95469	157	95391	4619627	48.39
1959	23	0.00157	0.00157	0.5	95312	149	95238	4524236	47.47
1959	24	0.00210	0.00209	0.5	95163	199	95063	4428999	46.54
1959	25	0.00147	0.00146	0.5	94964	139	94894	4333935	45.64
1959	26	0.00165	0.00165	0.5	94825	156	94747	4239041	44.70
1959	27	0.00165	0.00165	0.5	94668	156	94591	4144295	43.78
1959	28	0.00161	0.00161	0.5	94513	152	94437	4049704	42.85
1959	29	0.00132	0.00132	0.5	94361	124	94299	3955267	41.92
1959	30	0.00173	0.00172	0.5	94237	162	94155	3860969	40.97
1959	31	0.00118	0.00117	0.5	94074	110	94019	3766813	40.04
1959	32	0.00169	0.00169	0.5	93964	158	93884	3672794	39.09
1959	33	0.00223	0.00222	0.5	93805	209	93701	3578910	38.15
1959	34	0.00198	0.00198	0.5	93597	185	93504	3485209	37.24
1959	35	0.00207	0.00206	0.5	93412	193	93315	3391705	36.31
1959	36	0.00231	0.00231	0.5	93219	215	93111	3298390	35.38
1959	37	0.00231	0.00231	0.5	93004	214	92896	3205278	34.46
1959	38	0.00282	0.00282	0.5	92789	261	92658	3112382	33.54
1959	39	0.00273	0.00272	0.5	92528	252	92402	3019724	32.64
1959	40	0.00367	0.00367	0.5	92276	338	92107	2927322	31.72
1959	41	0.00339	0.00338	0.5	91937	311	91782	2835215	30.84
1959	42	0.00427	0.00427	0.5	91626	391	91431	2743434	29.94
1959	43	0.00488	0.00487	0.5	91235	444	91013	2652003	29.07
1959	44	0.00599	0.00598	0.5	90791	543	90520	2560990	28.21
1959	45	0.00602	0.00600	0.5	90249	542	89978	2470470	27.37
1959	46	0.00608	0.00606	0.5	89707	544	89435	2380492	26.54
1959	47	0.00650	0.00648	0.5	89163	578	88874	2291057	25.70
1959	48	0.00825	0.00821	0.5	88585	728	88221	2202183	24.86
1959	49	0.00857	0.00853	0.5	87857	749	87483	2113962	24.06
1959	50	0.00942	0.00938	0.5	87108	817	86700	2026479	23.26
1959	51	0.01032	0.01027	0.5	86291	886	85848	1939779	22.48
1959	52	0.01140	0.01133	0.5	85405	968	84921	1853931	21.71
1959	53	0.01375	0.01365	0.5	84437	1153	83861	1769011	20.95
1959	54	0.01376	0.01367	0.5	83284	1138	82715	1685150	20.23
1959	55	0.01429	0.01419	0.5	82146	1166	81563	1602435	19.51
1959	56	0.01680	0.01666	0.5	80980	1349	80305	1520872	18.78
1959	57	0.01690	0.01676	0.5	79631	1335	78963	1440567	18.09
1959	58	0.01928	0.01909	0.5	78296	1495	77549	1361604	17.39
1959	59	0.02087	0.02066	0.5	76801	1587	76008	1284055	16.72
1959	60	0.02267	0.02242	0.5	75215	1686	74371	1208047	16.06
1959	61	0.02409	0.02381	0.5	73528	1750	72653	1133676	15.42
1959	62	0.02752	0.02715	0.5	71778	1948	70804	1061023	14.78
1959	63	0.03011	0.02967	0.5	69829	2072	68794	990219	14.18
1959	64	0.03230	0.03178	0.5	67758	2154	66681	921426	13.60
