PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
KS,b,1959,0,0.02385,0.02336,0.11,100000,2336,97933,7192506,71.93
KS,b,1959,1-4,0.00091,0.00364,1.52,97664,355,389777,7094573,72.64
KS,b,1959,5-9,0.00052,0.00259,2.18,97309,252,485833,6704796,68.90
KS,b,1959,10-14,0.00052,0.00261,2.7,97057,253,484700,6218962,64.08
KS,b,1959,15-19,0.00101,0.00506,2.6,96804,490,482844,5734262,59.24
KS,b,1959,20-24,0.00126,0.00627,2.44,96314,604,480027,5251418,54.52
KS,b,1959,25-29,0.00129,0.00644,2.51,95710,617,477017,4771391,49.85
KS,b,1959,30-34,0.00125,0.00625,2.51,95094,594,473987,4294374,45.16
KS,b,1959,35-39,0.00180,0.00897,2.59,94499,848,470452,3820387,40.43
KS,b,1959,40-44,0.00288,0.01428,2.68,93652,1338,465150,3349934,35.77
KS,b,1959,45-49,0.00463,0.02291,2.68,92314,2115,456669,2884785,31.25
KS,b,1959,50-54,0.00718,0.03530,2.68,90199,3184,443611,2428115,26.92
KS,b,1959,55-59,0.01080,0.05267,2.66,87015,4583,424366,1984504,22.81
KS,b,1959,60-64,0.01725,0.08285,2.61,82432,6829,395829,1560138,18.93
KS,b,1959,65-69,0.02593,0.12225,2.66,75602,9242,356427,1164309,15.40
KS,b,1959,70-74,0.04092,0.18638,2.61,66360,12368,302254,807882,12.17
KS,b,1959,75-79,0.06433,0.27866,2.6,53992,15045,233886,505628,9.36
KS,b,1959,80-84,0.09986,0.39983,2.51,38947,15572,155943,271742,6.98
KS,b,1959,85-89,0.16964,0.58806,2.39,23375,13746,81029,115799,4.95
KS,b,1959,90-94,0.25157,0.73344,2.16,9629,7062,28073,34770,3.61
KS,b,1959,95-99,0.36832,0.85995,1.9,2567,2207,5993,6697,2.61
KS,b,1959,100-104,0.50308,0.93404,1.63,359,336,667,704,1.96
KS,b,1959,105-109,0.63907,0.96917,1.41,24,23,36,37,1.56
KS,b,1959,110+,0.74253,1.00000,1.35,1,1,1,1,1.35
KS,b,1960,0,0.02260,0.02215,0.11,100000,2215,98032,7186409,71.86
KS,b,1960,1-4,0.00092,0.00366,1.58,97785,358,390273,7088377,72.49
KS,b,1960,5-9,0.00051,0.00255,2.02,97427,249,486395,6698104,68.75
KS,b,1960,10-14,0.00054,0.00272,2.69,97178,264,485283,6211709,63.92
KS,b,1960,15-19,0.00096,0.00478,2.67,96914,463,483489,5726426,59.09
KS,b,1960,20-24,0.00122,0.00609,2.3,96451,587,480667,5242937,54.36
KS,b,1960,25-29,0.00107,0.00533,2.36,95864,511,477968,4762270,49.68
KS,b,1960,30-34,0.00131,0.00654,2.53,95353,623,475225,4284302,44.93
KS,b,1960,35-39,0.00191,0.00952,2.69,94729,902,471562,3809078,40.21
KS,b,1960,40-44,0.00296,0.01470,2.57,93827,1379,465790,3337516,35.57
KS,b,1960,45-49,0.00502,0.02483,2.65,92448,2296,456849,2871726,31.06
KS,b,1960,50-54,0.00798,0.03917,2.66,90153,3531,442516,2414878,26.79
KS,b,1960,55-59,0.01059,0.05167,2.62,86622,4476,422473,1972361,22.77
KS,b,1960,60-64,0.01747,0.08393,2.66,82146,6894,394564,1549888,18.87
KS,b,1960,65-69,0.02497,0.11788,2.63,75252,8871,355236,1155324,15.35
KS,b,1960,70-74,0.04095,0.18647,2.61,66381,12378,302313,800088,12.05
KS,b,1960,75-79,0.06606,0.28514,2.6,54003,15398,233114,497775,9.22
KS,b,1960,80-84,0.10530,0.41546,2.46,38604,16039,152318,264661,6.86
KS,b,1960,85-89,0.16740,0.58046,2.36,22566,13098,78245,112343,4.98
KS,b,1960,90-94,0.25370,0.73387,2.13,9467,6948,27386,34099,3.60
KS,b,1960,95-99,0.36035,0.85274,1.91,2520,2149,5962,6712,2.66
KS,b,1960,100-104,0.48703,0.92724,1.66,371,344,706,750,2.02
KS,b,1960,105-109,0.61687,0.96478,1.44,27,26,42,44,1.61
KS,b,1960,110+,0.71778,1.00000,1.39,1,1,1,1,1.39
KS,b,1961,0,0.02250,0.02206,0.11,100000,2206,98038,7215368,72.15
KS,b,1961,1-4,0.00091,0.00363,1.63,97794,355,390331,7117330,72.78
