KS: Kansas, Lifetables (period 5x1), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.01989	0.01954	0.11	100000	1954	98258	7554117	75.54
1959	1-4	0.00078	0.00310	1.43	98046	304	391403	7455859	76.04
1959	5-9	0.00035	0.00175	1.96	97742	171	488189	7064456	72.28
1959	10-14	0.00033	0.00166	2.69	97571	162	487480	6576267	67.40
1959	15-19	0.00059	0.00295	2.46	97409	287	486316	6088787	62.51
1959	20-24	0.00063	0.00316	2.73	97122	307	484912	5602471	57.68
1959	25-29	0.00089	0.00446	2.56	96815	432	483018	5117559	52.86
1959	30-34	0.00095	0.00473	2.64	96383	456	480839	4634541	48.08
1959	35-39	0.00134	0.00666	2.77	95927	639	478208	4153701	43.30
1959	40-44	0.00225	0.01116	2.51	95287	1064	473783	3675494	38.57
1959	45-49	0.00336	0.01668	2.83	94224	1571	467707	3201710	33.98
1959	50-54	0.00436	0.02157	2.71	92652	1999	458682	2734004	29.51
1959	55-59	0.00683	0.03363	2.67	90653	3049	446173	2275321	25.10
1959	60-64	0.01116	0.05434	2.58	87604	4761	426504	1829149	20.88
1959	65-69	0.01846	0.08859	2.74	82844	7339	397638	1402644	16.93
1959	70-74	0.03062	0.14278	2.64	75505	10780	352077	1005006	13.31
1959	75-79	0.05260	0.23372	2.62	64724	15127	287572	652929	10.09
1959	80-84	0.09111	0.37198	2.53	49597	18449	202501	365357	7.37
1959	85-89	0.15350	0.55305	2.47	31148	17227	112222	162856	5.23
1959	90-94	0.24869	0.72835	2.16	13922	10140	40772	50633	3.64
1959	95-99	0.36808	0.86062	1.91	3782	3255	8842	9861	2.61
1959	100-104	0.50992	0.93701	1.62	527	494	969	1019	1.93
1959	105-109	0.65145	0.97145	1.39	33	32	50	51	1.53
1959	110+	0.75730	1.00000	1.32	1	1	1	1	1.32
1960	0	0.01877	0.01846	0.11	100000	1846	98349	7551219	75.51
1960	1-4	0.00084	0.00335	1.68	98154	329	391852	7452871	75.93
1960	5-9	0.00046	0.00228	2.1	97825	223	488477	7061018	72.18
1960	10-14	0.00040	0.00197	2.31	97602	193	487491	6572542	67.34
1960	15-19	0.00047	0.00233	2.9	97409	227	486570	6085051	62.47
1960	20-24	0.00059	0.00293	1.92	97182	285	485033	5598481	57.61
1960	25-29	0.00052	0.00260	2.51	96897	252	483856	5113448	52.77
1960	30-34	0.00093	0.00464	2.95	96645	449	482305	4629592	47.90
1960	35-39	0.00137	0.00682	2.48	96196	656	479330	4147287	43.11
1960	40-44	0.00221	0.01098	2.25	95540	1049	474816	3667957	38.39
1960	45-49	0.00356	0.01767	2.51	94491	1669	468302	3193141	33.79
1960	50-54	0.00517	0.02555	2.59	92822	2372	458380	2724839	29.36
1960	55-59	0.00694	0.03413	2.6	90450	3087	444851	2266459	25.06
1960	60-64	0.01132	0.05510	2.61	87363	4813	425309	1821608	20.85
1960	65-69	0.01800	0.08641	2.7	82550	7133	396359	1396299	16.91
1960	70-74	0.03083	0.14382	2.67	75416	10846	351767	999940	13.26
1960	75-79	0.05435	0.24121	2.67	64570	15575	286556	648173	10.04
1960	80-84	0.09246	0.37627	2.53	48995	18435	199396	361617	7.38
1960	85-89	0.15280	0.54834	2.43	30560	16757	109667	162221	5.31
1960	90-94	0.23581	0.70910	2.19	13803	9788	41507	52554	3.81
1960	95-99	0.34704	0.84217	1.94	4015	3382	9744	11048	2.75
1960	100-104	0.47782	0.92382	1.68	634	585	1225	1304	2.06
1960	105-109	0.61256	0.96412	1.45	48	47	76	78	1.62
1960	110+	0.71703	1.00000	1.39	2	2	2	2	1.39
1961	0	0.01923	0.01891	0.11	100000	1891	98311	7548148	75.48
1961	1-4	0.00079	0.00316	1.62	98109	310	391700	7449837	75.93
1961	5-9	0.00028	0.00139	2.36	97800	136	488638	7058137	72.17
1961	10-14	0.00035	0.00173	2.51	97663	169	487896	6569499	67.27
1961	15-19	0.00062	0.00307	2.74	97494	299	486794	6081602	62.38
1961	20-24	0.00069	0.00345	2.43	97195	335	485113	5594809	57.56
1961	25-29	0.00083	0.00413	2.42	96860	400	483266	5109695	52.75
1961	30-34	0.00125	0.00622	2.47	96460	600	480785	4626430	47.96
1961	35-39	0.00156	0.00779	2.76	95860	747	477626	4145644	43.25
1961	40-44	0.00216	0.01075	2.45	95114	1023	472956	3668019	38.56
1961	45-49	0.00301	0.01493	2.54	94091	1404	466998	3195063	33.96
1961	50-54	0.00506	0.02503	2.73	92686	2320	458157	2728064	29.43
1961	55-59	0.00708	0.03480	2.67	90366	3145	444501	2269907	25.12
1961	60-64	0.01222	0.05944	2.71	87221	5184	424218	1825406	20.93
1961	65-69	0.01778	0.08529	2.61	82037	6997	393443	1401187	17.08
1961	70-74	0.03148	0.14638	2.61	75040	10985	348958	1007745	13.43
1961	75-79	0.05099	0.22721	2.61	64056	14554	285457	658787	10.28
1961	80-84	0.08615	0.35472	2.51	49501	17559	203814	373330	7.54
1961	85-89	0.14998	0.54391	2.47	31942	17374	115836	169515	5.31
1961	90-94	0.24472	0.72171	2.16	14569	10514	42965	53679	3.68
1961	95-99	0.36241	0.85639	1.92	4054	3472	9580	10715	2.64
1961	100-104	0.50589	0.93573	1.63	582	545	1077	1134	1.95
1961	105-109	0.64970	0.97124	1.39	37	36	56	57	1.53
1961	110+	0.75728	1.00000	1.32	1	1	1	1	1.32
1962	0	0.01855	0.01824	0.1	100000	1824	98367	7568942	75.69
1962	1-4	0.00083	0.00332	1.5	98176	325	391888	7470575	76.09
