KY: Kentucky, Lifetables (period 5x1), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02905	0.02834	0.13	100000	2834	97531	6979111	69.79
1959	1-4	0.00109	0.00433	1.48	97166	421	387604	6881580	70.82
1959	5-9	0.00048	0.00242	2.43	96746	234	483127	6493976	67.12
1959	10-14	0.00046	0.00228	2.73	96511	220	482058	6010848	62.28
1959	15-19	0.00128	0.00637	2.63	96292	613	480005	5528790	57.42
1959	20-24	0.00150	0.00747	2.43	95678	715	476553	5048786	52.77
1959	25-29	0.00160	0.00796	2.6	94964	756	473003	4572232	48.15
1959	30-34	0.00188	0.00936	2.71	94208	882	469018	4099229	43.51
1959	35-39	0.00271	0.01347	2.75	93326	1257	463806	3630211	38.90
1959	40-44	0.00395	0.01956	2.61	92069	1801	456036	3166405	34.39
1959	45-49	0.00593	0.02925	2.67	90268	2640	445192	2710370	30.03
1959	50-54	0.00874	0.04284	2.68	87628	3754	429429	2265178	25.85
1959	55-59	0.01297	0.06298	2.71	83874	5283	407295	1835749	21.89
1959	60-64	0.01929	0.09227	2.65	78591	7252	375899	1428454	18.18
1959	65-69	0.02910	0.13589	2.57	71340	9695	333121	1052555	14.75
1959	70-74	0.04453	0.20114	2.6	61645	12400	278483	719434	11.67
1959	75-79	0.06962	0.29809	2.59	49246	14680	210853	440950	8.95
1959	80-84	0.11009	0.43084	2.48	34566	14892	135279	230097	6.66
1959	85-89	0.17577	0.60209	2.39	19674	11845	67393	94818	4.82
1959	90-94	0.26339	0.74462	2.08	7828	5829	22131	27425	3.50
1959	95-99	0.36311	0.85449	1.9	1999	1708	4705	5294	2.65
1959	100-104	0.48567	0.92631	1.66	291	269	555	590	2.03
1959	105-109	0.61094	0.96336	1.45	21	21	34	35	1.63
1959	110+	0.70861	1.00000	1.41	1	1	1	1	1.41
1960	0	0.02885	0.02814	0.13	100000	2814	97546	6957231	69.57
1960	1-4	0.00120	0.00479	1.53	97186	466	387593	6859685	70.58
1960	5-9	0.00048	0.00241	2.31	96721	233	482976	6472092	66.92
1960	10-14	0.00051	0.00256	2.8	96488	247	481896	5989116	62.07
1960	15-19	0.00105	0.00523	2.74	96241	503	480068	5507221	57.22
1960	20-24	0.00123	0.00613	2.38	95738	587	477150	5027153	52.51
1960	25-29	0.00155	0.00773	2.29	95151	735	473761	4550003	47.82
1960	30-34	0.00175	0.00874	2.69	94416	825	470175	4076241	43.17
1960	35-39	0.00273	0.01355	2.75	93591	1268	465105	3606067	38.53
1960	40-44	0.00390	0.01932	2.7	92324	1784	457516	3140962	34.02
1960	45-49	0.00622	0.03067	2.69	90540	2776	446272	2683446	29.64
1960	50-54	0.00948	0.04638	2.71	87763	4070	429513	2237174	25.49
1960	55-59	0.01369	0.06636	2.68	83693	5554	405576	1807661	21.60
1960	60-64	0.02007	0.09583	2.64	78139	7488	373043	1402085	17.94
1960	65-69	0.02983	0.13929	2.62	70652	9841	329872	1029043	14.57
1960	70-74	0.04578	0.20603	2.58	60811	12529	273692	699171	11.50
1960	75-79	0.07354	0.31186	2.57	48282	15057	204751	425479	8.81
1960	80-84	0.11173	0.43580	2.48	33224	14479	129595	220728	6.64
1960	85-89	0.17485	0.59303	2.29	18745	11117	63578	91134	4.86
1960	90-94	0.25366	0.73384	2.13	7629	5598	22070	27556	3.61
1960	95-99	0.35533	0.84769	1.92	2030	1721	4844	5486	2.70
1960	100-104	0.47380	0.92100	1.68	309	285	601	642	2.08
1960	105-109	0.59643	0.96013	1.47	24	23	39	41	1.67
1960	110+	0.69320	1.00000	1.44	1	1	1	1	1.44
1961	0	0.02847	0.02778	0.13	100000	2778	97575	6995921	69.96
1961	1-4	0.00113	0.00450	1.57	97222	438	387824	6898346	70.95
1961	5-9	0.00049	0.00245	2.22	96784	237	483261	6510523	67.27
1961	10-14	0.00050	0.00251	2.71	96547	242	482179	6027262	62.43
1961	15-19	0.00098	0.00489	2.68	96304	471	480430	5545083	57.58
1961	20-24	0.00138	0.00686	2.62	95834	657	477603	5064653	52.85
1961	25-29	0.00139	0.00694	2.6	95176	661	474298	4587050	48.20
1961	30-34	0.00181	0.00900	2.68	94516	851	470601	4112752	43.51
1961	35-39	0.00252	0.01251	2.62	93665	1172	465538	3642152	38.89
1961	40-44	0.00423	0.02097	2.72	92493	1940	458047	3176614	34.34
1961	45-49	0.00609	0.03001	2.65	90553	2718	446367	2718566	30.02
1961	50-54	0.00888	0.04350	2.62	87836	3821	430100	2272199	25.87
1961	55-59	0.01279	0.06209	2.65	84015	5217	407797	1842100	21.93
1961	60-64	0.01955	0.09338	2.6	78798	7358	376364	1434303	18.20
1961	65-69	0.02966	0.13825	2.55	71440	9877	333042	1057938	14.81
1961	70-74	0.04368	0.19741	2.57	61563	12153	278251	724896	11.77
1961	75-79	0.06861	0.29442	2.59	49410	14547	212026	446645	9.04
1961	80-84	0.11075	0.43406	2.51	34863	15132	136635	234620	6.73
1961	85-89	0.16943	0.58324	2.33	19730	11508	67919	97984	4.97
1961	90-94	0.25028	0.72806	2.13	8223	5987	23920	30065	3.66
1961	95-99	0.34874	0.84195	1.93	2236	1883	5399	6144	2.75
1961	100-104	0.46557	0.91721	1.7	353	324	696	746	2.11
1961	105-109	0.58729	0.95798	1.48	29	28	48	50	1.69
1961	110+	0.68384	1.00000	1.46	1	1	2	2	1.46
1962	0	0.02723	0.02660	0.12	100000	2660	97669	6979811	69.80
1962	1-4	0.00111	0.00442	1.52	97340	430	388293	6882142	70.70
1962	5-9	0.00047	0.00236	2.22	96910	229	483915	6493849	67.01
1962	10-14	0.00056	0.00278	2.69	96681	268	482786	6009935	62.16
1962	15-19	0.00107	0.00534	2.79	96413	515	480926	5527148	57.33
1962	20-24	0.00135	0.00673	2.72	95898	646	478019	5046223	52.62
1962	25-29	0.00147	0.00733	2.52	95253	698	474532	4568203	47.96
1962	30-34	0.00179	0.00890	2.68	94555	841	470826	4093671	43.29
1962	35-39	0.00267	0.01327	2.61	93714	1244	465601	3622845	38.66
1962	40-44	0.00409	0.02025	2.73	92470	1873	458096	3157244	34.14
1962	45-49	0.00615	0.03034	2.68	90597	2748	446601	2699147	29.79
1962	50-54	0.00937	0.04582	2.64	87849	4025	429760	2252546	25.64
1962	55-59	0.01366	0.06612	2.61	83823	5543	405857	1822787	21.75
1962	60-64	0.01999	0.09554	2.68	78281	7479	374059	1416929	18.10
1962	65-69	0.03034	0.14132	2.58	70802	10006	329762	1042870	14.73
1962	70-74	0.04356	0.19718	2.6	60796	11988	275194	713109	11.73
1962	75-79	0.06784	0.29198	2.61	48808	14251	210050	437914	8.97
1962	80-84	0.11198	0.43644	2.47	34557	15082	134688	227864	6.59
1962	85-89	0.18030	0.60652	2.3	19475	11812	65514	93176	4.78
1962	90-94	0.25306	0.73494	2.15	7663	5632	22255	27662	3.61
1962	95-99	0.36117	0.85272	1.91	2031	1732	4796	5406	2.66
1962	100-104	0.48204	0.92470	1.67	299	277	574	611	2.04
1962	105-109	0.60640	0.96239	1.45	23	22	36	37	1.64
1962	110+	0.70391	1.00000	1.42	1	1	1	1	1.42
1963	0	0.02809	0.02742	0.13	100000	2742	97604	6954870	69.55
1963	1-4	0.00109	0.00435	1.44	97258	423	387951	6857265	70.51
1963	5-9	0.00048	0.00242	2.33	96835	234	483550	6469315	66.81
1963	10-14	0.00042	0.00211	2.63	96601	204	482519	5985765	61.96
1963	15-19	0.00108	0.00537	2.8	96397	518	480846	5503246	57.09
