KY: Kentucky, Lifetables (period 5x10), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02283	0.02238	0.12	100000	2238	98024	7371615	73.72
1960-1969	1-4	0.00098	0.00390	1.59	97762	381	390130	7273591	74.40
1960-1969	5-9	0.00039	0.00194	2.32	97381	189	486400	6883460	70.69
1960-1969	10-14	0.00035	0.00175	2.63	97193	170	485560	6397061	65.82
1960-1969	15-19	0.00062	0.00309	2.6	97023	300	484395	5911500	60.93
1960-1969	20-24	0.00072	0.00359	2.58	96723	347	482776	5427106	56.11
1960-1969	25-29	0.00088	0.00441	2.57	96376	425	480844	4944330	51.30
1960-1969	30-34	0.00121	0.00602	2.72	95951	577	478436	4463486	46.52
1960-1969	35-39	0.00189	0.00943	2.7	95373	899	474793	3985049	41.78
1960-1969	40-44	0.00290	0.01442	2.67	94474	1363	469198	3510256	37.16
1960-1969	45-49	0.00426	0.02111	2.71	93111	1966	461061	3041059	32.66
1960-1969	50-54	0.00594	0.02931	2.67	91146	2672	449504	2579998	28.31
1960-1969	55-59	0.00895	0.04385	2.66	88474	3879	433282	2130494	24.08
1960-1969	60-64	0.01324	0.06420	2.64	84595	5431	410148	1697212	20.06
1960-1969	65-69	0.02128	0.10130	2.63	79164	8020	376829	1287063	16.26
1960-1969	70-74	0.03458	0.15988	2.65	71145	11375	328951	910235	12.79
1960-1969	75-79	0.05805	0.25454	2.58	59770	15214	262099	581284	9.73
1960-1969	80-84	0.09738	0.39287	2.54	44556	17505	179761	319185	7.16
1960-1969	85-89	0.16020	0.56279	2.36	27051	15224	95030	139424	5.15
1960-1969	90-94	0.24018	0.71687	2.19	11827	8478	35300	44394	3.75
1960-1969	95-99	0.35248	0.84651	1.93	3349	2835	8042	9093	2.72
1960-1969	100-104	0.48076	0.92481	1.67	514	475	989	1051	2.05
1960-1969	105-109	0.61243	0.96395	1.45	39	37	61	63	1.62
1960-1969	110+	0.71461	1.00000	1.4	1	1	2	2	1.40
1970-1979	0	0.01411	0.01393	0.09	100000	1393	98736	7560692	75.61
1970-1979	1-4	0.00067	0.00266	1.68	98607	262	393820	7461956	75.67
1970-1979	5-9	0.00034	0.00170	2.23	98345	167	491261	7068136	71.87
1970-1979	10-14	0.00028	0.00142	2.72	98177	139	490570	6576875	66.99
1970-1979	15-19	0.00059	0.00294	2.68	98038	288	489521	6086306	62.08
1970-1979	20-24	0.00064	0.00320	2.52	97750	313	487973	5596785	57.26
1970-1979	25-29	0.00075	0.00376	2.64	97437	366	486318	5108811	52.43
1970-1979	30-34	0.00101	0.00502	2.68	97070	487	484223	4622494	47.62
1970-1979	35-39	0.00160	0.00797	2.67	96583	770	481121	4138271	42.85
1970-1979	40-44	0.00254	0.01264	2.7	95814	1211	476279	3657150	38.17
1970-1979	45-49	0.00402	0.01991	2.62	94602	1884	468531	3180871	33.62
1970-1979	50-54	0.00581	0.02867	2.62	92718	2658	457256	2712339	29.25
1970-1979	55-59	0.00839	0.04113	2.66	90060	3704	441642	2255083	25.04
1970-1979	60-64	0.01263	0.06134	2.65	86356	5297	419352	1813442	21.00
1970-1979	65-69	0.01889	0.09042	2.63	81059	7330	387936	1394089	17.20
1970-1979	70-74	0.03047	0.14208	2.63	73729	10475	343837	1006153	13.65
1970-1979	75-79	0.05066	0.22611	2.63	63254	14302	282316	662316	10.47
1970-1979	80-84	0.08684	0.35798	2.55	48951	17523	201786	380001	7.76
1970-1979	85-89	0.13975	0.51271	2.4	31428	16113	115304	178215	5.67
1970-1979	90-94	0.21548	0.67379	2.22	15315	10319	47887	62910	4.11
1970-1979	95-99	0.31398	0.80967	2.01	4996	4045	12883	15024	3.01
1970-1979	100-104	0.43389	0.90197	1.76	951	858	1977	2141	2.25
1970-1979	105-109	0.56248	0.95213	1.53	93	89	158	164	1.76
1970-1979	110+	0.66576	1.00000	1.5	4	4	7	7	1.50
1980-1989	0	0.00972	0.00963	0.08	100000	963	99114	7751266	77.51
1980-1989	1-4	0.00048	0.00190	1.51	99037	188	395678	7652152	77.27
1980-1989	5-9	0.00020	0.00102	2.21	98848	100	493962	7256474	73.41
1980-1989	10-14	0.00020	0.00102	2.79	98748	101	493517	6762512	68.48
1980-1989	15-19	0.00052	0.00262	2.69	98647	259	492640	6268995	63.55
1980-1989	20-24	0.00054	0.00270	2.52	98389	265	491286	5776355	58.71
1980-1989	25-29	0.00056	0.00282	2.56	98123	276	489942	5285068	53.86
1980-1989	30-34	0.00077	0.00382	2.62	97847	374	488342	4795126	49.01
1980-1989	35-39	0.00117	0.00584	2.67	97473	569	486038	4306784	44.18
