PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
KY,m,1960-1969,0,0.02879,0.02808,0.12,100000,2808,97535,6637734,66.38
KY,m,1960-1969,1,0.00179,0.00179,0.5,97192,174,97105,6540199,67.29
KY,m,1960-1969,2,0.00104,0.00104,0.5,97018,100,96968,6443094,66.41
KY,m,1960-1969,3,0.00078,0.00078,0.5,96918,76,96880,6346126,65.48
KY,m,1960-1969,4,0.00072,0.00072,0.5,96842,70,96807,6249246,64.53
KY,m,1960-1969,5,0.00067,0.00067,0.5,96772,65,96740,6152439,63.58
KY,m,1960-1969,6,0.00066,0.00066,0.5,96707,64,96676,6055699,62.62
KY,m,1960-1969,7,0.00054,0.00054,0.5,96644,52,96618,5959023,61.66
KY,m,1960-1969,8,0.00053,0.00053,0.5,96591,51,96566,5862405,60.69
KY,m,1960-1969,9,0.00047,0.00047,0.5,96541,46,96518,5765839,59.72
KY,m,1960-1969,10,0.00045,0.00045,0.5,96495,44,96473,5669322,58.75
KY,m,1960-1969,11,0.00046,0.00046,0.5,96451,45,96429,5572848,57.78
KY,m,1960-1969,12,0.00048,0.00048,0.5,96407,46,96384,5476419,56.81
KY,m,1960-1969,13,0.00065,0.00065,0.5,96361,63,96330,5380036,55.83
KY,m,1960-1969,14,0.00079,0.00079,0.5,96298,76,96260,5283706,54.87
KY,m,1960-1969,15,0.00092,0.00092,0.5,96223,88,96178,5187445,53.91
KY,m,1960-1969,16,0.00143,0.00143,0.5,96134,137,96066,5091267,52.96
KY,m,1960-1969,17,0.00175,0.00175,0.5,95997,168,95913,4995202,52.04
KY,m,1960-1969,18,0.00196,0.00196,0.5,95829,188,95735,4899288,51.13
KY,m,1960-1969,19,0.00210,0.00210,0.5,95642,200,95541,4803553,50.22
KY,m,1960-1969,20,0.00189,0.00188,0.5,95441,180,95351,4708012,49.33
KY,m,1960-1969,21,0.00199,0.00199,0.5,95261,189,95167,4612660,48.42
KY,m,1960-1969,22,0.00219,0.00219,0.5,95072,208,94968,4517494,47.52
KY,m,1960-1969,23,0.00209,0.00208,0.5,94864,198,94765,4422526,46.62
KY,m,1960-1969,24,0.00200,0.00200,0.5,94666,189,94572,4327760,45.72
KY,m,1960-1969,25,0.00201,0.00201,0.5,94477,190,94382,4233189,44.81
KY,m,1960-1969,26,0.00207,0.00207,0.5,94287,195,94189,4138807,43.90
KY,m,1960-1969,27,0.00195,0.00195,0.5,94092,183,94000,4044617,42.99
KY,m,1960-1969,28,0.00239,0.00238,0.5,93909,224,93797,3950617,42.07
KY,m,1960-1969,29,0.00218,0.00218,0.5,93685,204,93583,3856820,41.17
KY,m,1960-1969,30,0.00220,0.00220,0.5,93481,206,93378,3763237,40.26
KY,m,1960-1969,31,0.00228,0.00228,0.5,93275,212,93169,3669859,39.34
KY,m,1960-1969,32,0.00232,0.00231,0.5,93063,215,92955,3576691,38.43
KY,m,1960-1969,33,0.00272,0.00272,0.5,92847,252,92721,3483736,37.52
KY,m,1960-1969,34,0.00289,0.00289,0.5,92595,268,92462,3391014,36.62
KY,m,1960-1969,35,0.00303,0.00302,0.5,92328,279,92188,3298552,35.73
KY,m,1960-1969,36,0.00311,0.00311,0.5,92049,286,91906,3206364,34.83
KY,m,1960-1969,37,0.00326,0.00326,0.5,91763,299,91613,3114459,33.94
KY,m,1960-1969,38,0.00370,0.00369,0.5,91464,338,91295,3022845,33.05
