KY: Kentucky, Lifetables (period 1x5), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.03061	0.02982	0.13	100000	2982	97397	6646521	66.47
1960-1964	1	0.00213	0.00213	0.5	97018	206	96915	6549124	67.50
1960-1964	2	0.00114	0.00114	0.5	96812	111	96756	6452209	66.65
1960-1964	3	0.00085	0.00085	0.5	96701	82	96660	6355452	65.72
1960-1964	4	0.00075	0.00075	0.5	96619	72	96583	6258792	64.78
1960-1964	5	0.00067	0.00067	0.5	96547	64	96515	6162209	63.83
1960-1964	6	0.00075	0.00075	0.5	96483	72	96446	6065694	62.87
1960-1964	7	0.00045	0.00045	0.5	96410	44	96389	5969248	61.91
1960-1964	8	0.00050	0.00050	0.5	96367	48	96343	5872859	60.94
1960-1964	9	0.00042	0.00042	0.5	96319	40	96299	5776517	59.97
1960-1964	10	0.00049	0.00049	0.5	96279	47	96255	5680218	59.00
1960-1964	11	0.00049	0.00049	0.5	96232	47	96208	5583963	58.03
1960-1964	12	0.00050	0.00050	0.5	96184	48	96160	5487755	57.05
1960-1964	13	0.00072	0.00072	0.5	96136	69	96102	5391595	56.08
1960-1964	14	0.00083	0.00083	0.5	96067	79	96027	5295493	55.12
1960-1964	15	0.00092	0.00092	0.5	95988	88	95944	5199466	54.17
1960-1964	16	0.00145	0.00145	0.5	95899	139	95830	5103522	53.22
1960-1964	17	0.00165	0.00165	0.5	95761	158	95682	5007692	52.29
1960-1964	18	0.00173	0.00173	0.5	95602	165	95520	4912011	51.38
1960-1964	19	0.00186	0.00186	0.5	95437	178	95348	4816491	50.47
1960-1964	20	0.00172	0.00172	0.5	95259	163	95178	4721143	49.56
1960-1964	21	0.00189	0.00189	0.5	95096	180	95006	4625965	48.65
1960-1964	22	0.00200	0.00200	0.5	94916	190	94821	4530959	47.74
1960-1964	23	0.00215	0.00215	0.5	94726	204	94624	4436138	46.83
1960-1964	24	0.00200	0.00200	0.5	94522	189	94428	4341514	45.93
1960-1964	25	0.00213	0.00212	0.5	94333	200	94233	4247086	45.02
1960-1964	26	0.00209	0.00209	0.5	94133	197	94034	4152853	44.12
1960-1964	27	0.00188	0.00188	0.5	93936	177	93847	4058819	43.21
1960-1964	28	0.00230	0.00230	0.5	93759	216	93651	3964971	42.29
1960-1964	29	0.00195	0.00194	0.5	93543	182	93453	3871320	41.39
1960-1964	30	0.00222	0.00222	0.5	93362	207	93258	3777867	40.46
1960-1964	31	0.00225	0.00224	0.5	93154	209	93050	3684609	39.55
1960-1964	32	0.00243	0.00243	0.5	92945	225	92832	3591560	38.64
1960-1964	33	0.00250	0.00250	0.5	92720	232	92604	3498727	37.73
1960-1964	34	0.00277	0.00277	0.5	92488	256	92360	3406123	36.83
1960-1964	35	0.00301	0.00301	0.5	92232	278	92093	3313763	35.93
1960-1964	36	0.00327	0.00327	0.5	91955	301	91804	3221670	35.04
1960-1964	37	0.00325	0.00324	0.5	91654	297	91505	3129866	34.15
1960-1964	38	0.00377	0.00376	0.5	91357	344	91185	3038360	33.26
1960-1964	39	0.00419	0.00418	0.5	91013	381	90823	2947175	32.38
1960-1964	40	0.00429	0.00428	0.5	90632	388	90438	2856353	31.52
1960-1964	41	0.00420	0.00419	0.5	90244	378	90055	2765914	30.65
1960-1964	42	0.00523	0.00522	0.5	89865	469	89631	2675860	29.78
1960-1964	43	0.00552	0.00551	0.5	89397	492	89151	2586229	28.93
1960-1964	44	0.00651	0.00649	0.5	88905	577	88616	2497078	28.09
1960-1964	45	0.00682	0.00680	0.5	88327	600	88027	2408462	27.27
1960-1964	46	0.00718	0.00715	0.5	87727	627	87413	2320435	26.45
1960-1964	47	0.00806	0.00803	0.5	87100	699	86750	2233022	25.64
1960-1964	48	0.00894	0.00890	0.5	86400	769	86016	2146272	24.84
1960-1964	49	0.00955	0.00951	0.5	85632	814	85225	2060256	24.06
1960-1964	50	0.01043	0.01038	0.5	84818	880	84377	1975031	23.29
1960-1964	51	0.01118	0.01112	0.5	83937	933	83471	1890654	22.52
1960-1964	52	0.01325	0.01316	0.5	83004	1092	82458	1807183	21.77
1960-1964	53	0.01324	0.01315	0.5	81912	1077	81373	1724725	21.06
1960-1964	54	0.01472	0.01461	0.5	80835	1181	80244	1643352	20.33
1960-1964	55	0.01679	0.01665	0.5	79654	1326	78990	1563108	19.62
1960-1964	56	0.01604	0.01592	0.5	78327	1247	77704	1484118	18.95
1960-1964	57	0.01797	0.01781	0.5	77081	1373	76394	1406414	18.25
1960-1964	58	0.02024	0.02003	0.5	75708	1517	74950	1330019	17.57
1960-1964	59	0.02135	0.02113	0.5	74191	1567	73408	1255070	16.92
1960-1964	60	0.02245	0.02220	0.5	72624	1612	71818	1181662	16.27
1960-1964	61	0.02293	0.02267	0.5	71012	1610	70207	1109844	15.63
1960-1964	62	0.02777	0.02739	0.5	69402	1901	68451	1039637	14.98
1960-1964	63	0.02949	0.02906	0.5	67501	1962	66520	971186	14.39
1960-1964	64	0.03133	0.03085	0.5	65539	2022	64528	904666	13.80
1960-1964	65	0.03449	0.03390	0.5	63517	2153	62441	840138	13.23
1960-1964	66	0.03556	0.03494	0.5	61364	2144	60292	777697	12.67
1960-1964	67	0.03983	0.03905	0.5	59220	2313	58064	717405	12.11
1960-1964	68	0.04235	0.04147	0.5	56907	2360	55727	659342	11.59
1960-1964	69	0.04402	0.04307	0.5	54547	2349	53373	603614	11.07
1960-1964	70	0.05000	0.04878	0.5	52198	2546	50925	550242	10.54
1960-1964	71	0.05030	0.04906	0.5	49652	2436	48434	499317	10.06
1960-1964	72	0.06032	0.05855	0.5	47216	2765	45833	450883	9.55
1960-1964	73	0.06268	0.06078	0.5	44451	2702	43100	405050	9.11
1960-1964	74	0.06528	0.06322	0.5	41749	2639	40430	361950	8.67
1960-1964	75	0.06942	0.06709	0.5	39110	2624	37798	321520	8.22
1960-1964	76	0.07375	0.07113	0.5	36486	2595	35189	283722	7.78
1960-1964	77	0.08023	0.07714	0.5	33891	2614	32584	248533	7.33
1960-1964	78	0.08450	0.08107	0.5	31277	2536	30009	215949	6.90
1960-1964	79	0.09660	0.09215	0.5	28741	2648	27417	185940	6.47
1960-1964	80	0.10941	0.10373	0.5	26093	2707	24740	158523	6.08
1960-1964	81	0.11358	0.10748	0.5	23386	2513	22129	133783	5.72
1960-1964	82	0.12782	0.12014	0.5	20873	2508	19619	111654	5.35
1960-1964	83	0.15161	0.14093	0.5	18365	2588	17071	92035	5.01
1960-1964	84	0.15765	0.14614	0.5	15777	2306	14624	74964	4.75
1960-1964	85	0.17099	0.15752	0.5	13471	2122	12410	60339	4.48
1960-1964	86	0.18711	0.17110	0.5	11349	1942	10378	47929	4.22
1960-1964	87	0.20044	0.18219	0.5	9407	1714	8551	37551	3.99
1960-1964	88	0.21884	0.19726	0.5	7694	1518	6935	29000	3.77
1960-1964	89	0.22817	0.20481	0.5	6176	1265	5544	22065	3.57
1960-1964	90	0.25833	0.22878	0.5	4911	1124	4349	16522	3.36
1960-1964	91	0.26413	0.23332	0.5	3788	884	3346	12172	3.21
1960-1964	92	0.28320	0.24807	0.5	2904	720	2544	8827	3.04
1960-1964	93	0.30307	0.26319	0.5	2183	575	1896	6283	2.88
1960-1964	94	0.32371	0.27862	0.5	1609	448	1385	4387	2.73
1960-1964	95	0.34506	0.29429	0.5	1161	342	990	3002	2.59
1960-1964	96	0.36706	0.31014	0.5	819	254	692	2013	2.46
1960-1964	97	0.38962	0.32609	0.5	565	184	473	1320	2.34
1960-1964	98	0.41266	0.34208	0.5	381	130	316	848	2.23
1960-1964	99	0.43610	0.35803	0.5	251	90	206	532	2.12
