PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
LA,f,1959,0,0.03084,0.03004,0.14,100000,3004,97414,7170930,71.71
LA,f,1959,1,0.00263,0.00262,0.5,96996,254,96869,7073516,72.93
LA,f,1959,2,0.00119,0.00119,0.5,96741,115,96684,6976647,72.12
LA,f,1959,3,0.00107,0.00107,0.5,96626,104,96574,6879963,71.20
LA,f,1959,4,0.00066,0.00066,0.5,96522,64,96491,6783389,70.28
LA,f,1959,5,0.00053,0.00053,0.5,96459,51,96433,6686898,69.32
LA,f,1959,6,0.00063,0.00063,0.5,96408,60,96378,6590465,68.36
LA,f,1959,7,0.00046,0.00046,0.5,96347,44,96325,6494087,67.40
LA,f,1959,8,0.00039,0.00039,0.5,96303,37,96285,6397762,66.43
LA,f,1959,9,0.00020,0.00020,0.5,96266,19,96257,6301477,65.46
LA,f,1959,10,0.00034,0.00034,0.5,96247,33,96231,6205221,64.47
LA,f,1959,11,0.00035,0.00035,0.5,96214,33,96197,6108990,63.49
LA,f,1959,12,0.00048,0.00048,0.5,96180,46,96158,6012793,62.52
LA,f,1959,13,0.00026,0.00026,0.5,96135,25,96122,5916635,61.55
LA,f,1959,14,0.00032,0.00032,0.5,96109,31,96094,5820513,60.56
LA,f,1959,15,0.00039,0.00039,0.5,96079,38,96060,5724419,59.58
LA,f,1959,16,0.00062,0.00062,0.5,96041,60,96011,5628360,58.60
LA,f,1959,17,0.00085,0.00085,0.5,95981,82,95940,5532349,57.64
LA,f,1959,18,0.00086,0.00086,0.5,95899,82,95858,5436408,56.69
LA,f,1959,19,0.00068,0.00068,0.5,95817,65,95784,5340550,55.74
LA,f,1959,20,0.00102,0.00102,0.5,95752,98,95703,5244766,54.77
LA,f,1959,21,0.00083,0.00083,0.5,95654,80,95614,5149063,53.83
LA,f,1959,22,0.00106,0.00106,0.5,95574,101,95523,5053450,52.87
LA,f,1959,23,0.00073,0.00073,0.5,95473,69,95438,4957926,51.93
LA,f,1959,24,0.00097,0.00097,0.5,95404,92,95358,4862488,50.97
LA,f,1959,25,0.00094,0.00094,0.5,95312,90,95267,4767130,50.02
LA,f,1959,26,0.00122,0.00122,0.5,95222,116,95164,4671863,49.06
LA,f,1959,27,0.00090,0.00090,0.5,95106,86,95063,4576700,48.12
LA,f,1959,28,0.00124,0.00124,0.5,95020,118,94961,4481637,47.17
LA,f,1959,29,0.00121,0.00121,0.5,94902,115,94844,4386676,46.22
LA,f,1959,30,0.00117,0.00117,0.5,94787,111,94732,4291832,45.28
LA,f,1959,31,0.00157,0.00157,0.5,94676,149,94602,4197100,44.33
LA,f,1959,32,0.00166,0.00166,0.5,94528,157,94449,4102499,43.40
LA,f,1959,33,0.00148,0.00148,0.5,94371,139,94301,4008049,42.47
LA,f,1959,34,0.00198,0.00197,0.5,94231,186,94138,3913748,41.53
LA,f,1959,35,0.00202,0.00201,0.5,94045,189,93951,3819610,40.61
LA,f,1959,36,0.00139,0.00139,0.5,93856,130,93791,3725660,39.70
LA,f,1959,37,0.00220,0.00220,0.5,93726,206,93623,3631869,38.75
LA,f,1959,38,0.00261,0.00261,0.5,93520,244,93398,3538246,37.83
LA,f,1959,39,0.00250,0.00250,0.5,93275,233,93159,3444848,36.93
LA,f,1959,40,0.00257,0.00257,0.5,93042,239,92923,3351690,36.02
LA,f,1959,41,0.00251,0.00251,0.5,92803,233,92687,3258767,35.11
LA,f,1959,42,0.00342,0.00342,0.5,92571,316,92412,3166080,34.20
LA,f,1959,43,0.00351,0.00350,0.5,92254,323,92093,3073668,33.32
LA,f,1959,44,0.00360,0.00360,0.5,91931,331,91766,2981575,32.43
LA,f,1959,45,0.00409,0.00408,0.5,91600,374,91414,2889809,31.55
LA,f,1959,46,0.00405,0.00404,0.5,91227,369,91042,2798396,30.68
LA,f,1959,47,0.00432,0.00431,0.5,90858,392,90662,2707353,29.80
LA,f,1959,48,0.00487,0.00485,0.5,90466,439,90246,2616691,28.92
LA,f,1959,49,0.00595,0.00593,0.5,90027,534,89760,2526445,28.06
LA,f,1959,50,0.00726,0.00723,0.5,89493,647,89169,2436685,27.23
LA,f,1959,51,0.00573,0.00571,0.5,88846,507,88592,2347516,26.42
LA,f,1959,52,0.00708,0.00705,0.5,88338,623,88027,2258924,25.57
LA,f,1959,53,0.00854,0.00851,0.5,87715,746,87342,2170897,24.75
LA,f,1959,54,0.01136,0.01130,0.5,86969,982,86478,2083555,23.96
LA,f,1959,55,0.00914,0.00910,0.5,85987,782,85596,1997077,23.23
LA,f,1959,56,0.00957,0.00952,0.5,85204,811,84799,1911482,22.43
LA,f,1959,57,0.01119,0.01112,0.5,84393,939,83924,1826683,21.64
LA,f,1959,58,0.01212,0.01204,0.5,83454,1005,82952,1742759,20.88
LA,f,1959,59,0.01450,0.01439,0.5,82449,1187,81856,1659808,20.13
LA,f,1959,60,0.01498,0.01487,0.5,81262,1208,80658,1577952,19.42
LA,f,1959,61,0.01274,0.01266,0.5,80054,1014,79547,1497294,18.70
LA,f,1959,62,0.01835,0.01818,0.5,79040,1437,78322,1417747,17.94
LA,f,1959,63,0.01977,0.01957,0.5,77603,1519,76844,1339425,17.26
LA,f,1959,64,0.01859,0.01842,0.5,76084,1401,75384,1262581,16.59
LA,f,1959,65,0.02189,0.02165,0.5,74683,1617,73875,1187197,15.90
LA,f,1959,66,0.02247,0.02222,0.5,73066,1624,72254,1113323,15.24
LA,f,1959,67,0.02525,0.02493,0.5,71443,1781,70552,1041068,14.57
LA,f,1959,68,0.02937,0.02895,0.5,69661,2017,68653,970516,13.93
LA,f,1959,69,0.02937,0.02895,0.5,67645,1958,66666,901863,13.33
LA,f,1959,70,0.03666,0.03600,0.5,65686,2365,64504,835198,12.71
LA,f,1959,71,0.03238,0.03187,0.5,63322,2018,62313,770694,12.17
LA,f,1959,72,0.04091,0.04009,0.5,61304,2458,60075,708381,11.56
LA,f,1959,73,0.03856,0.03783,0.5,58846,2226,57733,648306,11.02
LA,f,1959,74,0.04349,0.04256,0.5,56620,2410,55415,590573,10.43
LA,f,1959,75,0.05258,0.05123,0.5,54210,2777,52821,535158,9.87
LA,f,1959,76,0.05276,0.05141,0.5,51433,2644,50111,482336,9.38
LA,f,1959,77,0.05676,0.05519,0.5,48789,2693,47442,432226,8.86
LA,f,1959,78,0.07241,0.06988,0.5,46096,3221,44485,384783,8.35
LA,f,1959,79,0.07345,0.07085,0.5,42875,3038,41356,340298,7.94
LA,f,1959,80,0.08362,0.08027,0.5,39837,3198,38238,298942,7.50
LA,f,1959,81,0.08184,0.07862,0.5,36639,2881,35199,260704,7.12
LA,f,1959,82,0.10516,0.09991,0.5,33759,3373,32072,225505,6.68
LA,f,1959,83,0.10802,0.10249,0.5,30386,3114,28829,193432,6.37
LA,f,1959,84,0.11635,0.10995,0.5,27272,2999,25773,164603,6.04
LA,f,1959,85,0.13491,0.12638,0.5,24273,3068,22739,138831,5.72
LA,f,1959,86,0.13687,0.12810,0.5,21206,2716,19847,116091,5.47
LA,f,1959,87,0.15984,0.14801,0.5,18489,2737,17121,96244,5.21
LA,f,1959,88,0.15327,0.14236,0.5,15752,2243,14631,79123,5.02
LA,f,1959,89,0.16400,0.15157,0.5,13510,2048,12486,64492,4.77
LA,f,1959,90,0.17533,0.16120,0.5,11462,1848,10538,52006,4.54
LA,f,1959,91,0.18726,0.17123,0.5,9615,1646,8791,41467,4.31
LA,f,1959,92,0.19981,0.18166,0.5,7968,1448,7244,32676,4.10
LA,f,1959,93,0.21298,0.19248,0.5,6521,1255,5893,25431,3.90
LA,f,1959,94,0.22677,0.20368,0.5,5266,1072,4729,19538,3.71
LA,f,1959,95,0.24119,0.21523,0.5,4193,902,3742,14809,3.53
LA,f,1959,96,0.25621,0.22712,0.5,3291,747,2917,11067,3.36
LA,f,1959,97,0.27184,0.23931,0.5,2543,609,2239,8150,3.20
LA,f,1959,98,0.28804,0.25178,0.5,1935,487,1691,5911,3.06
LA,f,1959,99,0.30481,0.26450,0.5,1448,383,1256,4220,2.92
LA,f,1959,100,0.32212,0.27744,0.5,1065,295,917,2964,2.78
LA,f,1959,101,0.33993,0.29054,0.5,769,224,658,2047,2.66
LA,f,1959,102,0.35820,0.30379,0.5,546,166,463,1390,2.55
LA,f,1959,103,0.37689,0.31713,0.5,380,120,320,927,2.44
LA,f,1959,104,0.39596,0.33052,0.5,259,86,217,607,2.34
LA,f,1959,105,0.41534,0.34392,0.5,174,60,144,390,2.25
LA,f,1959,106,0.43500,0.35729,0.5,114,41,94,247,2.16
LA,f,1959,107,0.45486,0.37058,0.5,73,27,60,153,2.09
LA,f,1959,108,0.47486,0.38375,0.5,46,18,37,93,2.02
LA,f,1959,109,0.49495,0.39676,0.5,28,11,23,56,1.97
LA,f,1959,110+,0.51505,1.00000,1.94,17,17,33,33,1.94
LA,f,1960,0,0.02930,0.02857,0.14,100000,2857,97529,7135749,71.36
LA,f,1960,1,0.00216,0.00215,0.5,97143,209,97038,7038221,72.45
LA,f,1960,2,0.00143,0.00143,0.5,96934,138,96864,6941182,71.61
LA,f,1960,3,0.00097,0.00097,0.5,96795,94,96748,6844318,70.71
LA,f,1960,4,0.00091,0.00090,0.5,96701,87,96657,6747570,69.78
LA,f,1960,5,0.00064,0.00064,0.5,96614,62,96583,6650912,68.84
LA,f,1960,6,0.00033,0.00033,0.5,96552,32,96536,6554330,67.88
LA,f,1960,7,0.00055,0.00055,0.5,96520,53,96494,6457793,66.91
LA,f,1960,8,0.00038,0.00038,0.5,96467,36,96449,6361300,65.94
LA,f,1960,9,0.00022,0.00022,0.5,96431,21,96420,6264850,64.97
LA,f,1960,10,0.00017,0.00017,0.5,96410,16,96401,6168430,63.98
LA,f,1960,11,0.00037,0.00037,0.5,96393,36,96375,6072029,62.99
LA,f,1960,12,0.00041,0.00041,0.5,96357,39,96338,5975653,62.02
LA,f,1960,13,0.00057,0.00057,0.5,96318,55,96291,5879316,61.04
LA,f,1960,14,0.00063,0.00063,0.5,96263,61,96233,5783025,60.08
LA,f,1960,15,0.00046,0.00046,0.5,96203,45,96180,5686792,59.11
LA,f,1960,16,0.00057,0.00057,0.5,96158,55,96131,5590612,58.14
LA,f,1960,17,0.00099,0.00099,0.5,96103,95,96055,5494481,57.17
