PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
LA,m,1960-1964,0,0.03525,0.03421,0.14,100000,3421,97056,6479209,64.79
LA,m,1960-1964,1,0.00257,0.00257,0.5,96579,248,96455,6382152,66.08
LA,m,1960-1964,2,0.00144,0.00144,0.5,96331,139,96262,6285697,65.25
LA,m,1960-1964,3,0.00102,0.00102,0.5,96192,99,96143,6189436,64.34
LA,m,1960-1964,4,0.00078,0.00078,0.5,96094,75,96056,6093293,63.41
LA,m,1960-1964,5,0.00057,0.00056,0.5,96018,54,95991,5997237,62.46
LA,m,1960-1964,6,0.00060,0.00060,0.5,95964,57,95936,5901245,61.49
LA,m,1960-1964,7,0.00046,0.00046,0.5,95907,44,95885,5805310,60.53
LA,m,1960-1964,8,0.00053,0.00053,0.5,95863,50,95837,5709425,59.56
LA,m,1960-1964,9,0.00049,0.00049,0.5,95812,47,95789,5613588,58.59
LA,m,1960-1964,10,0.00050,0.00050,0.5,95765,48,95741,5517799,57.62
LA,m,1960-1964,11,0.00062,0.00062,0.5,95717,59,95687,5422058,56.65
LA,m,1960-1964,12,0.00064,0.00064,0.5,95658,61,95627,5326370,55.68
LA,m,1960-1964,13,0.00063,0.00063,0.5,95597,60,95567,5230743,54.72
LA,m,1960-1964,14,0.00079,0.00079,0.5,95537,76,95499,5135177,53.75
LA,m,1960-1964,15,0.00106,0.00106,0.5,95461,101,95410,5039678,52.79
LA,m,1960-1964,16,0.00119,0.00119,0.5,95359,113,95303,4944268,51.85
LA,m,1960-1964,17,0.00144,0.00144,0.5,95246,137,95177,4848965,50.91
LA,m,1960-1964,18,0.00174,0.00173,0.5,95109,165,95026,4753788,49.98
LA,m,1960-1964,19,0.00217,0.00217,0.5,94944,206,94841,4658761,49.07
LA,m,1960-1964,20,0.00217,0.00217,0.5,94738,205,94635,4563921,48.17
LA,m,1960-1964,21,0.00243,0.00242,0.5,94533,229,94418,4469285,47.28
LA,m,1960-1964,22,0.00249,0.00249,0.5,94303,235,94186,4374867,46.39
LA,m,1960-1964,23,0.00237,0.00237,0.5,94069,223,93957,4280681,45.51
LA,m,1960-1964,24,0.00220,0.00219,0.5,93846,206,93743,4186724,44.61
LA,m,1960-1964,25,0.00245,0.00245,0.5,93640,229,93526,4092981,43.71
LA,m,1960-1964,26,0.00247,0.00246,0.5,93411,230,93296,3999456,42.82
LA,m,1960-1964,27,0.00223,0.00223,0.5,93181,208,93077,3906160,41.92
LA,m,1960-1964,28,0.00217,0.00217,0.5,92973,202,92872,3813083,41.01
