PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MA,b,1960-1964,0,0.02132,0.02092,0.11,100000,2092,98133,7123191,71.23
MA,b,1960-1964,1-4,0.00073,0.00290,1.69,97908,284,390977,7025058,71.75
MA,b,1960-1964,5-9,0.00040,0.00200,2.24,97624,195,487580,6634081,67.96
MA,b,1960-1964,10-14,0.00033,0.00166,2.58,97429,162,486752,6146501,63.09
MA,b,1960-1964,15-19,0.00061,0.00307,2.77,97267,299,485669,5659749,58.19
MA,b,1960-1964,20-24,0.00083,0.00414,2.51,96969,402,483844,5174079,53.36
MA,b,1960-1964,25-29,0.00087,0.00434,2.62,96567,419,481835,4690236,48.57
MA,b,1960-1964,30-34,0.00120,0.00596,2.61,96148,573,479372,4208401,43.77
MA,b,1960-1964,35-39,0.00192,0.00957,2.73,95575,915,475799,3729029,39.02
MA,b,1960-1964,40-44,0.00311,0.01544,2.7,94660,1462,469942,3253230,34.37
MA,b,1960-1964,45-49,0.00527,0.02605,2.7,93198,2428,460411,2783288,29.86
MA,b,1960-1964,50-54,0.00868,0.04255,2.68,90770,3863,444907,2322877,25.59
MA,b,1960-1964,55-59,0.01333,0.06463,2.68,86908,5617,421507,1877970,21.61
MA,b,1960-1964,60-64,0.02025,0.09664,2.64,81291,7856,387903,1456463,17.92
MA,b,1960-1964,65-69,0.03127,0.14537,2.59,73435,10675,341446,1068560,14.55
MA,b,1960-1964,70-74,0.04657,0.20915,2.57,62759,13126,281863,727114,11.59
MA,b,1960-1964,75-79,0.06937,0.29606,2.53,49634,14695,211828,445251,8.97
MA,b,1960-1964,80-84,0.11126,0.43374,2.46,34939,15154,136212,233423,6.68
MA,b,1960-1964,85-89,0.17116,0.58594,2.31,19785,11593,67732,97211,4.91
MA,b,1960-1964,90-94,0.25428,0.73536,2.13,8192,6024,23691,29479,3.60
MA,b,1960-1964,95-99,0.35983,0.85175,1.91,2168,1847,5132,5788,2.67
MA,b,1960-1964,100-104,0.48159,0.92460,1.67,321,297,617,657,2.04
MA,b,1960-1964,105-109,0.60698,0.96256,1.45,24,23,38,40,1.64
MA,b,1960-1964,110+,0.70531,1.00000,1.42,1,1,1,1,1.42
MA,b,1965-1969,0,0.02040,0.02004,0.1,100000,2004,98207,7118376,71.18
MA,b,1965-1969,1-4,0.00072,0.00289,1.66,97996,283,391323,7020169,71.64
MA,b,1965-1969,5-9,0.00037,0.00184,2.28,97713,180,488075,6628846,67.84
MA,b,1965-1969,10-14,0.00031,0.00155,2.58,97533,151,487298,6140772,62.96
MA,b,1965-1969,15-19,0.00075,0.00372,2.78,97381,362,486103,5653474,58.05
MA,b,1965-1969,20-24,0.00098,0.00487,2.53,97019,472,483928,5167371,53.26
MA,b,1965-1969,25-29,0.00093,0.00466,2.56,96547,450,481636,4683443,48.51
MA,b,1965-1969,30-34,0.00131,0.00651,2.66,96097,625,479021,4201807,43.72
MA,b,1965-1969,35-39,0.00203,0.01009,2.63,95472,963,475080,3722786,38.99
MA,b,1965-1969,40-44,0.00331,0.01641,2.68,94509,1551,468945,3247706,34.36
MA,b,1965-1969,45-49,0.00530,0.02618,2.67,92958,2433,459116,2778760,29.89
MA,b,1965-1969,50-54,0.00871,0.04269,2.66,90525,3865,443564,2319644,25.62
MA,b,1965-1969,55-59,0.01355,0.06567,2.65,86660,5691,419950,1876080,21.65
MA,b,1965-1969,60-64,0.02052,0.09781,2.62,80969,7920,386012,1456130,17.98
MA,b,1965-1969,65-69,0.03036,0.14142,2.58,73049,10331,340257,1070119,14.65
MA,b,1965-1969,70-74,0.04674,0.21003,2.59,62718,13173,281855,729861,11.64
MA,b,1965-1969,75-79,0.06983,0.29751,2.51,49545,14740,211084,448006,9.04
MA,b,1965-1969,80-84,0.10825,0.42443,2.46,34805,14772,136472,236922,6.81
MA,b,1965-1969,85-89,0.16687,0.57708,2.33,20033,11560,69280,100450,5.01
MA,b,1965-1969,90-94,0.24776,0.72591,2.15,8472,6150,24823,31170,3.68
MA,b,1965-1969,95-99,0.35047,0.84388,1.93,2322,1960,5591,6347,2.73
MA,b,1965-1969,100-104,0.47134,0.92019,1.69,363,334,708,756,2.09
MA,b,1965-1969,105-109,0.59728,0.96049,1.47,29,28,47,48,1.66
MA,b,1965-1969,110+,0.69680,1.00000,1.44,1,1,2,2,1.44
MA,b,1970-1974,0,0.01541,0.01519,0.09,100000,1519,98619,7235261,72.35
MA,b,1970-1974,1-4,0.00065,0.00259,1.73,98481,255,393344,7136642,72.47
MA,b,1970-1974,5-9,0.00034,0.00171,2.24,98225,168,490661,6743298,68.65
MA,b,1970-1974,10-14,0.00031,0.00155,2.78,98057,152,489947,6252637,63.77
MA,b,1970-1974,15-19,0.00091,0.00454,2.88,97905,444,488581,5762690,58.86
MA,b,1970-1974,20-24,0.00105,0.00525,2.45,97461,511,485997,5274109,54.12
MA,b,1970-1974,25-29,0.00104,0.00518,2.53,96949,502,483504,4788112,49.39
MA,b,1970-1974,30-34,0.00126,0.00626,2.64,96447,604,480814,4304607,44.63
MA,b,1970-1974,35-39,0.00191,0.00949,2.71,95843,909,477134,3823793,39.90
MA,b,1970-1974,40-44,0.00322,0.01596,2.7,94934,1515,471185,3346659,35.25
MA,b,1970-1974,45-49,0.00508,0.02511,2.66,93419,2346,461605,2875474,30.78
MA,b,1970-1974,50-54,0.00782,0.03839,2.66,91073,3497,447191,2413869,26.50
MA,b,1970-1974,55-59,0.01247,0.06056,2.64,87577,5303,425374,1966678,22.46
