MA: Massachusetts, Lifetables (period 1x1), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02681	0.02619	0.12	100000	2619	97688	6763382	67.63
1959	1	0.00120	0.00120	0.5	97381	117	97323	6665694	68.45
1959	2	0.00071	0.00071	0.5	97264	69	97230	6568371	67.53
1959	3	0.00080	0.00080	0.5	97196	78	97157	6471141	66.58
1959	4	0.00085	0.00085	0.5	97118	82	97077	6373984	65.63
1959	5	0.00046	0.00046	0.5	97036	45	97013	6276907	64.69
1959	6	0.00057	0.00057	0.5	96991	56	96963	6179894	63.72
1959	7	0.00051	0.00051	0.5	96936	50	96911	6082930	62.75
1959	8	0.00032	0.00032	0.5	96886	31	96870	5986020	61.78
1959	9	0.00050	0.00050	0.5	96855	49	96830	5889149	60.80
1959	10	0.00058	0.00058	0.5	96806	56	96778	5792319	59.83
1959	11	0.00036	0.00036	0.5	96750	34	96733	5695541	58.87
1959	12	0.00049	0.00049	0.5	96716	47	96692	5598808	57.89
1959	13	0.00044	0.00044	0.5	96668	42	96647	5502116	56.92
1959	14	0.00069	0.00069	0.5	96626	67	96593	5405469	55.94
1959	15	0.00080	0.00080	0.5	96559	78	96520	5308876	54.98
1959	16	0.00096	0.00095	0.5	96481	92	96435	5212356	54.02
1959	17	0.00097	0.00097	0.5	96389	94	96342	5115921	53.08
1959	18	0.00105	0.00105	0.5	96296	101	96245	5019578	52.13
1959	19	0.00099	0.00099	0.5	96195	96	96147	4923333	51.18
1959	20	0.00123	0.00123	0.5	96099	119	96040	4827186	50.23
1959	21	0.00125	0.00125	0.5	95981	120	95921	4731147	49.29
1959	22	0.00170	0.00170	0.5	95861	163	95779	4635226	48.35
1959	23	0.00130	0.00130	0.5	95698	124	95636	4539446	47.44
1959	24	0.00087	0.00087	0.5	95574	83	95532	4443810	46.50
1959	25	0.00104	0.00104	0.5	95490	100	95441	4348278	45.54
1959	26	0.00099	0.00099	0.5	95391	94	95344	4252838	44.58
1959	27	0.00083	0.00083	0.5	95296	79	95257	4157494	43.63
1959	28	0.00150	0.00150	0.5	95217	143	95145	4062237	42.66
1959	29	0.00127	0.00127	0.5	95074	121	95014	3967092	41.73
1959	30	0.00158	0.00158	0.5	94953	150	94878	3872078	40.78
1959	31	0.00140	0.00139	0.5	94803	132	94737	3777200	39.84
1959	32	0.00181	0.00181	0.5	94671	171	94585	3682463	38.90
1959	33	0.00152	0.00152	0.5	94500	144	94428	3587877	37.97
1959	34	0.00174	0.00174	0.5	94356	164	94274	3493449	37.02
1959	35	0.00193	0.00192	0.5	94192	181	94101	3399176	36.09
1959	36	0.00186	0.00185	0.5	94010	174	93923	3305075	35.16
1959	37	0.00262	0.00262	0.5	93836	246	93713	3211151	34.22
1959	38	0.00255	0.00254	0.5	93590	238	93471	3117438	33.31
1959	39	0.00297	0.00297	0.5	93352	277	93214	3023967	32.39
1959	40	0.00346	0.00345	0.5	93075	321	92915	2930753	31.49
1959	41	0.00327	0.00327	0.5	92754	303	92602	2837839	30.60
1959	42	0.00386	0.00385	0.5	92451	356	92273	2745236	29.69
1959	43	0.00453	0.00452	0.5	92095	417	91886	2652964	28.81
1959	44	0.00517	0.00515	0.5	91678	472	91442	2561077	27.94
1959	45	0.00507	0.00505	0.5	91206	461	90975	2469635	27.08
1959	46	0.00631	0.00629	0.5	90745	571	90459	2378660	26.21
1959	47	0.00683	0.00681	0.5	90174	614	89867	2288201	25.38
1959	48	0.00846	0.00842	0.5	89560	754	89183	2198334	24.55
1959	49	0.00835	0.00831	0.5	88806	738	88437	2109151	23.75
1959	50	0.01059	0.01053	0.5	88067	928	87604	2020715	22.95
1959	51	0.01044	0.01039	0.5	87140	905	86687	1933111	22.18
1959	52	0.01133	0.01127	0.5	86234	972	85749	1846424	21.41
1959	53	0.01317	0.01309	0.5	85263	1116	84705	1760675	20.65
1959	54	0.01331	0.01322	0.5	84147	1112	83591	1675970	19.92
1959	55	0.01450	0.01440	0.5	83035	1196	82437	1592380	19.18
1959	56	0.01628	0.01615	0.5	81839	1322	81178	1509943	18.45
1959	57	0.01871	0.01854	0.5	80517	1492	79771	1428765	17.74
1959	58	0.02092	0.02071	0.5	79024	1636	78206	1348995	17.07
1959	59	0.02090	0.02068	0.5	77388	1600	76588	1270788	16.42
1959	60	0.02302	0.02276	0.5	75788	1725	74925	1194200	15.76
1959	61	0.02361	0.02333	0.5	74063	1728	73199	1119275	15.11
