PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MA,m,1960-1964,0,0.02439,0.02387,0.11,100000,2387,97876,6791054,67.91
MA,m,1960-1964,1,0.00112,0.00112,0.5,97613,109,97558,6693177,68.57
MA,m,1960-1964,2,0.00086,0.00086,0.5,97504,84,97462,6595619,67.64
MA,m,1960-1964,3,0.00070,0.00070,0.5,97420,68,97386,6498157,66.70
MA,m,1960-1964,4,0.00061,0.00061,0.5,97351,59,97322,6400772,65.75
MA,m,1960-1964,5,0.00054,0.00054,0.5,97292,52,97266,6303450,64.79
MA,m,1960-1964,6,0.00051,0.00051,0.5,97240,50,97216,6206183,63.82
MA,m,1960-1964,7,0.00052,0.00052,0.5,97191,50,97165,6108968,62.86
MA,m,1960-1964,8,0.00038,0.00038,0.5,97140,37,97122,6011802,61.89
MA,m,1960-1964,9,0.00036,0.00036,0.5,97104,35,97086,5914680,60.91
MA,m,1960-1964,10,0.00044,0.00044,0.5,97069,43,97047,5817594,59.93
MA,m,1960-1964,11,0.00033,0.00033,0.5,97026,32,97010,5720547,58.96
MA,m,1960-1964,12,0.00041,0.00041,0.5,96994,39,96974,5623537,57.98
MA,m,1960-1964,13,0.00042,0.00042,0.5,96954,41,96934,5526563,57.00
MA,m,1960-1964,14,0.00050,0.00050,0.5,96913,49,96889,5429629,56.03
MA,m,1960-1964,15,0.00056,0.00056,0.5,96865,54,96838,5332740,55.05
MA,m,1960-1964,16,0.00076,0.00076,0.5,96811,74,96774,5235902,54.08
MA,m,1960-1964,17,0.00089,0.00089,0.5,96737,86,96695,5139128,53.12
MA,m,1960-1964,18,0.00098,0.00098,0.5,96652,94,96605,5042433,52.17
MA,m,1960-1964,19,0.00103,0.00103,0.5,96557,99,96508,4945829,51.22
MA,m,1960-1964,20,0.00122,0.00122,0.5,96458,117,96399,4849321,50.27
MA,m,1960-1964,21,0.00131,0.00131,0.5,96341,126,96278,4752922,49.33
MA,m,1960-1964,22,0.00119,0.00118,0.5,96215,114,96158,4656644,48.40
MA,m,1960-1964,23,0.00119,0.00119,0.5,96101,115,96044,4560486,47.46
MA,m,1960-1964,24,0.00116,0.00116,0.5,95986,111,95931,4464442,46.51
MA,m,1960-1964,25,0.00109,0.00109,0.5,95875,104,95823,4368511,45.56
MA,m,1960-1964,26,0.00094,0.00094,0.5,95771,90,95726,4272688,44.61
MA,m,1960-1964,27,0.00105,0.00105,0.5,95681,100,95631,4176962,43.66
MA,m,1960-1964,28,0.00128,0.00128,0.5,95581,123,95519,4081332,42.70
MA,m,1960-1964,29,0.00123,0.00123,0.5,95458,118,95399,3985812,41.75
MA,m,1960-1964,30,0.00127,0.00127,0.5,95340,121,95280,3890413,40.81
MA,m,1960-1964,31,0.00154,0.00154,0.5,95219,147,95146,3795134,39.86
MA,m,1960-1964,32,0.00132,0.00132,0.5,95073,125,95010,3699988,38.92
