MD: Maryland, Lifetables (period 1x1), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02942	0.02869	0.13	100000	2869	97504	6877385	68.77
1959	1	0.00155	0.00155	0.5	97131	151	97056	6779881	69.80
1959	2	0.00091	0.00091	0.5	96980	88	96936	6682825	68.91
1959	3	0.00088	0.00088	0.5	96892	85	96850	6585889	67.97
1959	4	0.00073	0.00073	0.5	96807	71	96772	6489039	67.03
1959	5	0.00058	0.00058	0.5	96737	56	96709	6392267	66.08
1959	6	0.00052	0.00052	0.5	96681	50	96656	6295558	65.12
1959	7	0.00051	0.00051	0.5	96630	49	96606	6198903	64.15
1959	8	0.00044	0.00044	0.5	96581	42	96560	6102297	63.18
1959	9	0.00051	0.00051	0.5	96539	49	96515	6005737	62.21
1959	10	0.00033	0.00033	0.5	96490	31	96474	5909222	61.24
1959	11	0.00040	0.00040	0.5	96459	39	96439	5812748	60.26
1959	12	0.00051	0.00051	0.5	96420	49	96395	5716308	59.29
1959	13	0.00036	0.00036	0.5	96371	35	96353	5619913	58.32
1959	14	0.00048	0.00048	0.5	96336	47	96313	5523559	57.34
1959	15	0.00052	0.00052	0.5	96289	50	96264	5427246	56.36
1959	16	0.00065	0.00065	0.5	96239	63	96208	5330982	55.39
1959	17	0.00083	0.00083	0.5	96176	80	96137	5234774	54.43
1959	18	0.00092	0.00092	0.5	96097	88	96052	5138638	53.47
1959	19	0.00069	0.00069	0.5	96008	66	95975	5042586	52.52
1959	20	0.00111	0.00111	0.5	95943	107	95889	4946610	51.56
1959	21	0.00114	0.00114	0.5	95836	109	95781	4850721	50.61
1959	22	0.00120	0.00120	0.5	95727	115	95669	4754940	49.67
1959	23	0.00123	0.00123	0.5	95612	118	95553	4659271	48.73
1959	24	0.00083	0.00083	0.5	95494	80	95454	4563718	47.79
1959	25	0.00119	0.00119	0.5	95414	113	95357	4468264	46.83
1959	26	0.00111	0.00111	0.5	95301	106	95248	4372907	45.89
1959	27	0.00125	0.00125	0.5	95195	119	95136	4277659	44.94
1959	28	0.00117	0.00117	0.5	95076	111	95021	4182523	43.99
1959	29	0.00113	0.00113	0.5	94965	107	94912	4087502	43.04
1959	30	0.00112	0.00112	0.5	94858	106	94805	3992591	42.09
1959	31	0.00115	0.00115	0.5	94752	109	94697	3897786	41.14
1959	32	0.00152	0.00152	0.5	94643	144	94571	3803088	40.18
1959	33	0.00176	0.00176	0.5	94498	166	94415	3708518	39.24
1959	34	0.00178	0.00178	0.5	94332	168	94248	3614103	38.31
1959	35	0.00231	0.00231	0.5	94165	217	94056	3519854	37.38
1959	36	0.00222	0.00222	0.5	93947	209	93843	3425798	36.47
1959	37	0.00297	0.00297	0.5	93739	278	93600	3331955	35.55
1959	38	0.00300	0.00300	0.5	93461	280	93320	3238356	34.65
1959	39	0.00296	0.00296	0.5	93180	276	93043	3145035	33.75
1959	40	0.00383	0.00382	0.5	92905	355	92727	3051993	32.85
1959	41	0.00311	0.00311	0.5	92550	288	92406	2959265	31.97
1959	42	0.00420	0.00419	0.5	92262	386	92069	2866859	31.07
1959	43	0.00483	0.00482	0.5	91876	443	91654	2774790	30.20
1959	44	0.00512	0.00511	0.5	91433	467	91199	2683135	29.35
1959	45	0.00552	0.00550	0.5	90966	500	90716	2591936	28.49
1959	46	0.00578	0.00576	0.5	90466	521	90205	2501220	27.65
1959	47	0.00610	0.00608	0.5	89944	547	89671	2411015	26.81
1959	48	0.00760	0.00757	0.5	89397	677	89059	2321345	25.97
1959	49	0.00826	0.00823	0.5	88720	730	88355	2232286	25.16
1959	50	0.00842	0.00838	0.5	87990	738	87622	2143931	24.37
1959	51	0.00972	0.00967	0.5	87253	844	86831	2056309	23.57
1959	52	0.01013	0.01008	0.5	86409	871	85974	1969478	22.79
1959	53	0.01169	0.01162	0.5	85538	994	85041	1883505	22.02
1959	54	0.01260	0.01252	0.5	84544	1059	84015	1798463	21.27
1959	55	0.01241	0.01234	0.5	83486	1030	82971	1714448	20.54
1959	56	0.01461	0.01450	0.5	82456	1196	81858	1631478	19.79
