MD: Maryland, Lifetables (period 1x10), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02448	0.02396	0.12	100000	2396	97882	6929306	69.29
1960-1969	1	0.00144	0.00144	0.5	97604	140	97534	6831424	69.99
1960-1969	2	0.00089	0.00089	0.5	97463	87	97420	6733890	69.09
1960-1969	3	0.00073	0.00073	0.5	97377	71	97341	6636470	68.15
1960-1969	4	0.00064	0.00064	0.5	97305	63	97274	6539129	67.20
1960-1969	5	0.00055	0.00055	0.5	97243	53	97216	6441855	66.24
1960-1969	6	0.00045	0.00045	0.5	97189	44	97168	6344638	65.28
1960-1969	7	0.00045	0.00045	0.5	97146	44	97124	6247471	64.31
1960-1969	8	0.00041	0.00041	0.5	97102	39	97082	6150347	63.34
1960-1969	9	0.00036	0.00036	0.5	97062	35	97045	6053265	62.36
1960-1969	10	0.00035	0.00035	0.5	97027	34	97010	5956221	61.39
1960-1969	11	0.00034	0.00034	0.5	96994	33	96977	5859210	60.41
1960-1969	12	0.00036	0.00036	0.5	96960	35	96943	5762233	59.43
1960-1969	13	0.00044	0.00044	0.5	96925	43	96904	5665291	58.45
1960-1969	14	0.00052	0.00052	0.5	96882	50	96857	5568387	57.48
1960-1969	15	0.00056	0.00056	0.5	96832	55	96804	5471530	56.51
1960-1969	16	0.00071	0.00071	0.5	96777	69	96743	5374726	55.54
1960-1969	17	0.00095	0.00095	0.5	96708	92	96662	5277983	54.58
1960-1969	18	0.00103	0.00103	0.5	96617	100	96567	5181321	53.63
1960-1969	19	0.00114	0.00114	0.5	96517	110	96462	5084754	52.68
1960-1969	20	0.00110	0.00110	0.5	96406	106	96353	4988293	51.74
1960-1969	21	0.00118	0.00118	0.5	96300	113	96243	4891940	50.80
1960-1969	22	0.00120	0.00120	0.5	96187	115	96129	4795696	49.86
1960-1969	23	0.00116	0.00116	0.5	96071	111	96016	4699567	48.92
1960-1969	24	0.00124	0.00124	0.5	95960	119	95901	4603551	47.97
1960-1969	25	0.00122	0.00122	0.5	95841	117	95783	4507651	47.03
1960-1969	26	0.00131	0.00131	0.5	95724	125	95662	4411868	46.09
1960-1969	27	0.00126	0.00126	0.5	95599	120	95539	4316206	45.15
1960-1969	28	0.00143	0.00143	0.5	95479	136	95411	4220667	44.21
1960-1969	29	0.00139	0.00139	0.5	95343	133	95276	4125256	43.27
1960-1969	30	0.00140	0.00140	0.5	95210	133	95143	4029979	42.33
1960-1969	31	0.00155	0.00155	0.5	95077	148	95003	3934836	41.39
1960-1969	32	0.00169	0.00169	0.5	94929	160	94849	3839833	40.45
1960-1969	33	0.00183	0.00183	0.5	94769	174	94682	3744984	39.52
1960-1969	34	0.00192	0.00192	0.5	94595	181	94504	3650302	38.59
1960-1969	35	0.00223	0.00223	0.5	94414	210	94308	3555797	37.66
1960-1969	36	0.00242	0.00242	0.5	94203	228	94089	3461489	36.74
1960-1969	37	0.00245	0.00244	0.5	93975	230	93861	3367400	35.83
1960-1969	38	0.00282	0.00281	0.5	93746	264	93614	3273539	34.92
1960-1969	39	0.00293	0.00293	0.5	93482	274	93345	3179925	34.02
1960-1969	40	0.00340	0.00339	0.5	93209	316	93050	3086580	33.11
1960-1969	41	0.00363	0.00362	0.5	92892	337	92724	2993529	32.23
1960-1969	42	0.00425	0.00424	0.5	92556	392	92360	2900805	31.34
1960-1969	43	0.00439	0.00438	0.5	92163	404	91962	2808446	30.47
1960-1969	44	0.00488	0.00487	0.5	91760	447	91536	2716484	29.60
1960-1969	45	0.00530	0.00529	0.5	91313	483	91071	2624948	28.75
1960-1969	46	0.00565	0.00563	0.5	90830	511	90574	2533876	27.90
1960-1969	47	0.00631	0.00629	0.5	90318	568	90034	2443302	27.05
1960-1969	48	0.00699	0.00697	0.5	89750	625	89437	2353268	26.22
1960-1969	49	0.00758	0.00755	0.5	89125	673	88788	2263831	25.40
1960-1969	50	0.00885	0.00881	0.5	88452	779	88062	2175042	24.59
