PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MD,b,1959,0,0.02942,0.02869,0.13,100000,2869,97504,6877385,68.77
MD,b,1959,1-4,0.00102,0.00406,1.69,97131,395,387614,6779881,69.80
MD,b,1959,5-9,0.00051,0.00255,2.41,96737,246,483045,6392267,66.08
MD,b,1959,10-14,0.00042,0.00208,2.63,96490,201,481975,5909222,61.24
MD,b,1959,15-19,0.00072,0.00360,2.66,96289,347,480636,5427246,56.36
MD,b,1959,20-24,0.00110,0.00551,2.41,95943,528,478346,4946610,51.56
MD,b,1959,25-29,0.00117,0.00583,2.49,95414,556,475673,4468264,46.83
MD,b,1959,30-34,0.00147,0.00731,2.76,94858,694,472736,3992591,42.09
MD,b,1959,35-39,0.00269,0.01338,2.65,94165,1260,467862,3519854,37.38
MD,b,1959,40-44,0.00421,0.02087,2.7,92905,1939,460057,3051993,32.85
MD,b,1959,45-49,0.00664,0.03271,2.71,90966,2975,448005,2591936,28.49
MD,b,1959,50-54,0.01049,0.05120,2.68,87990,4505,429483,2143931,24.37
MD,b,1959,55-59,0.01564,0.07542,2.66,83486,6297,402688,1714448,20.54
MD,b,1959,60-64,0.02357,0.11141,2.55,77189,8600,364912,1311761,16.99
MD,b,1959,65-69,0.03626,0.16658,2.56,68589,11425,315119,946849,13.80
MD,b,1959,70-74,0.05113,0.22727,2.56,57164,12991,254085,631730,11.05
MD,b,1959,75-79,0.07887,0.32922,2.49,44172,14542,184383,377645,8.55
MD,b,1959,80-84,0.11429,0.44189,2.43,29630,13093,114560,193262,6.52
MD,b,1959,85-89,0.18170,0.60499,2.24,16537,10005,55062,78702,4.76
MD,b,1959,90-94,0.25364,0.73378,2.13,6532,4793,18897,23640,3.62
MD,b,1959,95-99,0.35199,0.84431,1.92,1739,1468,4171,4743,2.73
MD,b,1959,100-104,0.46552,0.91688,1.69,271,248,533,572,2.11
MD,b,1959,105-109,0.58370,0.95693,1.49,23,22,37,38,1.70
MD,b,1959,110+,0.67742,1.00000,1.48,1,1,1,1,1.48
MD,b,1960,0,0.02809,0.02742,0.13,100000,2742,97603,6864359,68.64
MD,b,1960,1-4,0.00104,0.00414,1.63,97258,402,388081,6766756,69.58
MD,b,1960,5-9,0.00048,0.00241,2.44,96856,233,483682,6378675,65.86
MD,b,1960,10-14,0.00045,0.00223,2.7,96623,215,482619,5894993,61.01
MD,b,1960,15-19,0.00071,0.00356,2.82,96408,343,481291,5412374,56.14
MD,b,1960,20-24,0.00113,0.00564,2.7,96065,542,479076,4931083,51.33
MD,b,1960,25-29,0.00143,0.00712,2.5,95523,681,475917,4452007,46.61
MD,b,1960,30-34,0.00165,0.00822,2.65,94842,780,472381,3976090,41.92
MD,b,1960,35-39,0.00260,0.01295,2.7,94063,1218,467507,3503709,37.25
MD,b,1960,40-44,0.00413,0.02045,2.73,92845,1899,459911,3036203,32.70
MD,b,1960,45-49,0.00656,0.03230,2.74,90946,2937,448089,2576292,28.33
MD,b,1960,50-54,0.01058,0.05166,2.7,88008,4546,429570,2128203,24.18
MD,b,1960,55-59,0.01642,0.07905,2.63,83462,6597,401664,1698633,20.35
MD,b,1960,60-64,0.02491,0.11761,2.63,76865,9040,362908,1296969,16.87
MD,b,1960,65-69,0.03649,0.16767,2.58,67825,11372,311639,934061,13.77
MD,b,1960,70-74,0.05196,0.23043,2.55,56453,13008,250359,622422,11.03
MD,b,1960,75-79,0.07984,0.33248,2.49,43445,14445,180916,372063,8.56
MD,b,1960,80-84,0.11389,0.44197,2.47,29000,12817,112537,191147,6.59
MD,b,1960,85-89,0.17584,0.59535,2.29,16183,9634,54792,78610,4.86
MD,b,1960,90-94,0.25199,0.73153,2.13,6548,4790,19010,23818,3.64
MD,b,1960,95-99,0.35088,0.84346,1.92,1758,1483,4226,4808,2.73
MD,b,1960,100-104,0.46506,0.91673,1.7,275,252,542,581,2.11
MD,b,1960,105-109,0.58400,0.95705,1.49,23,22,38,39,1.70
MD,b,1960,110+,0.67844,1.00000,1.47,1,1,1,1,1.47
MD,b,1961,0,0.02625,0.02566,0.12,100000,2566,97745,6921549,69.22
MD,b,1961,1-4,0.00105,0.00420,1.65,97434,409,388777,6823804,70.03
MD,b,1961,5-9,0.00039,0.00194,2.24,97025,188,484605,6435027,66.32
MD,b,1961,10-14,0.00038,0.00188,2.74,96837,182,483771,5950422,61.45
MD,b,1961,15-19,0.00072,0.00359,2.87,96655,347,482532,5466650,56.56
MD,b,1961,20-24,0.00103,0.00512,2.6,96307,494,480351,4984119,51.75
MD,b,1961,25-29,0.00121,0.00602,2.8,95814,577,477800,4503768,47.01
MD,b,1961,30-34,0.00164,0.00819,2.52,95237,780,474252,4025967,42.27
MD,b,1961,35-39,0.00234,0.01164,2.67,94457,1100,469727,3551715,37.60
MD,b,1961,40-44,0.00392,0.01943,2.64,93358,1814,462501,3081988,33.01
MD,b,1961,45-49,0.00637,0.03141,2.72,91544,2875,451153,2619486,28.61
