PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MD,f,1960-1969,0,0.02147,0.02106,0.11,100000,2106,98132,7295136,72.95
MD,f,1960-1969,1,0.00135,0.00135,0.5,97894,132,97827,7197005,73.52
MD,f,1960-1969,2,0.00083,0.00083,0.5,97761,81,97721,7099177,72.62
MD,f,1960-1969,3,0.00064,0.00064,0.5,97680,63,97649,7001456,71.68
MD,f,1960-1969,4,0.00056,0.00056,0.5,97618,55,97590,6903807,70.72
MD,f,1960-1969,5,0.00052,0.00052,0.5,97563,50,97538,6806217,69.76
MD,f,1960-1969,6,0.00042,0.00042,0.5,97512,41,97492,6708679,68.80
MD,f,1960-1969,7,0.00040,0.00040,0.5,97472,39,97452,6611187,67.83
MD,f,1960-1969,8,0.00039,0.00039,0.5,97433,38,97414,6513735,66.85
MD,f,1960-1969,9,0.00029,0.00029,0.5,97395,28,97382,6416321,65.88
MD,f,1960-1969,10,0.00031,0.00031,0.5,97368,30,97353,6318939,64.90
MD,f,1960-1969,11,0.00024,0.00024,0.5,97338,23,97326,6221587,63.92
MD,f,1960-1969,12,0.00027,0.00027,0.5,97314,26,97301,6124261,62.93
MD,f,1960-1969,13,0.00030,0.00030,0.5,97288,29,97273,6026959,61.95
MD,f,1960-1969,14,0.00031,0.00031,0.5,97259,30,97244,5929686,60.97
MD,f,1960-1969,15,0.00036,0.00036,0.5,97229,35,97211,5832442,59.99
MD,f,1960-1969,16,0.00037,0.00037,0.5,97194,36,97176,5735231,59.01
MD,f,1960-1969,17,0.00045,0.00045,0.5,97158,44,97136,5638055,58.03
MD,f,1960-1969,18,0.00050,0.00050,0.5,97114,49,97089,5540920,57.06
MD,f,1960-1969,19,0.00062,0.00062,0.5,97065,61,97035,5443830,56.08
MD,f,1960-1969,20,0.00056,0.00056,0.5,97005,55,96977,5346795,55.12
MD,f,1960-1969,21,0.00065,0.00065,0.5,96950,63,96919,5249818,54.15
MD,f,1960-1969,22,0.00068,0.00068,0.5,96887,66,96854,5152900,53.18
MD,f,1960-1969,23,0.00064,0.00064,0.5,96822,62,96791,5056045,52.22
MD,f,1960-1969,24,0.00075,0.00075,0.5,96760,73,96723,4959254,51.25
MD,f,1960-1969,25,0.00078,0.00078,0.5,96687,76,96649,4862531,50.29
MD,f,1960-1969,26,0.00085,0.00085,0.5,96611,82,96570,4765882,49.33
MD,f,1960-1969,27,0.00089,0.00089,0.5,96529,86,96486,4669311,48.37
MD,f,1960-1969,28,0.00090,0.00090,0.5,96443,86,96400,4572825,47.41
MD,f,1960-1969,29,0.00097,0.00097,0.5,96357,93,96310,4476425,46.46
MD,f,1960-1969,30,0.00099,0.00099,0.5,96264,95,96216,4380115,45.50
MD,f,1960-1969,31,0.00116,0.00116,0.5,96169,112,96113,4283899,44.55
MD,f,1960-1969,32,0.00135,0.00135,0.5,96057,129,95992,4187786,43.60
MD,f,1960-1969,33,0.00145,0.00145,0.5,95928,139,95858,4091794,42.66
MD,f,1960-1969,34,0.00148,0.00148,0.5,95788,142,95717,3995936,41.72
MD,f,1960-1969,35,0.00173,0.00172,0.5,95646,165,95564,3900218,40.78
MD,f,1960-1969,36,0.00190,0.00190,0.5,95481,181,95391,3804655,39.85
MD,f,1960-1969,37,0.00195,0.00194,0.5,95300,185,95207,3709264,38.92
MD,f,1960-1969,38,0.00223,0.00223,0.5,95115,212,95009,3614057,38.00
MD,f,1960-1969,39,0.00227,0.00227,0.5,94903,216,94795,3519048,37.08
MD,f,1960-1969,40,0.00245,0.00244,0.5,94687,231,94572,3424253,36.16
MD,f,1960-1969,41,0.00267,0.00267,0.5,94456,252,94330,3329681,35.25
