ME: Maine, Lifetables (period 5x1), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02697	0.02634	0.12	100000	2634	97690	6992863	69.93
1959	1-4	0.00110	0.00439	1.64	97366	428	388452	6895173	70.82
1959	5-9	0.00056	0.00280	2.29	96938	271	483954	6506721	67.12
1959	10-14	0.00045	0.00224	2.41	96667	216	482774	6022767	62.30
1959	15-19	0.00075	0.00375	2.89	96450	362	481487	5539993	57.44
1959	20-24	0.00130	0.00647	2.17	96088	622	478682	5058507	52.64
1959	25-29	0.00127	0.00634	2.7	95467	606	475938	4579824	47.97
1959	30-34	0.00149	0.00745	2.49	94861	706	472529	4103887	43.26
1959	35-39	0.00188	0.00937	2.46	94155	882	468536	3631358	38.57
1959	40-44	0.00337	0.01674	2.79	93273	1561	462911	3162822	33.91
1959	45-49	0.00621	0.03062	2.64	91712	2808	451924	2699911	29.44
1959	50-54	0.00837	0.04103	2.64	88904	3648	435893	2247987	25.29
1959	55-59	0.01343	0.06503	2.56	85255	5544	412768	1812093	21.25
1959	60-64	0.01961	0.09383	2.7	79711	7479	381354	1399326	17.55
1959	65-69	0.03500	0.16150	2.61	72232	11665	333302	1017972	14.09
1959	70-74	0.04869	0.21849	2.66	60567	13233	271807	684670	11.30
1959	75-79	0.07428	0.31297	2.49	47334	14814	199438	412863	8.72
1959	80-84	0.11257	0.43589	2.41	32519	14175	125916	213424	6.56
1959	85-89	0.18238	0.60678	2.24	18345	11131	61032	87508	4.77
1959	90-94	0.24948	0.72769	2.14	7214	5249	21040	26477	3.67
1959	95-99	0.34637	0.83932	1.93	1964	1649	4760	5436	2.77
1959	100-104	0.45833	0.91340	1.71	316	288	629	676	2.14
1959	105-109	0.57573	0.95494	1.5	27	26	45	47	1.73
1959	110+	0.66966	1.00000	1.49	1	1	2	2	1.49
1960	0	0.02638	0.02579	0.12	100000	2579	97739	7014898	70.15
1960	1-4	0.00107	0.00426	1.67	97421	415	388719	6917159	71.00
1960	5-9	0.00051	0.00255	2.4	97006	247	484388	6528440	67.30
1960	10-14	0.00039	0.00195	2.7	96759	189	483358	6044053	62.47
1960	15-19	0.00101	0.00504	2.67	96570	487	481716	5560694	57.58
1960	20-24	0.00127	0.00634	2.6	96083	609	478956	5078978	52.86
1960	25-29	0.00102	0.00509	2.6	95474	486	476204	4600022	48.18
1960	30-34	0.00125	0.00621	2.67	94988	590	473570	4123818	43.41
1960	35-39	0.00227	0.01130	2.76	94399	1067	469600	3650248	38.67
1960	40-44	0.00351	0.01741	2.63	93332	1625	462807	3180649	34.08
1960	45-49	0.00562	0.02774	2.72	91707	2544	452725	2717842	29.64
1960	50-54	0.00867	0.04248	2.69	89162	3788	437074	2265117	25.40
1960	55-59	0.01313	0.06372	2.69	85375	5440	414313	1828043	21.41
