PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
ME,f,1960-1969,0,0.01992,0.01957,0.11,100000,1957,98256,7422638,74.23
ME,f,1960-1969,1,0.00128,0.00128,0.5,98043,125,97980,7324382,74.71
ME,f,1960-1969,2,0.00099,0.00099,0.5,97917,97,97869,7226402,73.80
ME,f,1960-1969,3,0.00058,0.00058,0.5,97820,56,97792,7128533,72.87
ME,f,1960-1969,4,0.00058,0.00058,0.5,97764,57,97735,7030741,71.92
ME,f,1960-1969,5,0.00051,0.00051,0.5,97707,50,97682,6933006,70.96
ME,f,1960-1969,6,0.00048,0.00048,0.5,97657,47,97633,6835325,69.99
ME,f,1960-1969,7,0.00035,0.00035,0.5,97610,34,97593,6737691,69.03
ME,f,1960-1969,8,0.00036,0.00036,0.5,97576,35,97558,6640099,68.05
ME,f,1960-1969,9,0.00029,0.00029,0.5,97541,28,97526,6542540,67.07
ME,f,1960-1969,10,0.00030,0.00030,0.5,97512,29,97498,6445014,66.09
ME,f,1960-1969,11,0.00031,0.00031,0.5,97483,30,97468,6347516,65.11
ME,f,1960-1969,12,0.00033,0.00033,0.5,97453,33,97437,6250048,64.13
ME,f,1960-1969,13,0.00035,0.00035,0.5,97420,34,97403,6152611,63.16
ME,f,1960-1969,14,0.00033,0.00033,0.5,97386,32,97371,6055208,62.18
ME,f,1960-1969,15,0.00044,0.00044,0.5,97355,43,97333,5957837,61.20
ME,f,1960-1969,16,0.00059,0.00059,0.5,97312,58,97283,5860504,60.22
ME,f,1960-1969,17,0.00052,0.00052,0.5,97254,50,97229,5763220,59.26
ME,f,1960-1969,18,0.00062,0.00062,0.5,97204,61,97174,5665991,58.29
ME,f,1960-1969,19,0.00066,0.00065,0.5,97144,64,97112,5568817,57.33
ME,f,1960-1969,20,0.00049,0.00048,0.5,97080,47,97057,5471705,56.36
ME,f,1960-1969,21,0.00059,0.00059,0.5,97033,57,97005,5374648,55.39
ME,f,1960-1969,22,0.00051,0.00051,0.5,96976,50,96951,5277644,54.42
ME,f,1960-1969,23,0.00061,0.00061,0.5,96926,59,96897,5180693,53.45
ME,f,1960-1969,24,0.00074,0.00074,0.5,96868,72,96832,5083796,52.48
ME,f,1960-1969,25,0.00055,0.00055,0.5,96796,54,96769,4986964,51.52
ME,f,1960-1969,26,0.00076,0.00076,0.5,96742,74,96705,4890195,50.55
ME,f,1960-1969,27,0.00077,0.00076,0.5,96668,74,96631,4793490,49.59
ME,f,1960-1969,28,0.00068,0.00068,0.5,96594,66,96561,4696858,48.62
ME,f,1960-1969,29,0.00094,0.00094,0.5,96529,91,96483,4600297,47.66
ME,f,1960-1969,30,0.00110,0.00110,0.5,96438,106,96385,4503813,46.70
ME,f,1960-1969,31,0.00105,0.00105,0.5,96332,102,96281,4407428,45.75
ME,f,1960-1969,32,0.00095,0.00095,0.5,96231,92,96185,4311147,44.80
ME,f,1960-1969,33,0.00108,0.00108,0.5,96139,104,96087,4214962,43.84
ME,f,1960-1969,34,0.00106,0.00106,0.5,96035,102,95984,4118875,42.89
ME,f,1960-1969,35,0.00122,0.00122,0.5,95933,117,95875,4022891,41.93
ME,f,1960-1969,36,0.00133,0.00133,0.5,95816,127,95752,3927016,40.98
ME,f,1960-1969,37,0.00142,0.00142,0.5,95689,136,95621,3831264,40.04
ME,f,1960-1969,38,0.00185,0.00185,0.5,95553,177,95465,3735643,39.09
ME,f,1960-1969,39,0.00168,0.00167,0.5,95376,160,95296,3640179,38.17
ME,f,1960-1969,40,0.00202,0.00202,0.5,95216,192,95120,3544882,37.23
ME,f,1960-1969,41,0.00198,0.00198,0.5,95024,188,94930,3449762,36.30
ME,f,1960-1969,42,0.00241,0.00241,0.5,94836,228,94722,3354832,35.37
