ME: Maine, Lifetables (period 5x1), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02389	0.02339	0.12	100000	2339	97941	7327753	73.28
1959	1-4	0.00096	0.00385	1.52	97661	376	389712	7229812	74.03
1959	5-9	0.00037	0.00186	2.42	97285	180	485958	6840100	70.31
1959	10-14	0.00035	0.00176	2.29	97104	171	485059	6354142	65.44
1959	15-19	0.00046	0.00229	2.51	96933	222	484113	5869084	60.55
1959	20-24	0.00064	0.00321	2.86	96711	310	482890	5384970	55.68
1959	25-29	0.00070	0.00350	2.69	96401	338	481224	4902080	50.85
1959	30-34	0.00104	0.00520	2.57	96063	499	479103	4420856	46.02
1959	35-39	0.00161	0.00799	2.49	95564	764	475901	3941753	41.25
1959	40-44	0.00250	0.01242	2.84	94800	1177	471457	3465852	36.56
1959	45-49	0.00406	0.02011	2.48	93623	1883	463372	2994395	31.98
1959	50-54	0.00605	0.02981	2.49	91740	2735	451824	2531022	27.59
1959	55-59	0.00875	0.04291	2.7	89006	3819	436256	2079198	23.36
1959	60-64	0.01310	0.06367	2.78	85186	5424	413915	1642942	19.29
1959	65-69	0.02882	0.13481	2.61	79762	10753	373058	1229027	15.41
1959	70-74	0.03798	0.17460	2.69	69009	12049	317208	855969	12.40
1959	75-79	0.06487	0.28018	2.57	56960	15959	246032	538761	9.46
1959	80-84	0.09740	0.38773	2.37	41001	15897	163218	292729	7.14
1959	85-89	0.16296	0.56590	2.3	25104	14206	87176	129510	5.16
1959	90-94	0.23199	0.70149	2.18	10898	7645	32951	42335	3.88
1959	95-99	0.33007	0.82494	1.97	3253	2684	8130	9384	2.88
1959	100-104	0.44515	0.90726	1.74	569	517	1161	1253	2.20
1959	105-109	0.56684	0.95288	1.52	53	50	89	93	1.75
1959	110+	0.66427	1.00000	1.51	2	2	4	4	1.51
1960	0	0.02053	0.02016	0.11	100000	2016	98207	7393670	73.94
1960	1-4	0.00100	0.00398	1.45	97984	390	390943	7295464	74.46
1960	5-9	0.00046	0.00232	2.39	97594	227	487379	6904521	70.75
1960	10-14	0.00021	0.00106	1.99	97367	103	486527	6417142	65.91
1960	15-19	0.00047	0.00234	2.76	97264	228	485812	5930615	60.97
1960	20-24	0.00063	0.00316	2.49	97037	307	484413	5444804	56.11
1960	25-29	0.00078	0.00390	2.96	96730	377	482878	4960391	51.28
1960	30-34	0.00083	0.00413	2.47	96353	398	480756	4477513	46.47
1960	35-39	0.00182	0.00906	3.01	95954	869	478043	3996757	41.65
1960	40-44	0.00293	0.01453	2.34	95085	1382	471749	3518714	37.01
1960	45-49	0.00414	0.02053	2.71	93703	1924	464112	3046965	32.52
1960	50-54	0.00620	0.03052	2.58	91780	2801	452109	2582853	28.14
1960	55-59	0.00824	0.04037	2.55	88978	3592	436077	2130744	23.95
1960	60-64	0.01489	0.07199	2.7	85386	6147	412791	1694667	19.85
1960	65-69	0.02166	0.10307	2.66	79239	8167	377109	1281876	16.18
1960	70-74	0.03533	0.16301	2.63	71072	11586	327944	904767	12.73
1960	75-79	0.05961	0.26036	2.57	59487	15488	259811	576823	9.70
1960	80-84	0.09839	0.39642	2.55	43999	17442	177274	317012	7.21
1960	85-89	0.15110	0.54556	2.45	26557	14488	95884	139738	5.26
1960	90-94	0.24921	0.73026	2.17	12068	8813	35364	43853	3.63
1960	95-99	0.36833	0.86031	1.9	3255	2801	7603	8490	2.61
1960	100-104	0.50585	0.93523	1.63	455	425	841	886	1.95
1960	105-109	0.64362	0.97001	1.4	29	29	44	46	1.55
1960	110+	0.74761	1.00000	1.34	1	1	1	1	1.34
1961	0	0.02382	0.02333	0.12	100000	2333	97946	7398811	73.99
1961	1-4	0.00094	0.00377	1.49	97667	368	389744	7300865	74.75
1961	5-9	0.00062	0.00307	2.15	97299	299	485644	6911121	71.03
1961	10-14	0.00030	0.00151	2.13	97000	146	484581	6425477	66.24
1961	15-19	0.00045	0.00224	2.42	96854	217	483708	5940896	61.34
