ME: Maine, Lifetables (period 5x5), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02109	0.02070	0.11	100000	2070	98162	7393554	73.94
1960-1964	1-4	0.00091	0.00361	1.61	97930	354	390877	7295392	74.50
1960-1964	5-9	0.00045	0.00223	2.03	97576	218	487235	6904515	70.76
1960-1964	10-14	0.00031	0.00153	2.32	97358	149	486395	6417280	65.91
1960-1964	15-19	0.00051	0.00253	2.55	97210	246	485447	5930885	61.01
1960-1964	20-24	0.00058	0.00290	2.78	96964	281	484197	5445438	56.16
1960-1964	25-29	0.00075	0.00375	2.65	96683	363	482562	4961241	51.31
1960-1964	30-34	0.00103	0.00513	2.47	96320	494	480355	4478679	46.50
1960-1964	35-39	0.00165	0.00821	2.68	95827	786	477310	3998324	41.72
1960-1964	40-44	0.00232	0.01151	2.55	95040	1094	472524	3521014	37.05
1960-1964	45-49	0.00386	0.01913	2.72	93946	1797	465627	3048489	32.45
1960-1964	50-54	0.00623	0.03068	2.58	92149	2827	453909	2582862	28.03
1960-1964	55-59	0.00866	0.04246	2.66	89322	3793	437721	2128953	23.83
1960-1964	60-64	0.01421	0.06875	2.66	85530	5880	413886	1691233	19.77
1960-1964	65-69	0.02218	0.10526	2.59	79649	8384	378005	1277347	16.04
1960-1964	70-74	0.03657	0.16844	2.66	71266	12004	328222	899341	12.62
1960-1964	75-79	0.06046	0.26385	2.59	59262	15637	258646	571119	9.64
1960-1964	80-84	0.09745	0.39454	2.59	43625	17212	176624	312473	7.16
1960-1964	85-89	0.15888	0.55923	2.35	26414	14771	92969	135849	5.14
1960-1964	90-94	0.24560	0.72441	2.17	11642	8434	34339	42880	3.68
1960-1964	95-99	0.36022	0.85340	1.92	3209	2738	7601	8541	2.66
1960-1964	100-104	0.49312	0.93013	1.65	470	437	887	939	2.00
1960-1964	105-109	0.62796	0.96711	1.42	33	32	51	52	1.59
1960-1964	110+	0.73123	1.00000	1.37	1	1	1	1	1.37
1965-1969	0	0.01849	0.01819	0.1	100000	1819	98372	7454314	74.54
1965-1969	1-4	0.00080	0.00321	1.66	98181	315	391989	7355942	74.92
1965-1969	5-9	0.00035	0.00174	2.45	97866	171	488896	6963953	71.16
1965-1969	10-14	0.00034	0.00170	2.76	97696	166	488106	6475057	66.28
1965-1969	15-19	0.00062	0.00307	2.74	97530	300	486973	5986951	61.39
1965-1969	20-24	0.00059	0.00295	2.59	97230	287	485459	5499978	56.57
1965-1969	25-29	0.00073	0.00365	2.72	96943	354	483908	5014519	51.73
