PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MI,b,1960-1964,0,0.02375,0.02326,0.11,100000,2326,97939,7032621,70.33
MI,b,1960-1964,1,0.00134,0.00134,0.5,97674,131,97608,6934681,71.00
MI,b,1960-1964,2,0.00085,0.00085,0.5,97543,83,97502,6837073,70.09
MI,b,1960-1964,3,0.00065,0.00065,0.5,97460,64,97429,6739571,69.15
MI,b,1960-1964,4,0.00056,0.00056,0.5,97397,55,97369,6642142,68.20
MI,b,1960-1964,5,0.00051,0.00051,0.5,97342,49,97317,6544773,67.23
MI,b,1960-1964,6,0.00048,0.00048,0.5,97293,46,97269,6447455,66.27
MI,b,1960-1964,7,0.00040,0.00040,0.5,97246,39,97227,6350186,65.30
MI,b,1960-1964,8,0.00038,0.00038,0.5,97208,37,97189,6252959,64.33
MI,b,1960-1964,9,0.00035,0.00035,0.5,97171,34,97154,6155770,63.35
MI,b,1960-1964,10,0.00033,0.00033,0.5,97137,32,97121,6058616,62.37
MI,b,1960-1964,11,0.00034,0.00034,0.5,97105,33,97089,5961495,61.39
MI,b,1960-1964,12,0.00038,0.00038,0.5,97072,37,97054,5864406,60.41
MI,b,1960-1964,13,0.00040,0.00040,0.5,97035,39,97016,5767352,59.44
MI,b,1960-1964,14,0.00048,0.00048,0.5,96996,46,96973,5670336,58.46
MI,b,1960-1964,15,0.00059,0.00059,0.5,96950,57,96922,5573363,57.49
MI,b,1960-1964,16,0.00078,0.00077,0.5,96893,75,96856,5476441,56.52
MI,b,1960-1964,17,0.00085,0.00085,0.5,96818,82,96777,5379585,55.56
MI,b,1960-1964,18,0.00092,0.00092,0.5,96736,89,96692,5282808,54.61
MI,b,1960-1964,19,0.00104,0.00104,0.5,96647,100,96597,5186116,53.66
MI,b,1960-1964,20,0.00111,0.00111,0.5,96547,107,96494,5089519,52.72
MI,b,1960-1964,21,0.00124,0.00124,0.5,96440,120,96380,4993025,51.77
MI,b,1960-1964,22,0.00114,0.00114,0.5,96320,110,96265,4896645,50.84
