MI: Michigan, Lifetables (period 5x1), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02468	0.02415	0.12	100000	2415	97867	7012688	70.13
1959	1-4	0.00087	0.00348	1.61	97585	340	389528	6914821	70.86
1959	5-9	0.00046	0.00230	2.35	97245	223	485634	6525293	67.10
1959	10-14	0.00045	0.00223	2.67	97022	217	484603	6039658	62.25
1959	15-19	0.00084	0.00417	2.59	96805	403	483053	5555055	57.38
1959	20-24	0.00110	0.00550	2.44	96402	530	480653	5072002	52.61
1959	25-29	0.00114	0.00569	2.52	95872	545	478007	4591349	47.89
1959	30-34	0.00147	0.00732	2.64	95327	698	474987	4113342	43.15
1959	35-39	0.00204	0.01015	2.62	94629	961	470859	3638355	38.45
1959	40-44	0.00333	0.01653	2.72	93668	1548	464814	3167496	33.82
1959	45-49	0.00570	0.02814	2.73	92120	2592	454703	2702681	29.34
1959	50-54	0.00896	0.04388	2.63	89528	3929	438345	2247978	25.11
1959	55-59	0.01377	0.06668	2.61	85599	5707	414378	1809632	21.14
1959	60-64	0.02108	0.10035	2.61	79892	8017	380325	1395255	17.46
1959	65-69	0.03298	0.15278	2.59	71875	10981	332927	1014930	14.12
1959	70-74	0.04971	0.22188	2.58	60894	13511	271790	682003	11.20
1959	75-79	0.07576	0.31872	2.51	47383	15102	199350	410213	8.66
1959	80-84	0.11544	0.44595	2.45	32281	14395	124697	210863	6.53
1959	85-89	0.17775	0.60353	2.34	17885	10794	60729	86166	4.82
1959	90-94	0.25573	0.74209	2.17	7091	5262	20577	25437	3.59
1959	95-99	0.36203	0.85321	1.9	1829	1560	4310	4859	2.66
1959	100-104	0.48108	0.92414	1.67	268	248	516	549	2.05
1959	105-109	0.60359	0.96170	1.46	20	20	32	34	1.65
1959	110+	0.69986	1.00000	1.43	1	1	1	1	1.43
1960	0	0.02433	0.02382	0.12	100000	2382	97895	7018264	70.18
1960	1-4	0.00092	0.00367	1.62	97618	359	389620	6920369	70.89
1960	5-9	0.00044	0.00219	2.37	97259	213	485737	6530749	67.15
1960	10-14	0.00041	0.00203	2.62	97046	197	484765	6045012	62.29
1960	15-19	0.00085	0.00424	2.9	96850	411	483386	5560247	57.41
1960	20-24	0.00116	0.00580	2.51	96439	559	480804	5076862	52.64
1960	25-29	0.00111	0.00555	2.53	95879	532	478085	4596058	47.94
1960	30-34	0.00142	0.00708	2.63	95348	675	475139	4117973	43.19
1960	35-39	0.00199	0.00992	2.69	94673	939	471190	3642835	38.48
1960	40-44	0.00342	0.01698	2.67	93733	1592	464959	3171645	33.84
1960	45-49	0.00565	0.02790	2.68	92141	2571	454735	2706686	29.38
1960	50-54	0.00917	0.04488	2.65	89571	4020	438391	2251951	25.14
1960	55-59	0.01386	0.06712	2.65	85551	5742	414235	1813560	21.20
1960	60-64	0.02091	0.09955	2.61	79808	7945	380035	1399325	17.53
1960	65-69	0.03238	0.15031	2.61	71863	10802	333547	1019290	14.18
1960	70-74	0.04932	0.22043	2.59	61061	13460	272902	685744	11.23
1960	75-79	0.07579	0.31959	2.55	47602	15213	200729	412842	8.67
1960	80-84	0.11525	0.44420	2.42	32389	14387	124837	212113	6.55
1960	85-89	0.17537	0.59334	2.28	18002	10681	60905	87276	4.85
1960	90-94	0.25504	0.73495	2.12	7321	5380	21096	26371	3.60
1960	95-99	0.35320	0.84539	1.92	1940	1640	4644	5275	2.72
1960	100-104	0.46715	0.91764	1.69	300	275	589	631	2.10
1960	105-109	0.58560	0.95741	1.49	25	24	40	42	1.70
1960	110+	0.67969	1.00000	1.47	1	1	2	2	1.47
1961	0	0.02416	0.02366	0.12	100000	2366	97907	7052743	70.53
1961	1-4	0.00088	0.00351	1.58	97634	342	389708	6954836	71.23
1961	5-9	0.00044	0.00222	2.28	97292	216	485873	6565128	67.48
1961	10-14	0.00035	0.00174	2.63	97076	169	484980	6079255	62.62
1961	15-19	0.00080	0.00400	2.72	96907	388	483651	5594275	57.73
1961	20-24	0.00118	0.00589	2.4	96519	568	481121	5110624	52.95
1961	25-29	0.00099	0.00493	2.59	95951	473	478618	4629504	48.25
1961	30-34	0.00137	0.00683	2.63	95478	652	475846	4150886	43.47
1961	35-39	0.00209	0.01040	2.7	94826	986	471867	3675040	38.76
1961	40-44	0.00324	0.01609	2.68	93840	1510	465705	3203174	34.13
1961	45-49	0.00549	0.02712	2.71	92330	2504	455925	2737468	29.65
1961	50-54	0.00871	0.04270	2.67	89826	3836	440181	2281543	25.40
1961	55-59	0.01342	0.06503	2.61	85991	5592	416614	1841362	21.41
1961	60-64	0.02066	0.09845	2.61	80399	7915	383056	1424748	17.72
1961	65-69	0.03133	0.14567	2.6	72483	10559	337039	1041692	14.37
1961	70-74	0.04844	0.21653	2.55	61925	13409	276815	704653	11.38
1961	75-79	0.07302	0.30975	2.55	48516	15028	205799	427838	8.82
1961	80-84	0.11302	0.43881	2.45	33488	14695	130022	222039	6.63
1961	85-89	0.17183	0.58537	2.28	18793	11001	64023	92017	4.90
1961	90-94	0.25554	0.73714	2.13	7792	5744	22478	27994	3.59
1961	95-99	0.35677	0.84868	1.91	2048	1738	4872	5516	2.69
1961	100-104	0.47338	0.92062	1.68	310	285	603	644	2.08
1961	105-109	0.59372	0.95939	1.47	25	24	40	41	1.67
1961	110+	0.68868	1.00000	1.45	1	1	1	1	1.45
1962	0	0.02377	0.02328	0.11	100000	2328	97939	7041865	70.42
1962	1-4	0.00079	0.00314	1.63	97672	307	389962	6943926	71.09
1962	5-9	0.00040	0.00199	2.31	97366	194	486308	6553964	67.31
1962	10-14	0.00039	0.00197	2.61	97172	191	485403	6067656	62.44
1962	15-19	0.00071	0.00353	2.81	96981	342	484154	5582253	57.56
1962	20-24	0.00107	0.00536	2.51	96639	518	481902	5098100	52.75
1962	25-29	0.00105	0.00526	2.53	96121	505	479357	4616197	48.02
1962	30-34	0.00137	0.00681	2.49	95616	651	476442	4136840	43.27
1962	35-39	0.00196	0.00975	2.73	94964	926	472717	3660398	38.55
1962	40-44	0.00332	0.01649	2.66	94038	1551	466561	3187682	33.90
1962	45-49	0.00547	0.02701	2.73	92487	2498	456761	2721121	29.42
1962	50-54	0.00898	0.04398	2.69	89989	3958	440810	2264360	25.16
1962	55-59	0.01369	0.06630	2.64	86031	5704	416680	1823550	21.20
1962	60-64	0.02129	0.10140	2.66	80327	8145	382556	1406871	17.51
1962	65-69	0.03248	0.15046	2.55	72182	10860	334334	1024315	14.19
