PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MI,m,1960-1969,0,0.02606,0.02547,0.11,100000,2547,97746,6707467,67.07
MI,m,1960-1969,1,0.00144,0.00144,0.5,97453,141,97383,6609721,67.82
MI,m,1960-1969,2,0.00090,0.00090,0.5,97313,88,97269,6512339,66.92
MI,m,1960-1969,3,0.00076,0.00076,0.5,97225,74,97188,6415070,65.98
MI,m,1960-1969,4,0.00063,0.00063,0.5,97151,61,97121,6317882,65.03
MI,m,1960-1969,5,0.00061,0.00061,0.5,97090,59,97061,6220761,64.07
MI,m,1960-1969,6,0.00054,0.00054,0.5,97031,52,97005,6123700,63.11
MI,m,1960-1969,7,0.00046,0.00046,0.5,96979,44,96957,6026695,62.14
MI,m,1960-1969,8,0.00045,0.00045,0.5,96935,44,96913,5929738,61.17
MI,m,1960-1969,9,0.00042,0.00042,0.5,96891,41,96870,5832826,60.20
MI,m,1960-1969,10,0.00040,0.00040,0.5,96850,39,96830,5735955,59.23
MI,m,1960-1969,11,0.00042,0.00042,0.5,96811,40,96790,5639125,58.25
MI,m,1960-1969,12,0.00046,0.00046,0.5,96770,45,96748,5542335,57.27
MI,m,1960-1969,13,0.00049,0.00049,0.5,96725,48,96701,5445587,56.30
MI,m,1960-1969,14,0.00068,0.00068,0.5,96678,66,96645,5348886,55.33
MI,m,1960-1969,15,0.00082,0.00082,0.5,96612,80,96572,5252241,54.36
MI,m,1960-1969,16,0.00112,0.00112,0.5,96532,108,96478,5155669,53.41
MI,m,1960-1969,17,0.00139,0.00139,0.5,96424,134,96357,5059190,52.47
MI,m,1960-1969,18,0.00173,0.00173,0.5,96291,166,96207,4962833,51.54
MI,m,1960-1969,19,0.00181,0.00181,0.5,96124,174,96037,4866626,50.63
MI,m,1960-1969,20,0.00174,0.00174,0.5,95950,167,95866,4770588,49.72
MI,m,1960-1969,21,0.00197,0.00197,0.5,95783,188,95689,4674722,48.81
MI,m,1960-1969,22,0.00200,0.00200,0.5,95595,191,95499,4579033,47.90
MI,m,1960-1969,23,0.00181,0.00181,0.5,95404,173,95317,4483534,47.00
MI,m,1960-1969,24,0.00183,0.00182,0.5,95231,174,95144,4388217,46.08
MI,m,1960-1969,25,0.00174,0.00174,0.5,95057,165,94974,4293073,45.16
MI,m,1960-1969,26,0.00172,0.00171,0.5,94892,163,94811,4198099,44.24
MI,m,1960-1969,27,0.00165,0.00165,0.5,94729,156,94651,4103288,43.32
MI,m,1960-1969,28,0.00163,0.00163,0.5,94573,154,94496,4008637,42.39
MI,m,1960-1969,29,0.00161,0.00160,0.5,94419,151,94343,3914140,41.46
MI,m,1960-1969,30,0.00181,0.00181,0.5,94267,171,94182,3819797,40.52
MI,m,1960-1969,31,0.00184,0.00183,0.5,94097,173,94010,3725615,39.59
MI,m,1960-1969,32,0.00190,0.00190,0.5,93924,178,93835,3631605,38.67
MI,m,1960-1969,33,0.00196,0.00196,0.5,93746,184,93654,3537770,37.74
MI,m,1960-1969,34,0.00218,0.00218,0.5,93562,204,93460,3444116,36.81
MI,m,1960-1969,35,0.00214,0.00214,0.5,93358,200,93258,3350656,35.89
MI,m,1960-1969,36,0.00236,0.00236,0.5,93158,220,93048,3257397,34.97
MI,m,1960-1969,37,0.00266,0.00265,0.5,92939,247,92815,3164349,34.05
MI,m,1960-1969,38,0.00289,0.00289,0.5,92692,267,92558,3071533,33.14
MI,m,1960-1969,39,0.00304,0.00304,0.5,92424,281,92284,2978975,32.23
MI,m,1960-1969,40,0.00358,0.00357,0.5,92144,329,91979,2886691,31.33
MI,m,1960-1969,41,0.00396,0.00396,0.5,91814,363,91633,2794712,30.44
MI,m,1960-1969,42,0.00446,0.00445,0.5,91451,407,91248,2703079,29.56
MI,m,1960-1969,43,0.00465,0.00464,0.5,91044,423,90833,2611832,28.69
MI,m,1960-1969,44,0.00501,0.00500,0.5,90621,453,90395,2520999,27.82
MI,m,1960-1969,45,0.00584,0.00582,0.5,90168,525,89906,2430604,26.96
MI,m,1960-1969,46,0.00620,0.00618,0.5,89644,554,89366,2340699,26.11
MI,m,1960-1969,47,0.00693,0.00691,0.5,89089,615,88781,2251332,25.27
MI,m,1960-1969,48,0.00783,0.00780,0.5,88474,690,88129,2162551,24.44
MI,m,1960-1969,49,0.00870,0.00866,0.5,87784,761,87404,2074422,23.63
MI,m,1960-1969,50,0.00943,0.00938,0.5,87023,817,86615,1987018,22.83
MI,m,1960-1969,51,0.01069,0.01063,0.5,86207,917,85748,1900404,22.04
MI,m,1960-1969,52,0.01166,0.01159,0.5,85290,988,84796,1814655,21.28
MI,m,1960-1969,53,0.01266,0.01258,0.5,84302,1061,83771,1729860,20.52
MI,m,1960-1969,54,0.01414,0.01404,0.5,83241,1169,82656,1646088,19.77
MI,m,1960-1969,55,0.01518,0.01506,0.5,82072,1236,81454,1563432,19.05
MI,m,1960-1969,56,0.01652,0.01638,0.5,80836,1324,80174,1481978,18.33
MI,m,1960-1969,57,0.01821,0.01805,0.5,79512,1435,78794,1401804,17.63
MI,m,1960-1969,58,0.02018,0.01998,0.5,78077,1560,77297,1323010,16.94
MI,m,1960-1969,59,0.02208,0.02184,0.5,76517,1671,75681,1245713,16.28
MI,m,1960-1969,60,0.02381,0.02353,0.5,74845,1761,73965,1170032,15.63
MI,m,1960-1969,61,0.02580,0.02547,0.5,73085,1861,72154,1096067,15.00
MI,m,1960-1969,62,0.02855,0.02815,0.5,71223,2005,70221,1023913,14.38
MI,m,1960-1969,63,0.03016,0.02971,0.5,69218,2057,68190,953692,13.78
MI,m,1960-1969,64,0.03315,0.03261,0.5,67162,2190,66067,885502,13.18
MI,m,1960-1969,65,0.03631,0.03566,0.5,64972,2317,63813,819435,12.61
MI,m,1960-1969,66,0.03872,0.03799,0.5,62655,2380,61465,755622,12.06
MI,m,1960-1969,67,0.04261,0.04172,0.5,60275,2515,59017,694157,11.52
MI,m,1960-1969,68,0.04563,0.04461,0.5,57760,2577,56471,635140,11.00
MI,m,1960-1969,69,0.04934,0.04815,0.5,55183,2657,53854,578668,10.49
MI,m,1960-1969,70,0.05306,0.05169,0.5,52526,2715,51168,524814,9.99
MI,m,1960-1969,71,0.05752,0.05591,0.5,49811,2785,48418,473646,9.51
MI,m,1960-1969,72,0.06415,0.06215,0.5,47026,2923,45564,425228,9.04
MI,m,1960-1969,73,0.06666,0.06451,0.5,44103,2845,42680,379663,8.61
MI,m,1960-1969,74,0.07469,0.07200,0.5,41258,2971,39773,336983,8.17
MI,m,1960-1969,75,0.08004,0.07696,0.5,38287,2947,36814,297210,7.76
MI,m,1960-1969,76,0.08547,0.08196,0.5,35341,2897,33892,260396,7.37
MI,m,1960-1969,77,0.09095,0.08700,0.5,32444,2823,31033,226504,6.98
MI,m,1960-1969,78,0.09873,0.09408,0.5,29621,2787,28228,195471,6.60
MI,m,1960-1969,79,0.10718,0.10173,0.5,26835,2730,25470,167243,6.23
MI,m,1960-1969,80,0.11865,0.11201,0.5,24105,2700,22755,141773,5.88
MI,m,1960-1969,81,0.12300,0.11587,0.5,21405,2480,20165,119018,5.56
MI,m,1960-1969,82,0.13906,0.13002,0.5,18925,2461,17694,98854,5.22
MI,m,1960-1969,83,0.15023,0.13973,0.5,16464,2301,15314,81159,4.93
MI,m,1960-1969,84,0.15968,0.14787,0.5,14163,2094,13116,65846,4.65
MI,m,1960-1969,85,0.17838,0.16377,0.5,12069,1977,11081,52729,4.37
MI,m,1960-1969,86,0.19158,0.17483,0.5,10093,1765,9210,41648,4.13
MI,m,1960-1969,87,0.20872,0.18900,0.5,8328,1574,7541,32438,3.90
MI,m,1960-1969,88,0.22057,0.19866,0.5,6754,1342,6083,24897,3.69
MI,m,1960-1969,89,0.23717,0.21203,0.5,5412,1148,4839,18814,3.48
MI,m,1960-1969,90,0.25584,0.22682,0.5,4265,967,3781,13975,3.28
MI,m,1960-1969,91,0.27281,0.24006,0.5,3297,792,2902,10194,3.09
MI,m,1960-1969,92,0.30020,0.26102,0.5,2506,654,2179,7293,2.91
MI,m,1960-1969,93,0.32629,0.28053,0.5,1852,519,1592,5114,2.76
MI,m,1960-1969,94,0.33614,0.28777,0.5,1332,383,1141,3522,2.64
MI,m,1960-1969,95,0.35787,0.30355,0.5,949,288,805,2381,2.51
MI,m,1960-1969,96,0.38020,0.31947,0.5,661,211,555,1577,2.39
MI,m,1960-1969,97,0.40305,0.33545,0.5,450,151,374,1021,2.27
MI,m,1960-1969,98,0.42633,0.35142,0.5,299,105,246,647,2.16
MI,m,1960-1969,99,0.44994,0.36731,0.5,194,71,158,401,2.07
MI,m,1960-1969,100,0.47378,0.38304,0.5,123,47,99,242,1.98
MI,m,1960-1969,101,0.49774,0.39855,0.5,76,30,61,143,1.89
MI,m,1960-1969,102,0.52171,0.41378,0.5,46,19,36,83,1.82
MI,m,1960-1969,103,0.54558,0.42865,0.5,27,11,21,47,1.75
MI,m,1960-1969,104,0.56925,0.44312,0.5,15,7,12,26,1.68
MI,m,1960-1969,105,0.59260,0.45714,0.5,8,4,7,14,1.62
MI,m,1960-1969,106,0.61554,0.47068,0.5,5,2,4,7,1.57
