MN: Minnesota, Lifetables (period 1x5), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02130	0.02091	0.11	100000	2091	98134	7214713	72.15
1960-1964	1	0.00133	0.00133	0.5	97909	130	97844	7116578	72.69
1960-1964	2	0.00090	0.00090	0.5	97779	88	97735	7018734	71.78
1960-1964	3	0.00066	0.00066	0.5	97691	64	97659	6920999	70.85
1960-1964	4	0.00054	0.00054	0.5	97627	52	97601	6823341	69.89
1960-1964	5	0.00048	0.00048	0.5	97574	47	97551	6725740	68.93
1960-1964	6	0.00043	0.00043	0.5	97527	42	97506	6628189	67.96
1960-1964	7	0.00041	0.00041	0.5	97485	40	97465	6530683	66.99
1960-1964	8	0.00038	0.00038	0.5	97445	37	97426	6433218	66.02
1960-1964	9	0.00037	0.00037	0.5	97408	36	97390	6335792	65.04
1960-1964	10	0.00036	0.00036	0.5	97372	35	97354	6238402	64.07
1960-1964	11	0.00037	0.00037	0.5	97337	36	97319	6141048	63.09
1960-1964	12	0.00035	0.00035	0.5	97301	34	97284	6043729	62.11
1960-1964	13	0.00044	0.00044	0.5	97267	42	97246	5946445	61.13
1960-1964	14	0.00047	0.00047	0.5	97225	46	97202	5849198	60.16
1960-1964	15	0.00059	0.00059	0.5	97179	57	97151	5751996	59.19
1960-1964	16	0.00074	0.00074	0.5	97122	72	97087	5654845	58.22
1960-1964	17	0.00088	0.00088	0.5	97051	86	97008	5557759	57.27
1960-1964	18	0.00092	0.00092	0.5	96965	89	96921	5460751	56.32
1960-1964	19	0.00115	0.00115	0.5	96876	111	96821	5363830	55.37
1960-1964	20	0.00111	0.00111	0.5	96765	107	96711	5267009	54.43
1960-1964	21	0.00129	0.00129	0.5	96658	125	96595	5170298	53.49
1960-1964	22	0.00114	0.00114	0.5	96533	110	96478	5073703	52.56
1960-1964	23	0.00098	0.00098	0.5	96423	94	96376	4977225	51.62
1960-1964	24	0.00105	0.00105	0.5	96329	101	96278	4880849	50.67
1960-1964	25	0.00106	0.00106	0.5	96228	102	96177	4784571	49.72
1960-1964	26	0.00101	0.00101	0.5	96126	97	96077	4688394	48.77
1960-1964	27	0.00102	0.00102	0.5	96028	98	95979	4592317	47.82
1960-1964	28	0.00109	0.00108	0.5	95930	104	95878	4496337	46.87
1960-1964	29	0.00095	0.00095	0.5	95826	91	95781	4400459	45.92
1960-1964	30	0.00103	0.00103	0.5	95735	99	95686	4304678	44.96
1960-1964	31	0.00112	0.00112	0.5	95636	107	95583	4208993	44.01
1960-1964	32	0.00123	0.00123	0.5	95529	117	95471	4113410	43.06
1960-1964	33	0.00126	0.00126	0.5	95412	120	95352	4017939	42.11
1960-1964	34	0.00136	0.00136	0.5	95292	129	95227	3922587	41.16
1960-1964	35	0.00157	0.00157	0.5	95162	150	95088	3827360	40.22
1960-1964	36	0.00146	0.00146	0.5	95013	139	94944	3732273	39.28
1960-1964	37	0.00167	0.00167	0.5	94874	158	94795	3637329	38.34
1960-1964	38	0.00201	0.00200	0.5	94716	190	94621	3542534	37.40
1960-1964	39	0.00209	0.00209	0.5	94526	197	94427	3447913	36.48
1960-1964	40	0.00217	0.00217	0.5	94329	205	94226	3353486	35.55
1960-1964	41	0.00255	0.00255	0.5	94124	240	94004	3259260	34.63
1960-1964	42	0.00277	0.00276	0.5	93884	260	93754	3165256	33.71
1960-1964	43	0.00294	0.00293	0.5	93625	275	93487	3071501	32.81
1960-1964	44	0.00347	0.00346	0.5	93350	323	93189	2978014	31.90
1960-1964	45	0.00372	0.00371	0.5	93027	346	92854	2884826	31.01
1960-1964	46	0.00407	0.00406	0.5	92682	376	92493	2791971	30.12
1960-1964	47	0.00448	0.00447	0.5	92305	412	92099	2699478	29.25
1960-1964	48	0.00489	0.00488	0.5	91893	448	91669	2607379	28.37
1960-1964	49	0.00549	0.00548	0.5	91444	501	91194	2515710	27.51
