PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MN,b,1959,0,0.02181,0.02139,0.11,100000,2139,98095,7180750,71.81
MN,b,1959,1-4,0.00091,0.00363,1.7,97861,355,390625,7082655,72.37
MN,b,1959,5-9,0.00048,0.00242,2.37,97506,236,486908,6692030,68.63
MN,b,1959,10-14,0.00048,0.00237,2.71,97270,231,485823,6205122,63.79
MN,b,1959,15-19,0.00112,0.00557,2.72,97039,541,483962,5719299,58.94
MN,b,1959,20-24,0.00108,0.00539,2.34,96498,520,481111,5235337,54.25
MN,b,1959,25-29,0.00103,0.00514,2.49,95979,493,478657,4754226,49.53
MN,b,1959,30-34,0.00125,0.00625,2.61,95485,597,476001,4275569,44.78
MN,b,1959,35-39,0.00169,0.00840,2.67,94889,797,472582,3799568,40.04
MN,b,1959,40-44,0.00292,0.01451,2.61,94091,1366,467198,3326986,35.36
MN,b,1959,45-49,0.00475,0.02351,2.71,92726,2180,458641,2859788,30.84
MN,b,1959,50-54,0.00731,0.03597,2.69,90546,3257,445221,2401147,26.52
MN,b,1959,55-59,0.01120,0.05456,2.62,87289,4762,425118,1955926,22.41
MN,b,1959,60-64,0.01727,0.08297,2.64,82527,6847,396481,1530807,18.55
MN,b,1959,65-69,0.02716,0.12769,2.66,75680,9664,355773,1134326,14.99
MN,b,1959,70-74,0.04421,0.20010,2.63,66016,13210,298813,778553,11.79
MN,b,1959,75-79,0.06710,0.28887,2.59,52807,15254,227316,479739,9.08
MN,b,1959,80-84,0.10845,0.42579,2.48,37552,15990,147441,252423,6.72
MN,b,1959,85-89,0.17230,0.58888,2.31,21563,12698,73698,104982,4.87
MN,b,1959,90-94,0.25997,0.74615,2.15,8865,6615,25444,31284,3.53
MN,b,1959,95-99,0.37112,0.86126,1.89,2250,1938,5222,5840,2.60
MN,b,1959,100-104,0.49830,0.93161,1.64,312,291,584,618,1.98
MN,b,1959,105-109,0.62655,0.96657,1.42,21,21,33,34,1.59
MN,b,1959,110+,0.72524,1.00000,1.38,1,1,1,1,1.38
MN,b,1960,0,0.02196,0.02154,0.11,100000,2154,98082,7181609,71.82
MN,b,1960,1-4,0.00094,0.00374,1.66,97846,366,390531,7083527,72.39
MN,b,1960,5-9,0.00047,0.00234,2.26,97480,229,486775,6692996,68.66
MN,b,1960,10-14,0.00043,0.00214,2.55,97252,208,485749,6206220,63.82
MN,b,1960,15-19,0.00078,0.00389,2.77,97044,378,484376,5720472,58.95
MN,b,1960,20-24,0.00116,0.00579,2.3,96666,560,481819,5236096,54.17
MN,b,1960,25-29,0.00104,0.00520,2.34,96106,500,479197,4754276,49.47
MN,b,1960,30-34,0.00119,0.00595,2.56,95606,569,476643,4275079,44.72
MN,b,1960,35-39,0.00176,0.00876,2.71,95037,833,473274,3798436,39.97
MN,b,1960,40-44,0.00287,0.01424,2.72,94204,1341,467957,3325162,35.30
MN,b,1960,45-49,0.00488,0.02411,2.67,92862,2239,459094,2857204,30.77
MN,b,1960,50-54,0.00745,0.03660,2.68,90624,3317,445412,2398111,26.46
MN,b,1960,55-59,0.01098,0.05356,2.69,87307,4676,425726,1952699,22.37
