MN: Minnesota, Lifetables (period 5x1), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.01801	0.01772	0.1	100000	1772	98411	7540852	75.41
1959	1-4	0.00086	0.00344	1.63	98228	338	392110	7442440	75.77
1959	5-9	0.00034	0.00168	2.33	97890	165	489009	7050330	72.02
1959	10-14	0.00037	0.00187	2.48	97725	183	488165	6561321	67.14
1959	15-19	0.00058	0.00291	2.46	97542	284	486990	6073156	62.26
1959	20-24	0.00053	0.00266	2.23	97258	259	485574	5586166	57.44
1959	25-29	0.00069	0.00346	2.33	96999	336	484101	5100591	52.58
1959	30-34	0.00083	0.00414	2.79	96664	401	482433	4616491	47.76
1959	35-39	0.00126	0.00627	2.61	96263	604	479873	4134057	42.95
1959	40-44	0.00172	0.00858	2.69	95659	821	476395	3654184	38.20
1959	45-49	0.00339	0.01684	2.76	94838	1597	470605	3177789	33.51
1959	50-54	0.00468	0.02316	2.76	93241	2159	461363	2707184	29.03
1959	55-59	0.00773	0.03794	2.61	91082	3456	447142	2245821	24.66
1959	60-64	0.01179	0.05739	2.69	87626	5029	426488	1798679	20.53
1959	65-69	0.01930	0.09244	2.71	82597	7635	395519	1372191	16.61
1959	70-74	0.03456	0.16009	2.7	74962	12001	347216	976671	13.03
1959	75-79	0.05501	0.24346	2.64	62961	15328	278664	629456	10.00
1959	80-84	0.09150	0.37313	2.53	47633	17773	194235	350792	7.36
1959	85-89	0.15637	0.54899	2.29	29860	16393	104835	156557	5.24
1959	90-94	0.23398	0.70728	2.2	13467	9525	40708	51722	3.84
1959	95-99	0.34130	0.83671	1.95	3942	3298	9664	11013	2.79
1959	100-104	0.46848	0.91948	1.7	644	592	1263	1349	2.10
1959	105-109	0.60062	0.96150	1.46	52	50	83	86	1.66
1959	110+	0.70404	1.00000	1.42	2	2	3	3	1.42
1960	0	0.01859	0.01829	0.11	100000	1829	98364	7508991	75.09
1960	1-4	0.00092	0.00367	1.49	98171	360	391781	7410628	75.49
1960	5-9	0.00038	0.00189	2.06	97811	185	488511	7018847	71.76
1960	10-14	0.00030	0.00151	2.33	97626	147	487738	6530336	66.89
1960	15-19	0.00045	0.00224	2.35	97479	219	486815	6042598	61.99
1960	20-24	0.00050	0.00250	2.18	97260	243	485615	5555783	57.12
1960	25-29	0.00065	0.00322	2.6	97017	312	484335	5070168	52.26
1960	30-34	0.00078	0.00390	2.64	96704	377	482631	4585833	47.42
1960	35-39	0.00131	0.00655	2.78	96327	631	480233	4103203	42.60
1960	40-44	0.00217	0.01079	2.68	95696	1032	476083	3622969	37.86
1960	45-49	0.00347	0.01719	2.69	94664	1627	469557	3146886	33.24
1960	50-54	0.00506	0.02500	2.59	93036	2326	459583	2677329	28.78
1960	55-59	0.00744	0.03657	2.65	90710	3317	445764	2217746	24.45
1960	60-64	0.01269	0.06164	2.71	87393	5387	424646	1771981	20.28
1960	65-69	0.01972	0.09418	2.61	82006	7724	391597	1347335	16.43
1960	70-74	0.03385	0.15691	2.68	74283	11656	344350	955739	12.87
1960	75-79	0.05686	0.25085	2.65	62627	15710	276288	611389	9.76
1960	80-84	0.09847	0.39624	2.54	46917	18590	188784	335101	7.14
1960	85-89	0.15674	0.55673	2.4	28326	15770	100614	146318	5.17
1960	90-94	0.24856	0.73241	2.2	12556	9196	36998	45703	3.64
1960	95-99	0.37109	0.86238	1.9	3360	2898	7808	8705	2.59
1960	100-104	0.50828	0.93606	1.63	462	433	852	897	1.94
1960	105-109	0.64536	0.97028	1.4	30	29	44	46	1.54
1960	110+	0.74871	1.00000	1.34	1	1	1	1	1.34
1961	0	0.01917	0.01885	0.11	100000	1885	98316	7579688	75.80
1961	1-4	0.00081	0.00323	1.65	98115	317	391717	7481371	76.25
1961	5-9	0.00033	0.00166	2.22	97799	163	488543	7089655	72.49
1961	10-14	0.00024	0.00118	2.47	97636	115	487889	6601112	67.61
1961	15-19	0.00041	0.00204	2.64	97521	199	487134	6113223	62.69
1961	20-24	0.00058	0.00290	2.56	97321	283	485918	5626090	57.81
1961	25-29	0.00056	0.00281	2.87	97039	272	484614	5140172	52.97
1961	30-34	0.00086	0.00430	2.54	96767	416	482811	4655558	48.11
1961	35-39	0.00114	0.00568	2.54	96351	548	480405	4172746	43.31
1961	40-44	0.00176	0.00876	2.84	95803	839	477205	3692341	38.54
