PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MN,m,1960-1964,0,0.02436,0.02385,0.11,100000,2385,97878,6898463,68.98
MN,m,1960-1964,1,0.00137,0.00136,0.5,97615,133,97549,6800584,69.67
MN,m,1960-1964,2,0.00101,0.00101,0.5,97482,99,97433,6703036,68.76
MN,m,1960-1964,3,0.00075,0.00075,0.5,97383,73,97347,6605603,67.83
MN,m,1960-1964,4,0.00065,0.00065,0.5,97310,63,97279,6508256,66.88
MN,m,1960-1964,5,0.00055,0.00055,0.5,97247,53,97220,6410978,65.92
MN,m,1960-1964,6,0.00051,0.00051,0.5,97194,50,97169,6313757,64.96
MN,m,1960-1964,7,0.00048,0.00048,0.5,97144,47,97120,6216588,63.99
MN,m,1960-1964,8,0.00042,0.00042,0.5,97097,40,97077,6119468,63.02
MN,m,1960-1964,9,0.00045,0.00045,0.5,97057,43,97035,6022391,62.05
MN,m,1960-1964,10,0.00050,0.00050,0.5,97013,48,96989,5925356,61.08
MN,m,1960-1964,11,0.00046,0.00046,0.5,96965,44,96943,5828367,60.11
MN,m,1960-1964,12,0.00042,0.00042,0.5,96921,41,96900,5731425,59.14
MN,m,1960-1964,13,0.00063,0.00063,0.5,96880,61,96849,5634525,58.16
MN,m,1960-1964,14,0.00065,0.00065,0.5,96819,63,96787,5537676,57.20
MN,m,1960-1964,15,0.00083,0.00083,0.5,96756,80,96716,5440888,56.23
MN,m,1960-1964,16,0.00093,0.00093,0.5,96675,90,96630,5344173,55.28
MN,m,1960-1964,17,0.00125,0.00125,0.5,96585,120,96525,5247543,54.33
MN,m,1960-1964,18,0.00142,0.00142,0.5,96465,137,96397,5151018,53.40
MN,m,1960-1964,19,0.00167,0.00167,0.5,96328,161,96248,5054621,52.47
MN,m,1960-1964,20,0.00175,0.00174,0.5,96168,168,96084,4958373,51.56
MN,m,1960-1964,21,0.00199,0.00199,0.5,96000,191,95905,4862289,50.65
MN,m,1960-1964,22,0.00180,0.00180,0.5,95809,173,95723,4766384,49.75
MN,m,1960-1964,23,0.00157,0.00157,0.5,95637,150,95562,4670661,48.84
MN,m,1960-1964,24,0.00164,0.00164,0.5,95486,156,95408,4575099,47.91
MN,m,1960-1964,25,0.00160,0.00160,0.5,95330,153,95254,4479691,46.99
MN,m,1960-1964,26,0.00141,0.00141,0.5,95178,135,95110,4384437,46.07
MN,m,1960-1964,27,0.00141,0.00140,0.5,95043,133,94976,4289327,45.13
MN,m,1960-1964,28,0.00154,0.00154,0.5,94910,146,94836,4194350,44.19
MN,m,1960-1964,29,0.00131,0.00131,0.5,94763,124,94701,4099514,43.26
MN,m,1960-1964,30,0.00138,0.00138,0.5,94639,131,94574,4004813,42.32
MN,m,1960-1964,31,0.00141,0.00141,0.5,94508,133,94442,3910239,41.37
MN,m,1960-1964,32,0.00160,0.00160,0.5,94376,151,94300,3815797,40.43
MN,m,1960-1964,33,0.00174,0.00173,0.5,94225,163,94143,3721497,39.50
MN,m,1960-1964,34,0.00170,0.00170,0.5,94061,160,93981,3627354,38.56
MN,m,1960-1964,35,0.00208,0.00208,0.5,93901,196,93803,3533373,37.63
MN,m,1960-1964,36,0.00189,0.00188,0.5,93706,177,93617,3439569,36.71
MN,m,1960-1964,37,0.00202,0.00202,0.5,93529,189,93435,3345952,35.77
MN,m,1960-1964,38,0.00265,0.00264,0.5,93340,247,93217,3252517,34.85
MN,m,1960-1964,39,0.00272,0.00271,0.5,93094,253,92967,3159300,33.94
MN,m,1960-1964,40,0.00272,0.00272,0.5,92841,253,92715,3066333,33.03
MN,m,1960-1964,41,0.00313,0.00312,0.5,92588,289,92444,2973618,32.12
MN,m,1960-1964,42,0.00342,0.00342,0.5,92299,315,92142,2881175,31.22
MN,m,1960-1964,43,0.00379,0.00378,0.5,91984,348,91810,2789033,30.32
MN,m,1960-1964,44,0.00451,0.00450,0.5,91636,412,91430,2697223,29.43
MN,m,1960-1964,45,0.00487,0.00486,0.5,91224,444,91002,2605793,28.56
MN,m,1960-1964,46,0.00546,0.00545,0.5,90780,494,90533,2514791,27.70
MN,m,1960-1964,47,0.00611,0.00609,0.5,90286,550,90011,2424258,26.85
MN,m,1960-1964,48,0.00623,0.00621,0.5,89736,557,89457,2334247,26.01
MN,m,1960-1964,49,0.00707,0.00704,0.5,89178,628,88864,2244790,25.17
MN,m,1960-1964,50,0.00770,0.00767,0.5,88550,679,88211,2155926,24.35
MN,m,1960-1964,51,0.00937,0.00933,0.5,87871,819,87461,2067715,23.53
MN,m,1960-1964,52,0.00976,0.00971,0.5,87051,845,86629,1980254,22.75
MN,m,1960-1964,53,0.01060,0.01054,0.5,86206,909,85752,1893625,21.97
MN,m,1960-1964,54,0.01195,0.01188,0.5,85297,1014,84790,1807874,21.19
MN,m,1960-1964,55,0.01241,0.01233,0.5,84284,1039,83764,1723083,20.44
MN,m,1960-1964,56,0.01359,0.01350,0.5,83245,1124,82683,1639319,19.69
MN,m,1960-1964,57,0.01576,0.01564,0.5,82121,1284,81479,1556636,18.96
MN,m,1960-1964,58,0.01706,0.01691,0.5,80837,1367,80153,1475157,18.25
MN,m,1960-1964,59,0.01790,0.01774,0.5,79469,1410,78764,1395004,17.55
MN,m,1960-1964,60,0.01819,0.01803,0.5,78060,1407,77356,1316240,16.86
MN,m,1960-1964,61,0.02092,0.02070,0.5,76652,1587,75859,1238884,16.16
MN,m,1960-1964,62,0.02303,0.02277,0.5,75066,1709,74211,1163025,15.49
MN,m,1960-1964,63,0.02532,0.02500,0.5,73357,1834,72440,1088814,14.84
MN,m,1960-1964,64,0.02806,0.02768,0.5,71522,1979,70533,1016375,14.21
MN,m,1960-1964,65,0.03097,0.03050,0.5,69543,2121,68483,945842,13.60
MN,m,1960-1964,66,0.03168,0.03119,0.5,67422,2103,66371,877359,13.01
MN,m,1960-1964,67,0.03472,0.03412,0.5,65319,2229,64205,810989,12.42
MN,m,1960-1964,68,0.03671,0.03605,0.5,63090,2274,61953,746784,11.84
MN,m,1960-1964,69,0.04013,0.03934,0.5,60816,2392,59620,684830,11.26
MN,m,1960-1964,70,0.04517,0.04417,0.5,58424,2581,57133,625211,10.70
MN,m,1960-1964,71,0.04758,0.04647,0.5,55843,2595,54545,568077,10.17
MN,m,1960-1964,72,0.05397,0.05255,0.5,53248,2798,51849,513532,9.64
MN,m,1960-1964,73,0.05948,0.05776,0.5,50450,2914,48993,461683,9.15
MN,m,1960-1964,74,0.06252,0.06063,0.5,47536,2882,46095,412690,8.68
MN,m,1960-1964,75,0.07020,0.06782,0.5,44654,3028,43140,366596,8.21
MN,m,1960-1964,76,0.07459,0.07191,0.5,41626,2993,40129,323456,7.77
MN,m,1960-1964,77,0.08023,0.07714,0.5,38632,2980,37142,283327,7.33
