MN: Minnesota, Lifetables (period 5x10), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02307	0.02261	0.11	100000	2261	97981	6903559	69.04
1960-1969	1-4	0.00090	0.00359	1.66	97739	351	390136	6805578	69.63
1960-1969	5-9	0.00048	0.00239	2.39	97388	233	486333	6415443	65.88
1960-1969	10-14	0.00053	0.00263	2.73	97156	255	485200	5929109	61.03
1960-1969	15-19	0.00140	0.00698	2.87	96900	677	483061	5443910	56.18
1960-1969	20-24	0.00172	0.00856	2.44	96224	823	479010	4960848	51.56
1960-1969	25-29	0.00146	0.00729	2.47	95400	695	475238	4481838	46.98
1960-1969	30-34	0.00157	0.00782	2.6	94705	740	471746	4006600	42.31
1960-1969	35-39	0.00223	0.01110	2.71	93965	1043	467432	3534854	37.62
1960-1969	40-44	0.00352	0.01747	2.74	92922	1624	460942	3067422	33.01
1960-1969	45-49	0.00583	0.02876	2.67	91298	2626	450359	2606480	28.55
1960-1969	50-54	0.00990	0.04836	2.67	88672	4288	433350	2156121	24.32
1960-1969	55-59	0.01560	0.07526	2.67	84384	6351	407124	1722771	20.42
1960-1969	60-64	0.02361	0.11183	2.64	78033	8727	369609	1315647	16.86
1960-1969	65-69	0.03516	0.16200	2.58	69306	11228	319320	946038	13.65
1960-1969	70-74	0.05268	0.23351	2.57	58078	13562	257459	626718	10.79
1960-1969	75-79	0.08038	0.33499	2.51	44517	14913	185522	369259	8.29
1960-1969	80-84	0.12437	0.47139	2.43	29604	13955	112206	183737	6.21
1960-1969	85-89	0.18890	0.62320	2.27	15649	9752	51627	71531	4.57
1960-1969	90-94	0.27447	0.76410	2.1	5897	4506	16416	19904	3.38
1960-1969	95-99	0.38596	0.87144	1.85	1391	1212	3141	3489	2.51
1960-1969	100-104	0.50711	0.93437	1.62	179	167	329	348	1.95
1960-1969	105-109	0.62819	0.96658	1.42	12	11	18	19	1.59
1960-1969	110+	0.72143	1.00000	1.39	0	0	1	1	1.39
1970-1979	0	0.01615	0.01591	0.09	100000	1591	98549	7078971	70.79
1970-1979	1-4	0.00071	0.00283	1.66	98409	279	392983	6980421	70.93
1970-1979	5-9	0.00042	0.00209	2.39	98130	206	490113	6587438	67.13
1970-1979	10-14	0.00042	0.00210	2.81	97925	205	489174	6097324	62.27
1970-1979	15-19	0.00145	0.00723	2.93	97719	706	487133	5608150	57.39
1970-1979	20-24	0.00186	0.00927	2.38	97013	899	482708	5121017	52.79
1970-1979	25-29	0.00134	0.00669	2.41	96114	643	478904	4638310	48.26
1970-1979	30-34	0.00132	0.00658	2.56	95471	628	475823	4159405	43.57
