PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MO,f,1959,0,0.02316,0.02269,0.12,100000,2269,97998,7396803,73.97
MO,f,1959,1,0.00153,0.00152,0.5,97731,149,97656,7298805,74.68
MO,f,1959,2,0.00103,0.00103,0.5,97582,100,97531,7201149,73.80
MO,f,1959,3,0.00071,0.00071,0.5,97481,69,97447,7103617,72.87
MO,f,1959,4,0.00047,0.00047,0.5,97412,46,97389,7006171,71.92
MO,f,1959,5,0.00044,0.00044,0.5,97366,43,97345,6908782,70.96
MO,f,1959,6,0.00055,0.00055,0.5,97323,53,97297,6811437,69.99
MO,f,1959,7,0.00032,0.00032,0.5,97270,31,97254,6714140,69.03
MO,f,1959,8,0.00044,0.00044,0.5,97239,42,97217,6616886,68.05
MO,f,1959,9,0.00039,0.00039,0.5,97196,38,97177,6519669,67.08
MO,f,1959,10,0.00016,0.00016,0.5,97158,15,97151,6422491,66.10
MO,f,1959,11,0.00039,0.00039,0.5,97143,37,97124,6325341,65.11
MO,f,1959,12,0.00047,0.00047,0.5,97106,46,97083,6228216,64.14
MO,f,1959,13,0.00030,0.00030,0.5,97060,29,97045,6131134,63.17
MO,f,1959,14,0.00042,0.00042,0.5,97031,41,97011,6034088,62.19
MO,f,1959,15,0.00053,0.00053,0.5,96990,52,96964,5937078,61.21
MO,f,1959,16,0.00056,0.00056,0.5,96938,55,96911,5840113,60.25
MO,f,1959,17,0.00072,0.00072,0.5,96884,70,96849,5743202,59.28
MO,f,1959,18,0.00052,0.00052,0.5,96814,51,96789,5646353,58.32
MO,f,1959,19,0.00051,0.00051,0.5,96763,50,96738,5549565,57.35
MO,f,1959,20,0.00068,0.00068,0.5,96714,66,96681,5452826,56.38
MO,f,1959,21,0.00073,0.00073,0.5,96648,71,96612,5356146,55.42
MO,f,1959,22,0.00095,0.00095,0.5,96577,92,96531,5259534,54.46
MO,f,1959,23,0.00036,0.00036,0.5,96485,35,96468,5163003,53.51
MO,f,1959,24,0.00056,0.00056,0.5,96450,54,96424,5066535,52.53
MO,f,1959,25,0.00060,0.00060,0.5,96397,58,96368,4970111,51.56
MO,f,1959,26,0.00079,0.00079,0.5,96339,76,96301,4873744,50.59
MO,f,1959,27,0.00082,0.00082,0.5,96263,79,96223,4777443,49.63
MO,f,1959,28,0.00100,0.00100,0.5,96184,97,96136,4681219,48.67
MO,f,1959,29,0.00080,0.00080,0.5,96088,77,96049,4585083,47.72
MO,f,1959,30,0.00071,0.00071,0.5,96010,69,95976,4489034,46.76
MO,f,1959,31,0.00112,0.00112,0.5,95942,108,95888,4393058,45.79
MO,f,1959,32,0.00129,0.00129,0.5,95834,123,95772,4297170,44.84
MO,f,1959,33,0.00159,0.00159,0.5,95711,152,95635,4201398,43.90
MO,f,1959,34,0.00175,0.00175,0.5,95559,167,95475,4105763,42.97
MO,f,1959,35,0.00124,0.00124,0.5,95392,118,95333,4010288,42.04
MO,f,1959,36,0.00154,0.00154,0.5,95274,147,95200,3914955,41.09
MO,f,1959,37,0.00133,0.00133,0.5,95127,126,95064,3819755,40.15
MO,f,1959,38,0.00191,0.00191,0.5,95001,181,94910,3724691,39.21
MO,f,1959,39,0.00211,0.00211,0.5,94820,200,94720,3629781,38.28
MO,f,1959,40,0.00181,0.00181,0.5,94620,171,94534,3535061,37.36
MO,f,1959,41,0.00214,0.00214,0.5,94448,202,94347,3440527,36.43
MO,f,1959,42,0.00243,0.00243,0.5,94246,229,94132,3346180,35.50
MO,f,1959,43,0.00339,0.00339,0.5,94017,319,93858,3252048,34.59
MO,f,1959,44,0.00303,0.00302,0.5,93698,283,93557,3158190,33.71
MO,f,1959,45,0.00296,0.00295,0.5,93415,276,93277,3064634,32.81
MO,f,1959,46,0.00408,0.00408,0.5,93139,380,92950,2971356,31.90
MO,f,1959,47,0.00381,0.00380,0.5,92760,353,92583,2878407,31.03
MO,f,1959,48,0.00472,0.00471,0.5,92407,435,92189,2785823,30.15
MO,f,1959,49,0.00461,0.00460,0.5,91972,423,91760,2693634,29.29
MO,f,1959,50,0.00517,0.00516,0.5,91549,472,91313,2601873,28.42
MO,f,1959,51,0.00616,0.00614,0.5,91077,559,90797,2510560,27.57
MO,f,1959,52,0.00626,0.00624,0.5,90518,565,90235,2419763,26.73
MO,f,1959,53,0.00545,0.00543,0.5,89953,489,89708,2329528,25.90
MO,f,1959,54,0.00695,0.00693,0.5,89464,620,89154,2239820,25.04
MO,f,1959,55,0.00650,0.00648,0.5,88844,576,88556,2150666,24.21
MO,f,1959,56,0.00738,0.00735,0.5,88268,649,87944,2062110,23.36
MO,f,1959,57,0.00839,0.00835,0.5,87619,732,87253,1974166,22.53
MO,f,1959,58,0.00973,0.00968,0.5,86887,841,86467,1886913,21.72
MO,f,1959,59,0.00968,0.00963,0.5,86047,829,85632,1800446,20.92
MO,f,1959,60,0.01027,0.01022,0.5,85218,871,84782,1714814,20.12
MO,f,1959,61,0.01185,0.01178,0.5,84347,994,83850,1630031,19.33
MO,f,1959,62,0.01416,0.01406,0.5,83353,1172,82767,1546182,18.55
MO,f,1959,63,0.01483,0.01472,0.5,82181,1210,81576,1463415,17.81
MO,f,1959,64,0.01372,0.01363,0.5,80971,1104,80419,1381839,17.07
