MO: Missouri, Lifetables (period 1x5), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02170	0.02129	0.11	100000	2129	98113	7397851	73.98
1960-1964	1	0.00151	0.00151	0.5	97871	148	97797	7299738	74.59
1960-1964	2	0.00084	0.00084	0.5	97723	83	97682	7201940	73.70
1960-1964	3	0.00060	0.00060	0.5	97641	59	97611	7104258	72.76
1960-1964	4	0.00055	0.00055	0.5	97582	54	97555	7006647	71.80
1960-1964	5	0.00055	0.00055	0.5	97528	54	97501	6909092	70.84
1960-1964	6	0.00045	0.00045	0.5	97474	43	97452	6811591	69.88
1960-1964	7	0.00036	0.00036	0.5	97430	35	97413	6714139	68.91
1960-1964	8	0.00032	0.00032	0.5	97395	31	97380	6616726	67.94
1960-1964	9	0.00034	0.00034	0.5	97364	33	97347	6519346	66.96
1960-1964	10	0.00023	0.00023	0.5	97331	22	97320	6421999	65.98
1960-1964	11	0.00033	0.00033	0.5	97309	32	97293	6324679	65.00
1960-1964	12	0.00026	0.00026	0.5	97277	26	97264	6227386	64.02
1960-1964	13	0.00036	0.00036	0.5	97251	35	97234	6130122	63.03
1960-1964	14	0.00037	0.00037	0.5	97216	36	97199	6032888	62.06
1960-1964	15	0.00048	0.00048	0.5	97181	46	97158	5935689	61.08
1960-1964	16	0.00056	0.00056	0.5	97135	54	97107	5838532	60.11
1960-1964	17	0.00061	0.00061	0.5	97080	59	97051	5741424	59.14
1960-1964	18	0.00058	0.00058	0.5	97021	56	96993	5644373	58.18
1960-1964	19	0.00076	0.00076	0.5	96965	74	96928	5547380	57.21
1960-1964	20	0.00057	0.00057	0.5	96891	56	96863	5450452	56.25
1960-1964	21	0.00076	0.00076	0.5	96836	74	96799	5353589	55.29
1960-1964	22	0.00081	0.00081	0.5	96762	78	96723	5256790	54.33
1960-1964	23	0.00070	0.00070	0.5	96684	68	96650	5160067	53.37
1960-1964	24	0.00078	0.00078	0.5	96616	76	96578	5063417	52.41
1960-1964	25	0.00088	0.00088	0.5	96540	85	96497	4966839	51.45
1960-1964	26	0.00076	0.00076	0.5	96455	73	96418	4870342	50.49
1960-1964	27	0.00069	0.00069	0.5	96381	67	96348	4773924	49.53
1960-1964	28	0.00092	0.00092	0.5	96315	88	96271	4677575	48.57
1960-1964	29	0.00098	0.00098	0.5	96227	95	96179	4581305	47.61
1960-1964	30	0.00095	0.00095	0.5	96132	91	96086	4485125	46.66
1960-1964	31	0.00114	0.00114	0.5	96041	109	95986	4389039	45.70
1960-1964	32	0.00117	0.00116	0.5	95931	112	95875	4293053	44.75
1960-1964	33	0.00133	0.00133	0.5	95819	127	95756	4197178	43.80
