MO: Missouri, Lifetables (period 1x10), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02696	0.02634	0.12	100000	2634	97675	6683457	66.83
1960-1969	1	0.00158	0.00158	0.5	97366	154	97289	6585781	67.64
1960-1969	2	0.00101	0.00101	0.5	97212	98	97163	6488492	66.75
1960-1969	3	0.00081	0.00081	0.5	97114	79	97075	6391329	65.81
1960-1969	4	0.00071	0.00071	0.5	97036	69	97001	6294254	64.87
1960-1969	5	0.00058	0.00058	0.5	96967	56	96939	6197253	63.91
1960-1969	6	0.00052	0.00052	0.5	96911	51	96885	6100314	62.95
1960-1969	7	0.00054	0.00054	0.5	96860	52	96834	6003429	61.98
1960-1969	8	0.00045	0.00045	0.5	96808	44	96786	5906595	61.01
1960-1969	9	0.00043	0.00043	0.5	96764	42	96743	5809809	60.04
1960-1969	10	0.00045	0.00045	0.5	96722	44	96700	5713066	59.07
1960-1969	11	0.00048	0.00048	0.5	96678	46	96655	5616367	58.09
1960-1969	12	0.00054	0.00054	0.5	96632	52	96605	5519712	57.12
1960-1969	13	0.00057	0.00057	0.5	96579	55	96552	5423106	56.15
1960-1969	14	0.00074	0.00074	0.5	96525	72	96489	5326554	55.18
1960-1969	15	0.00095	0.00095	0.5	96453	91	96407	5230066	54.22
1960-1969	16	0.00138	0.00138	0.5	96362	133	96295	5133659	53.27
1960-1969	17	0.00174	0.00174	0.5	96229	167	96145	5037363	52.35
1960-1969	18	0.00200	0.00199	0.5	96062	191	95966	4941218	51.44
1960-1969	19	0.00192	0.00192	0.5	95870	184	95778	4845252	50.54
1960-1969	20	0.00194	0.00194	0.5	95686	185	95593	4749474	49.64
1960-1969	21	0.00214	0.00213	0.5	95501	204	95399	4653881	48.73
1960-1969	22	0.00208	0.00208	0.5	95297	198	95198	4558482	47.83
1960-1969	23	0.00198	0.00198	0.5	95099	188	95005	4463284	46.93
1960-1969	24	0.00187	0.00187	0.5	94910	177	94822	4368280	46.03
1960-1969	25	0.00191	0.00191	0.5	94733	181	94643	4273458	45.11
1960-1969	26	0.00178	0.00178	0.5	94552	168	94468	4178815	44.20
1960-1969	27	0.00180	0.00179	0.5	94384	169	94299	4084347	43.27
1960-1969	28	0.00188	0.00188	0.5	94215	177	94126	3990048	42.35
1960-1969	29	0.00189	0.00189	0.5	94037	178	93949	3895922	41.43
1960-1969	30	0.00202	0.00202	0.5	93860	189	93765	3801973	40.51
1960-1969	31	0.00194	0.00193	0.5	93670	181	93580	3708208	39.59
1960-1969	32	0.00203	0.00203	0.5	93489	190	93395	3614628	38.66
1960-1969	33	0.00243	0.00242	0.5	93300	226	93187	3521234	37.74
1960-1969	34	0.00244	0.00243	0.5	93074	226	92960	3428047	36.83
1960-1969	35	0.00263	0.00263	0.5	92847	244	92725	3335087	35.92
1960-1969	36	0.00278	0.00277	0.5	92603	257	92475	3242362	35.01
1960-1969	37	0.00302	0.00302	0.5	92346	279	92207	3149887	34.11
1960-1969	38	0.00327	0.00327	0.5	92067	301	91917	3057680	33.21
1960-1969	39	0.00366	0.00366	0.5	91767	336	91599	2965763	32.32
1960-1969	40	0.00380	0.00379	0.5	91431	346	91258	2874165	31.44
1960-1969	41	0.00430	0.00429	0.5	91084	391	90889	2782907	30.55
1960-1969	42	0.00459	0.00458	0.5	90694	416	90486	2692018	29.68
1960-1969	43	0.00498	0.00497	0.5	90278	448	90054	2601532	28.82
1960-1969	44	0.00542	0.00540	0.5	89830	485	89587	2511478	27.96
1960-1969	45	0.00622	0.00620	0.5	89344	554	89068	2421891	27.11
1960-1969	46	0.00658	0.00656	0.5	88791	582	88500	2332824	26.27
1960-1969	47	0.00724	0.00721	0.5	88209	636	87890	2244324	25.44
1960-1969	48	0.00826	0.00823	0.5	87572	721	87212	2156434	24.62
1960-1969	49	0.00854	0.00851	0.5	86851	739	86482	2069222	23.82
1960-1969	50	0.01018	0.01013	0.5	86113	872	85676	1982740	23.02
1960-1969	51	0.01076	0.01070	0.5	85240	912	84784	1897063	22.26
1960-1969	52	0.01191	0.01184	0.5	84328	999	83829	1812279	21.49
1960-1969	53	0.01312	0.01304	0.5	83330	1086	82786	1728450	20.74
1960-1969	54	0.01447	0.01436	0.5	82243	1181	81653	1645664	20.01
1960-1969	55	0.01544	0.01532	0.5	81062	1242	80441	1564011	19.29
1960-1969	56	0.01730	0.01715	0.5	79820	1369	79136	1483570	18.59
1960-1969	57	0.01845	0.01828	0.5	78452	1434	77734	1404434	17.90
1960-1969	58	0.01970	0.01951	0.5	77017	1503	76266	1326700	17.23
1960-1969	59	0.02149	0.02126	0.5	75515	1606	74712	1250434	16.56
1960-1969	60	0.02354	0.02327	0.5	73909	1720	73049	1175722	15.91
1960-1969	61	0.02643	0.02608	0.5	72189	1883	71248	1102673	15.27
1960-1969	62	0.02746	0.02709	0.5	70306	1904	69354	1031425	14.67
1960-1969	63	0.02929	0.02886	0.5	68402	1974	67415	962071	14.06
1960-1969	64	0.03222	0.03170	0.5	66428	2106	65375	894656	13.47
1960-1969	65	0.03573	0.03510	0.5	64322	2258	63193	829282	12.89
1960-1969	66	0.03784	0.03714	0.5	62064	2305	60911	766089	12.34
1960-1969	67	0.04168	0.04083	0.5	59759	2440	58539	705178	11.80
1960-1969	68	0.04434	0.04337	0.5	57319	2486	56076	646639	11.28
1960-1969	69	0.04715	0.04606	0.5	54833	2526	53570	590563	10.77
1960-1969	70	0.05180	0.05049	0.5	52307	2641	50986	536993	10.27
1960-1969	71	0.05471	0.05326	0.5	49666	2645	48343	486007	9.79
1960-1969	72	0.06018	0.05842	0.5	47021	2747	45647	437664	9.31
1960-1969	73	0.06431	0.06231	0.5	44274	2759	42894	392017	8.85
1960-1969	74	0.06938	0.06705	0.5	41515	2784	40123	349122	8.41
1960-1969	75	0.07413	0.07148	0.5	38731	2768	37347	308999	7.98
1960-1969	76	0.08181	0.07860	0.5	35963	2827	34550	271652	7.55
1960-1969	77	0.08529	0.08180	0.5	33136	2710	31781	237102	7.16
1960-1969	78	0.09276	0.08865	0.5	30426	2697	29077	205321	6.75
1960-1969	79	0.10113	0.09626	0.5	27729	2669	26394	176243	6.36
1960-1969	80	0.11260	0.10660	0.5	25059	2671	23724	149849	5.98
1960-1969	81	0.11925	0.11254	0.5	22388	2520	21128	126126	5.63
1960-1969	82	0.13353	0.12517	0.5	19869	2487	18625	104997	5.28
1960-1969	83	0.14575	0.13585	0.5	17382	2361	16201	86372	4.97
1960-1969	84	0.15994	0.14810	0.5	15020	2225	13908	70171	4.67
1960-1969	85	0.17664	0.16231	0.5	12796	2077	11757	56263	4.40
1960-1969	86	0.19256	0.17565	0.5	10719	1883	9778	44506	4.15
1960-1969	87	0.20397	0.18509	0.5	8836	1635	8018	34728	3.93
1960-1969	88	0.21519	0.19429	0.5	7201	1399	6501	26710	3.71
1960-1969	89	0.23677	0.21170	0.5	5802	1228	5188	20209	3.48
1960-1969	90	0.26708	0.23561	0.5	4573	1078	4035	15021	3.28
1960-1969	91	0.27101	0.23867	0.5	3496	834	3079	10987	3.14
1960-1969	92	0.28364	0.24841	0.5	2662	661	2331	7908	2.97
1960-1969	93	0.31403	0.27142	0.5	2000	543	1729	5577	2.79
1960-1969	94	0.33564	0.28741	0.5	1457	419	1248	3848	2.64
1960-1969	95	0.35795	0.30361	0.5	1039	315	881	2600	2.50
1960-1969	96	0.38090	0.31997	0.5	723	231	608	1719	2.38
1960-1969	97	0.40440	0.33638	0.5	492	165	409	1112	2.26
1960-1969	98	0.42834	0.35278	0.5	326	115	269	703	2.15
1960-1969	99	0.45262	0.36909	0.5	211	78	172	434	2.05
1960-1969	100	0.47713	0.38523	0.5	133	51	108	261	1.96
1960-1969	101	0.50174	0.40112	0.5	82	33	66	154	1.88
1960-1969	102	0.52635	0.41669	0.5	49	20	39	88	1.80
1960-1969	103	0.55084	0.43189	0.5	29	12	22	50	1.73
