MS: Mississippi, Lifetables (period 5x5), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.04602	0.04433	0.17	100000	4433	96314	6438797	64.39
1960-1964	1-4	0.00180	0.00718	1.51	95567	686	380565	6342483	66.37
1960-1964	5-9	0.00067	0.00335	2.38	94882	317	473576	5961917	62.84
1960-1964	10-14	0.00074	0.00370	2.82	94564	350	472060	5488342	58.04
1960-1964	15-19	0.00156	0.00779	2.74	94215	734	469413	5016281	53.24
1960-1964	20-24	0.00235	0.01169	2.53	93481	1093	464704	4546868	48.64
1960-1964	25-29	0.00260	0.01294	2.6	92388	1195	459074	4082164	44.18
1960-1964	30-34	0.00306	0.01520	2.57	91193	1386	452601	3623090	39.73
1960-1964	35-39	0.00427	0.02112	2.64	89807	1897	444556	3170489	35.30
1960-1964	40-44	0.00603	0.02972	2.62	87910	2613	433337	2725933	31.01
1960-1964	45-49	0.00889	0.04354	2.61	85297	3714	417592	2292596	26.88
1960-1964	50-54	0.01336	0.06478	2.65	81583	5285	395504	1875004	22.98
1960-1964	55-59	0.01935	0.09253	2.63	76299	7060	364774	1479500	19.39
1960-1964	60-64	0.02804	0.13153	2.65	69239	9107	324812	1114726	16.10
1960-1964	65-69	0.04073	0.18473	2.48	60132	11108	272707	789914	13.14
1960-1964	70-74	0.05973	0.26057	2.55	49024	12774	213846	517208	10.55
1960-1964	75-79	0.08114	0.33615	2.45	36250	12186	150182	303361	8.37
1960-1964	80-84	0.12615	0.47594	2.42	24064	11453	90788	153180	6.37
1960-1964	85-89	0.18410	0.60715	2.2	12611	7657	41591	62392	4.95
1960-1964	90-94	0.21874	0.67452	2.16	4954	3342	15278	20801	4.20
1960-1964	95-99	0.27663	0.76026	2.04	1613	1226	4432	5523	3.43
1960-1964	100-104	0.34295	0.83171	1.9	387	322	938	1092	2.82
1960-1964	105-109	0.41593	0.88647	1.76	65	58	139	154	2.37
1960-1964	110+	0.47563	1.00000	2.1	7	7	16	16	2.10
1965-1969	0	0.04141	0.04001	0.16	100000	4001	96623	6397609	63.98
1965-1969	1-4	0.00169	0.00673	1.56	95999	646	382420	6300986	65.64
1965-1969	5-9	0.00073	0.00363	2.3	95352	346	475829	5918566	62.07
1965-1969	10-14	0.00078	0.00389	2.81	95006	370	474221	5442737	57.29
1965-1969	15-19	0.00190	0.00945	2.89	94636	894	471294	4968516	52.50
1965-1969	20-24	0.00269	0.01335	2.4	93742	1252	465450	4497222	47.97
1965-1969	25-29	0.00287	0.01424	2.48	92490	1317	459137	4031772	43.59
1965-1969	30-34	0.00323	0.01601	2.55	91173	1460	452285	3572635	39.19
1965-1969	35-39	0.00433	0.02142	2.63	89713	1922	444014	3120350	34.78
1965-1969	40-44	0.00635	0.03126	2.61	87791	2744	432384	2676337	30.49
1965-1969	45-49	0.00954	0.04662	2.6	85047	3964	415727	2243952	26.38
1965-1969	50-54	0.01411	0.06824	2.61	81083	5533	392162	1828225	22.55
1965-1969	55-59	0.01996	0.09526	2.63	75550	7197	360655	1436063	19.01
1965-1969	60-64	0.02871	0.13426	2.59	68352	9177	319639	1075408	15.73
1965-1969	65-69	0.04417	0.19912	2.53	59175	11783	266783	755769	12.77
1965-1969	70-74	0.06121	0.26596	2.54	47392	12604	205934	488986	10.32
1965-1969	75-79	0.08843	0.36102	2.46	34788	12559	142029	283051	8.14
1965-1969	80-84	0.12658	0.47662	2.41	22229	10595	83698	141022	6.34
1965-1969	85-89	0.18157	0.60140	2.19	11634	6997	38534	57324	4.93
1965-1969	90-94	0.22699	0.68895	2.15	4637	3195	14075	18790	4.05
1965-1969	95-99	0.29078	0.77828	2.01	1442	1123	3861	4715	3.27
1965-1969	100-104	0.36386	0.85022	1.87	320	272	747	854	2.67
1965-1969	105-109	0.44376	0.90290	1.72	48	43	97	107	2.23
1965-1969	110+	0.50928	1.00000	1.96	5	5	9	9	1.96
1970-1974	0	0.03075	0.02994	0.13	100000	2994	97387	6480812	64.81
1970-1974	1-4	0.00128	0.00509	1.6	97006	494	386840	6383425	65.80
1970-1974	5-9	0.00066	0.00331	2.31	96512	319	481701	5996585	62.13
1970-1974	10-14	0.00076	0.00380	2.83	96192	366	480167	5514884	57.33
1970-1974	15-19	0.00198	0.00985	2.72	95827	944	476984	5034717	52.54
1970-1974	20-24	0.00274	0.01362	2.62	94883	1293	471335	4557733	48.04
1970-1974	25-29	0.00306	0.01517	2.61	93591	1420	464563	4086398	43.66
1970-1974	30-34	0.00323	0.01602	2.68	92171	1476	457426	3621835	39.29
1970-1974	35-39	0.00424	0.02097	2.63	90694	1902	448963	3164409	34.89
1970-1974	40-44	0.00641	0.03158	2.63	88792	2804	437312	2715446	30.58
1970-1974	45-49	0.00962	0.04701	2.61	85988	4042	420271	2278134	26.49
1970-1974	50-54	0.01413	0.06837	2.64	81946	5603	396513	1857863	22.67
1970-1974	55-59	0.01976	0.09440	2.64	76343	7207	364708	1461350	19.14
1970-1974	60-64	0.03042	0.14186	2.63	69137	9808	322392	1096642	15.86
1970-1974	65-69	0.03964	0.18059	2.54	59329	10714	270276	774250	13.05
1970-1974	70-74	0.06220	0.26996	2.56	48615	13124	211005	503974	10.37
1970-1974	75-79	0.08576	0.35260	2.48	35491	12514	145917	292969	8.25
1970-1974	80-84	0.12511	0.47232	2.41	22977	10853	86745	147052	6.40
1970-1974	85-89	0.17968	0.59978	2.23	12124	7272	40472	60307	4.97
1970-1974	90-94	0.22449	0.68491	2.15	4852	3323	14804	19835	4.09
1970-1974	95-99	0.28848	0.77563	2.02	1529	1186	4111	5031	3.29
1970-1974	100-104	0.36199	0.84878	1.87	343	291	804	920	2.68
1970-1974	105-109	0.44250	0.90231	1.72	52	47	106	116	2.23
1970-1974	110+	0.50860	1.00000	1.97	5	5	10	10	1.97
1975-1979	0	0.02258	0.02213	0.11	100000	2213	98021	6686178	66.86
1975-1979	1-4	0.00101	0.00404	1.54	97787	395	390175	6588157	67.37
1975-1979	5-9	0.00051	0.00255	2.47	97392	248	486330	6197982	63.64
1975-1979	10-14	0.00059	0.00294	2.64	97143	286	485042	5711653	58.80
1975-1979	15-19	0.00165	0.00820	2.83	96857	794	482564	5226611	53.96
1975-1979	20-24	0.00230	0.01142	2.53	96063	1097	477600	4744047	49.38
1975-1979	25-29	0.00264	0.01313	2.5	94966	1247	471713	4266447	44.93
1975-1979	30-34	0.00263	0.01305	2.63	93718	1223	465699	3794734	40.49
1975-1979	35-39	0.00382	0.01893	2.65	92496	1751	458360	3329035	35.99
1975-1979	40-44	0.00569	0.02805	2.63	90745	2546	447697	2870675	31.63
1975-1979	45-49	0.00814	0.03994	2.68	88199	3523	432823	2422978	27.47
1975-1979	50-54	0.01267	0.06152	2.63	84676	5210	411040	1990155	23.50
1975-1979	55-59	0.01902	0.09101	2.65	79467	7233	380317	1579115	19.87
1975-1979	60-64	0.02653	0.12475	2.61	72234	9011	339602	1198798	16.60
1975-1979	65-69	0.03795	0.17375	2.57	63223	10985	289454	859197	13.59
1975-1979	70-74	0.05516	0.24305	2.56	52238	12696	230174	569743	10.91
1975-1979	75-79	0.07858	0.32801	2.48	39542	12970	165063	339569	8.59
1975-1979	80-84	0.12191	0.46344	2.41	26572	12315	101011	174506	6.57
1975-1979	85-89	0.17208	0.58553	2.27	14257	8348	48513	73496	5.15
1975-1979	90-94	0.21599	0.67030	2.17	5909	3961	18338	24983	4.23
1975-1979	95-99	0.27723	0.76157	2.04	1948	1484	5352	6645	3.41
1975-1979	100-104	0.34791	0.83668	1.9	465	389	1117	1293	2.78
1975-1979	105-109	0.42590	0.89291	1.75	76	68	159	176	2.32
1975-1979	110+	0.48995	1.00000	2.04	8	8	17	17	2.04
1980-1984	0	0.01717	0.01690	0.09	100000	1690	98463	6821560	68.22
1980-1984	1-4	0.00083	0.00333	1.57	98310	327	392444	6723096	68.39
1980-1984	5-9	0.00045	0.00225	2.57	97983	221	489376	6330652	64.61
1980-1984	10-14	0.00051	0.00256	2.75	97762	251	488244	5841276	59.75
1980-1984	15-19	0.00148	0.00739	2.85	97511	721	486007	5353032	54.90
1980-1984	20-24	0.00225	0.01118	2.55	96790	1082	481301	4867025	50.28
1980-1984	25-29	0.00233	0.01158	2.48	95709	1109	475750	4385724	45.82
1980-1984	30-34	0.00249	0.01238	2.52	94600	1171	470100	3909974	41.33
1980-1984	35-39	0.00322	0.01597	2.64	93429	1492	463625	3439874	36.82
1980-1984	40-44	0.00484	0.02390	2.61	91938	2197	454446	2976249	32.37
1980-1984	45-49	0.00729	0.03582	2.64	89740	3215	441130	2521803	28.10
1980-1984	50-54	0.01127	0.05491	2.65	86526	4751	421473	2080673	24.05
1980-1984	55-59	0.01763	0.08463	2.63	81775	6920	392458	1659200	20.29
1980-1984	60-64	0.02561	0.12061	2.59	74854	9028	352512	1266742	16.92
1980-1984	65-69	0.03634	0.16709	2.6	65826	10999	302697	914230	13.89
1980-1984	70-74	0.05335	0.23598	2.56	54827	12938	242523	611533	11.15
1980-1984	75-79	0.07557	0.31737	2.48	41889	13294	175926	369010	8.81
1980-1984	80-84	0.11611	0.44772	2.44	28595	12803	110263	193084	6.75
1980-1984	85-89	0.16503	0.57204	2.32	15792	9034	54741	82820	5.24
1980-1984	90-94	0.21851	0.67582	2.18	6758	4567	20903	28080	4.15
1980-1984	95-99	0.28870	0.77693	2.03	2191	1702	5896	7177	3.28
1980-1984	100-104	0.37033	0.85641	1.86	489	419	1130	1281	2.62
1980-1984	105-109	0.46006	0.91201	1.69	70	64	139	151	2.15
1980-1984	110+	0.53403	1.00000	1.87	6	6	12	12	1.87
1985-1989	0	0.01445	0.01426	0.08	100000	1426	98693	6883498	68.83
1985-1989	1-4	0.00076	0.00302	1.66	98574	297	393600	6784805	68.83
1985-1989	5-9	0.00037	0.00185	2.39	98276	182	490908	6391205	65.03
1985-1989	10-14	0.00053	0.00264	2.88	98094	259	489922	5900297	60.15
1985-1989	15-19	0.00136	0.00676	2.86	97835	661	487762	5410375	55.30
1985-1989	20-24	0.00201	0.00999	2.55	97174	970	483492	4922613	50.66
1985-1989	25-29	0.00214	0.01065	2.57	96204	1024	478529	4439122	46.14
1985-1989	30-34	0.00265	0.01316	2.45	95179	1253	472708	3960593	41.61
1985-1989	35-39	0.00316	0.01570	2.58	93926	1475	466066	3487885	37.13
1985-1989	40-44	0.00454	0.02249	2.76	92452	2079	457605	3021819	32.69
1985-1989	45-49	0.00662	0.03259	2.65	90373	2946	444936	2564215	28.37
1985-1989	50-54	0.01061	0.05175	2.67	87427	4524	426606	2119279	24.24
1985-1989	55-59	0.01654	0.07959	2.62	82902	6598	398802	1692673	20.42
1985-1989	60-64	0.02498	0.11776	2.58	76305	8986	359775	1293870	16.96
1985-1989	65-69	0.03578	0.16469	2.59	67319	11087	309898	934096	13.88
1985-1989	70-74	0.05292	0.23439	2.57	56232	13180	249067	624198	11.10
1985-1989	75-79	0.07657	0.32077	2.47	43052	13810	180346	375131	8.71
1985-1989	80-84	0.11802	0.45113	2.39	29242	13192	111780	194785	6.66
1985-1989	85-89	0.16636	0.57373	2.3	16050	9208	55352	83004	5.17
1985-1989	90-94	0.22547	0.68776	2.17	6842	4705	20869	27652	4.04
1985-1989	95-99	0.29882	0.78900	2.01	2136	1686	5641	6783	3.18
1985-1989	100-104	0.38391	0.86688	1.84	451	391	1018	1142	2.53
1985-1989	105-109	0.47674	0.91991	1.66	60	55	116	124	2.07
1985-1989	110+	0.55311	1.00000	1.81	5	5	9	9	1.81
1990-1994	0	0.01306	0.01290	0.08	100000	1290	98813	6902380	69.02
1990-1994	1-4	0.00069	0.00277	1.62	98710	273	394187	6803567	68.93
1990-1994	5-9	0.00035	0.00177	2.39	98436	174	491728	6409380	65.11
1990-1994	10-14	0.00044	0.00219	3.02	98262	215	490886	5917652	60.22
1990-1994	15-19	0.00175	0.00871	2.88	98047	854	488428	5426766	55.35
1990-1994	20-24	0.00230	0.01145	2.49	97194	1113	483179	4938338	50.81
1990-1994	25-29	0.00270	0.01341	2.63	96081	1288	477352	4455159	46.37
1990-1994	30-34	0.00298	0.01480	2.57	94792	1403	470551	3977808	41.96
1990-1994	35-39	0.00349	0.01728	2.6	93390	1614	463077	3507257	37.56
1990-1994	40-44	0.00450	0.02225	2.64	91776	2042	454066	3044180	33.17
1990-1994	45-49	0.00686	0.03374	2.66	89733	3028	441594	2590114	28.86
1990-1994	50-54	0.00991	0.04844	2.71	86706	4200	423890	2148520	24.78
1990-1994	55-59	0.01546	0.07459	2.65	82505	6154	398075	1724629	20.90
1990-1994	60-64	0.02293	0.10861	2.58	76351	8292	361691	1326554	17.37
1990-1994	65-69	0.03438	0.15876	2.59	68059	10805	314302	964863	14.18
1990-1994	70-74	0.05151	0.22854	2.54	57254	13085	254047	650561	11.36
1990-1994	75-79	0.07181	0.30469	2.52	44169	13458	187410	396514	8.98
1990-1994	80-84	0.11284	0.43711	2.42	30711	13424	118964	209104	6.81
1990-1994	85-89	0.16290	0.56661	2.31	17287	9795	60131	90140	5.21
1990-1994	90-94	0.22655	0.69041	2.17	7492	5173	22831	30009	4.01
1990-1994	95-99	0.30667	0.79866	2	2319	1852	6040	7178	3.09
1990-1994	100-104	0.40012	0.87894	1.81	467	410	1026	1137	2.44
