PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MT,b,1960-1969,0,0.02429,0.02378,0.12,100000,2378,97897,7012076,70.12
MT,b,1960-1969,1,0.00171,0.00171,0.5,97622,167,97538,6914179,70.83
MT,b,1960-1969,2,0.00115,0.00115,0.5,97455,112,97399,6816640,69.95
MT,b,1960-1969,3,0.00086,0.00086,0.5,97343,84,97301,6719241,69.03
MT,b,1960-1969,4,0.00065,0.00065,0.5,97259,64,97228,6621940,68.09
MT,b,1960-1969,5,0.00057,0.00057,0.5,97196,55,97168,6524713,67.13
MT,b,1960-1969,6,0.00057,0.00057,0.5,97140,55,97113,6427545,66.17
MT,b,1960-1969,7,0.00040,0.00040,0.5,97085,39,97066,6330432,65.20
MT,b,1960-1969,8,0.00049,0.00049,0.5,97046,47,97022,6233366,64.23
MT,b,1960-1969,9,0.00035,0.00035,0.5,96999,34,96982,6136344,63.26
MT,b,1960-1969,10,0.00039,0.00038,0.5,96964,37,96946,6039362,62.28
MT,b,1960-1969,11,0.00041,0.00041,0.5,96927,39,96908,5942417,61.31
MT,b,1960-1969,12,0.00044,0.00044,0.5,96888,43,96867,5845509,60.33
MT,b,1960-1969,13,0.00060,0.00060,0.5,96845,58,96816,5748643,59.36
MT,b,1960-1969,14,0.00070,0.00070,0.5,96787,68,96753,5651826,58.39
MT,b,1960-1969,15,0.00077,0.00077,0.5,96719,75,96682,5555073,57.44
MT,b,1960-1969,16,0.00118,0.00118,0.5,96644,114,96587,5458392,56.48
MT,b,1960-1969,17,0.00145,0.00145,0.5,96530,139,96460,5361804,55.55
MT,b,1960-1969,18,0.00180,0.00180,0.5,96391,174,96304,5265344,54.62
MT,b,1960-1969,19,0.00178,0.00178,0.5,96217,171,96132,5169040,53.72
MT,b,1960-1969,20,0.00205,0.00205,0.5,96046,197,95948,5072908,52.82
MT,b,1960-1969,21,0.00207,0.00207,0.5,95849,198,95750,4976961,51.92
MT,b,1960-1969,22,0.00188,0.00188,0.5,95651,180,95561,4881211,51.03
MT,b,1960-1969,23,0.00185,0.00185,0.5,95471,177,95383,4785650,50.13
MT,b,1960-1969,24,0.00170,0.00170,0.5,95295,162,95213,4690267,49.22
MT,b,1960-1969,25,0.00188,0.00188,0.5,95132,178,95043,4595054,48.30
MT,b,1960-1969,26,0.00157,0.00157,0.5,94954,149,94879,4500011,47.39
MT,b,1960-1969,27,0.00158,0.00158,0.5,94805,149,94730,4405131,46.47
MT,b,1960-1969,28,0.00147,0.00147,0.5,94656,139,94586,4310401,45.54
MT,b,1960-1969,29,0.00168,0.00168,0.5,94517,159,94437,4215815,44.60
MT,b,1960-1969,30,0.00182,0.00182,0.5,94358,171,94272,4121377,43.68
MT,b,1960-1969,31,0.00165,0.00165,0.5,94186,156,94109,4027105,42.76
MT,b,1960-1969,32,0.00189,0.00189,0.5,94031,177,93942,3932997,41.83
MT,b,1960-1969,33,0.00208,0.00208,0.5,93853,195,93756,3839055,40.90
