NC: North Carolina, Lifetables (period 5x5), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.03164	0.03080	0.14	100000	3080	97339	6854604	68.55
1960-1964	1-4	0.00117	0.00469	1.55	96920	454	386569	6757264	69.72
1960-1964	5-9	0.00057	0.00283	2.28	96466	273	481588	6370695	66.04
1960-1964	10-14	0.00050	0.00248	2.62	96193	239	480397	5889107	61.22
1960-1964	15-19	0.00112	0.00559	2.81	95954	536	478599	5408710	56.37
1960-1964	20-24	0.00144	0.00719	2.48	95418	686	475364	4930111	51.67
1960-1964	25-29	0.00164	0.00814	2.5	94732	772	471736	4454747	47.02
1960-1964	30-34	0.00212	0.01057	2.58	93961	993	467405	3983011	42.39
1960-1964	35-39	0.00304	0.01510	2.69	92968	1404	461601	3515607	37.82
1960-1964	40-44	0.00461	0.02280	2.67	91564	2087	452947	3054006	33.35
1960-1964	45-49	0.00692	0.03403	2.64	89476	3045	440200	2601059	29.07
1960-1964	50-54	0.01054	0.05142	2.63	86431	4444	421628	2160859	25.00
1960-1964	55-59	0.01510	0.07289	2.64	81987	5976	395829	1739231	21.21
1960-1964	60-64	0.02234	0.10608	2.64	76011	8063	361006	1343402	17.67
1960-1964	65-69	0.03313	0.15321	2.55	67948	10410	314214	982395	14.46
1960-1964	70-74	0.04753	0.21285	2.55	57538	12247	257674	668181	11.61
1960-1964	75-79	0.06881	0.29398	2.52	45291	13315	193486	410507	9.06
1960-1964	80-84	0.11045	0.43250	2.49	31977	13830	125216	217021	6.79
1960-1964	85-89	0.16825	0.57852	2.3	18147	10498	62395	91805	5.06
1960-1964	90-94	0.23670	0.70685	2.15	7648	5406	22841	29410	3.85
1960-1964	95-99	0.32517	0.81904	1.97	2242	1836	5647	6569	2.93
1960-1964	100-104	0.43069	0.89866	1.76	406	365	847	922	2.27
1960-1964	105-109	0.54378	0.94589	1.55	41	39	72	75	1.82
1960-1964	110+	0.63573	1.00000	1.57	2	2	3	3	1.57
1965-1969	0	0.02797	0.02730	0.13	100000	2730	97613	6872869	68.73
1965-1969	1-4	0.00107	0.00428	1.6	97270	416	388082	6775256	69.65
1965-1969	5-9	0.00053	0.00264	2.34	96854	255	483590	6387174	65.95
1965-1969	10-14	0.00050	0.00247	2.67	96599	239	482436	5903584	61.11
1965-1969	15-19	0.00123	0.00611	2.86	96360	589	480539	5421148	56.26
1965-1969	20-24	0.00164	0.00816	2.49	95771	781	476893	4940609	51.59
1965-1969	25-29	0.00173	0.00860	2.57	94990	817	472965	4463716	46.99
1965-1969	30-34	0.00224	0.01115	2.59	94173	1050	468336	3990751	42.38
1965-1969	35-39	0.00315	0.01563	2.63	93122	1456	462162	3522415	37.83
1965-1969	40-44	0.00483	0.02388	2.65	91666	2189	453188	3060253	33.38
1965-1969	45-49	0.00711	0.03497	2.68	89478	3129	440121	2607065	29.14
1965-1969	50-54	0.01050	0.05125	2.64	86348	4426	421310	2166945	25.10
1965-1969	55-59	0.01509	0.07285	2.63	81923	5968	395450	1745635	21.31
1965-1969	60-64	0.02187	0.10394	2.62	75955	7895	360966	1350185	17.78
1965-1969	65-69	0.03252	0.15077	2.59	68060	10261	315523	989219	14.53
1965-1969	70-74	0.04747	0.21280	2.57	57799	12300	259115	673696	11.66
1965-1969	75-79	0.06894	0.29402	2.5	45499	13378	194034	414581	9.11
1965-1969	80-84	0.10762	0.42388	2.5	32121	13616	126514	220547	6.87
1965-1969	85-89	0.16683	0.57660	2.32	18506	10670	63958	94033	5.08
1965-1969	90-94	0.23648	0.70781	2.16	7835	5546	23452	30075	3.84
1965-1969	95-99	0.32956	0.82366	1.96	2289	1886	5722	6624	2.89
1965-1969	100-104	0.43834	0.90311	1.74	404	365	832	902	2.23
1965-1969	105-109	0.55416	0.94908	1.54	39	37	67	70	1.79
1965-1969	110+	0.64778	1.00000	1.54	2	2	3	3	1.54
1970-1974	0	0.02296	0.02250	0.11	100000	2250	98002	6976220	69.76
1970-1974	1-4	0.00089	0.00357	1.72	97750	349	390202	6878219	70.37
1970-1974	5-9	0.00049	0.00247	2.32	97401	241	486361	6488017	66.61
1970-1974	10-14	0.00047	0.00237	2.79	97160	230	485294	6001656	61.77
1970-1974	15-19	0.00125	0.00621	2.79	96931	602	483322	5516362	56.91
1970-1974	20-24	0.00156	0.00776	2.52	96328	747	479790	5033039	52.25
1970-1974	25-29	0.00163	0.00813	2.53	95581	777	475982	4553249	47.64
1970-1974	30-34	0.00208	0.01035	2.66	94804	981	471720	4077267	43.01
1970-1974	35-39	0.00298	0.01480	2.68	93823	1389	465888	3605547	38.43
1970-1974	40-44	0.00451	0.02234	2.69	92434	2065	457396	3139658	33.97
1970-1974	45-49	0.00691	0.03402	2.65	90369	3074	444633	2682263	29.68
1970-1974	50-54	0.01020	0.04979	2.6	87294	4346	426057	2237630	25.63
1970-1974	55-59	0.01463	0.07065	2.6	82948	5860	400675	1811573	21.84
1970-1974	60-64	0.02123	0.10099	2.6	77088	7785	366724	1410898	18.30
1970-1974	65-69	0.03021	0.14075	2.57	69303	9754	322825	1044174	15.07
1970-1974	70-74	0.04553	0.20492	2.57	59549	12203	268044	721349	12.11
1970-1974	75-79	0.06459	0.27867	2.54	47346	13194	204270	453305	9.57
1970-1974	80-84	0.09885	0.39596	2.49	34152	13523	136805	249035	7.29
1970-1974	85-89	0.15187	0.54138	2.35	20629	11168	73540	112231	5.44
1970-1974	90-94	0.21867	0.67849	2.2	9461	6419	29355	38691	4.09
1970-1974	95-99	0.30794	0.80169	2.01	3042	2439	7919	9336	3.07
1970-1974	100-104	0.41513	0.89002	1.79	603	537	1293	1417	2.35
1970-1974	105-109	0.53220	0.94260	1.57	66	63	118	124	1.86
1970-1974	110+	0.62811	1.00000	1.59	4	4	6	6	1.59
1975-1979	0	0.01724	0.01698	0.1	100000	1698	98466	7204349	72.04
1975-1979	1-4	0.00076	0.00305	1.69	98302	300	392515	7105884	72.29
1975-1979	5-9	0.00039	0.00195	2.27	98002	191	489488	6713368	68.50
1975-1979	10-14	0.00038	0.00189	2.74	97811	184	488638	6223880	63.63
1975-1979	15-19	0.00103	0.00516	2.88	97627	504	487065	5735243	58.75
1975-1979	20-24	0.00130	0.00648	2.47	97123	630	484023	5248178	54.04
1975-1979	25-29	0.00136	0.00677	2.53	96493	654	480852	4764155	49.37
1975-1979	30-34	0.00163	0.00813	2.62	95840	780	477344	4283304	44.69
1975-1979	35-39	0.00237	0.01179	2.67	95060	1120	472694	3805960	40.04
1975-1979	40-44	0.00373	0.01849	2.66	93940	1737	465642	3333265	35.48
1975-1979	45-49	0.00570	0.02810	2.68	92203	2591	454990	2867624	31.10
1975-1979	50-54	0.00882	0.04319	2.64	89611	3870	438919	2412633	26.92
1975-1979	55-59	0.01313	0.06366	2.62	85741	5458	415705	1973714	23.02
1975-1979	60-64	0.01911	0.09140	2.63	80283	7338	384039	1558009	19.41
1975-1979	65-69	0.02670	0.12542	2.58	72945	9149	342618	1173970	16.09
