NC: North Carolina, Lifetables (period 1x5), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02741	0.02678	0.13	100000	2678	97670	7256561	72.57
1960-1964	1	0.00191	0.00191	0.5	97322	186	97229	7158891	73.56
1960-1964	2	0.00108	0.00107	0.5	97136	104	97084	7061661	72.70
1960-1964	3	0.00076	0.00076	0.5	97032	74	96995	6964577	71.78
1960-1964	4	0.00067	0.00067	0.5	96958	65	96926	6867582	70.83
1960-1964	5	0.00066	0.00066	0.5	96894	64	96862	6770656	69.88
1960-1964	6	0.00056	0.00056	0.5	96830	54	96803	6673795	68.92
1960-1964	7	0.00043	0.00043	0.5	96776	42	96755	6576992	67.96
1960-1964	8	0.00043	0.00043	0.5	96734	41	96714	6480236	66.99
1960-1964	9	0.00034	0.00034	0.5	96693	32	96677	6383523	66.02
1960-1964	10	0.00036	0.00036	0.5	96660	34	96643	6286846	65.04
1960-1964	11	0.00035	0.00035	0.5	96626	33	96609	6190203	64.06
1960-1964	12	0.00031	0.00031	0.5	96593	29	96578	6093593	63.09
1960-1964	13	0.00033	0.00033	0.5	96563	32	96547	5997015	62.10
1960-1964	14	0.00040	0.00040	0.5	96531	38	96512	5900468	61.12
1960-1964	15	0.00045	0.00045	0.5	96493	44	96471	5803956	60.15
1960-1964	16	0.00059	0.00059	0.5	96449	57	96421	5707485	59.18
1960-1964	17	0.00058	0.00058	0.5	96392	56	96364	5611064	58.21
1960-1964	18	0.00062	0.00062	0.5	96336	60	96306	5514700	57.24
1960-1964	19	0.00075	0.00075	0.5	96276	72	96239	5418394	56.28
1960-1964	20	0.00083	0.00083	0.5	96203	80	96163	5322155	55.32
1960-1964	21	0.00072	0.00072	0.5	96123	69	96089	5225991	54.37
1960-1964	22	0.00079	0.00079	0.5	96054	76	96016	5129903	53.41
1960-1964	23	0.00072	0.00072	0.5	95979	69	95944	5033886	52.45
1960-1964	24	0.00090	0.00090	0.5	95910	86	95867	4937942	51.49
1960-1964	25	0.00086	0.00086	0.5	95824	82	95783	4842075	50.53
1960-1964	26	0.00103	0.00103	0.5	95742	99	95693	4746293	49.57
1960-1964	27	0.00098	0.00098	0.5	95643	94	95596	4650600	48.62
1960-1964	28	0.00110	0.00110	0.5	95549	105	95497	4555004	47.67
1960-1964	29	0.00106	0.00106	0.5	95444	101	95393	4459507	46.72
1960-1964	30	0.00132	0.00132	0.5	95343	126	95280	4364113	45.77
1960-1964	31	0.00127	0.00127	0.5	95217	121	95156	4268833	44.83
1960-1964	32	0.00137	0.00137	0.5	95096	131	95030	4173677	43.89
1960-1964	33	0.00163	0.00163	0.5	94965	154	94888	4078647	42.95
1960-1964	34	0.00184	0.00184	0.5	94811	174	94724	3983759	42.02
1960-1964	35	0.00197	0.00197	0.5	94636	186	94543	3889035	41.09
1960-1964	36	0.00178	0.00178	0.5	94450	168	94366	3794492	40.17
1960-1964	37	0.00218	0.00218	0.5	94282	205	94180	3700126	39.25
1960-1964	38	0.00259	0.00259	0.5	94077	244	93955	3605946	38.33
1960-1964	39	0.00275	0.00274	0.5	93833	257	93705	3511991	37.43
1960-1964	40	0.00291	0.00290	0.5	93576	272	93440	3418286	36.53
1960-1964	41	0.00269	0.00268	0.5	93305	250	93179	3324846	35.63
1960-1964	42	0.00335	0.00334	0.5	93054	311	92899	3231666	34.73
1960-1964	43	0.00371	0.00371	0.5	92743	344	92571	3138767	33.84
1960-1964	44	0.00359	0.00359	0.5	92399	331	92234	3046196	32.97
1960-1964	45	0.00382	0.00381	0.5	92068	351	91892	2953962	32.08
1960-1964	46	0.00416	0.00415	0.5	91717	381	91527	2862070	31.21
1960-1964	47	0.00464	0.00463	0.5	91336	423	91125	2770543	30.33
1960-1964	48	0.00487	0.00485	0.5	90913	441	90693	2679418	29.47
1960-1964	49	0.00503	0.00502	0.5	90472	454	90245	2588726	28.61
1960-1964	50	0.00601	0.00599	0.5	90018	540	89748	2498481	27.76
1960-1964	51	0.00601	0.00599	0.5	89478	536	89210	2408733	26.92
1960-1964	52	0.00720	0.00717	0.5	88942	638	88623	2319523	26.08
1960-1964	53	0.00741	0.00738	0.5	88304	652	87978	2230900	25.26
1960-1964	54	0.00759	0.00756	0.5	87652	663	87321	2142922	24.45
1960-1964	55	0.00788	0.00785	0.5	86989	682	86648	2055601	23.63
1960-1964	56	0.00863	0.00859	0.5	86307	741	85936	1968953	22.81
1960-1964	57	0.01006	0.01001	0.5	85565	857	85137	1883017	22.01
1960-1964	58	0.01082	0.01076	0.5	84709	912	84253	1797880	21.22
1960-1964	59	0.01163	0.01157	0.5	83797	969	83312	1713627	20.45
1960-1964	60	0.01294	0.01286	0.5	82828	1065	82295	1630315	19.68
1960-1964	61	0.01273	0.01265	0.5	81763	1034	81246	1548020	18.93
1960-1964	62	0.01581	0.01569	0.5	80729	1266	80096	1466774	18.17
1960-1964	63	0.01705	0.01691	0.5	79462	1344	78791	1386678	17.45
1960-1964	64	0.01795	0.01779	0.5	78119	1390	77424	1307888	16.74
1960-1964	65	0.02086	0.02064	0.5	76729	1584	75937	1230464	16.04
1960-1964	66	0.02017	0.01996	0.5	75145	1500	74395	1154527	15.36
1960-1964	67	0.02410	0.02381	0.5	73644	1753	72768	1080133	14.67
1960-1964	68	0.02574	0.02541	0.5	71891	1827	70978	1007365	14.01
1960-1964	69	0.02654	0.02619	0.5	70064	1835	69147	936387	13.36
1960-1964	70	0.03189	0.03139	0.5	68229	2142	67158	867241	12.71
1960-1964	71	0.03278	0.03225	0.5	66087	2132	65021	800082	12.11
1960-1964	72	0.03811	0.03739	0.5	63956	2392	62760	735061	11.49
1960-1964	73	0.04033	0.03953	0.5	61564	2434	60347	672301	10.92
1960-1964	74	0.04435	0.04338	0.5	59130	2565	57848	611954	10.35
1960-1964	75	0.04930	0.04811	0.5	56565	2721	55204	554106	9.80
1960-1964	76	0.05304	0.05167	0.5	53844	2782	52453	498902	9.27
1960-1964	77	0.05463	0.05318	0.5	51062	2716	49704	446449	8.74
1960-1964	78	0.06468	0.06265	0.5	48346	3029	46832	396745	8.21
1960-1964	79	0.07136	0.06890	0.5	45317	3122	43756	349914	7.72
1960-1964	80	0.07989	0.07682	0.5	42195	3241	40574	306158	7.26
1960-1964	81	0.08521	0.08173	0.5	38954	3184	37362	265583	6.82
1960-1964	82	0.10036	0.09557	0.5	35770	3418	34061	228222	6.38
1960-1964	83	0.11167	0.10576	0.5	32351	3422	30641	194161	6.00
1960-1964	84	0.12806	0.12036	0.5	28930	3482	27189	163520	5.65
1960-1964	85	0.12722	0.11961	0.5	25448	3044	23926	136331	5.36
1960-1964	86	0.14944	0.13905	0.5	22404	3115	20847	112405	5.02
1960-1964	87	0.16381	0.15141	0.5	19289	2921	17829	91558	4.75
1960-1964	88	0.17289	0.15913	0.5	16368	2605	15066	73730	4.50
1960-1964	89	0.18351	0.16809	0.5	13764	2314	12607	58664	4.26
1960-1964	90	0.19592	0.17844	0.5	11450	2043	10429	46057	4.02
1960-1964	91	0.21284	0.19237	0.5	9407	1810	8502	35628	3.79
1960-1964	92	0.22984	0.20615	0.5	7597	1566	6814	27126	3.57
1960-1964	93	0.24778	0.22047	0.5	6031	1330	5366	20312	3.37
1960-1964	94	0.26663	0.23527	0.5	4701	1106	4148	14945	3.18
1960-1964	95	0.28637	0.25051	0.5	3595	901	3145	10797	3.00
1960-1964	96	0.30696	0.26612	0.5	2695	717	2336	7652	2.84
1960-1964	97	0.32835	0.28205	0.5	1978	558	1699	5316	2.69
1960-1964	98	0.35048	0.29822	0.5	1420	423	1208	3617	2.55
1960-1964	99	0.37327	0.31456	0.5	996	313	840	2409	2.42
1960-1964	100	0.39663	0.33099	0.5	683	226	570	1569	2.30
1960-1964	101	0.42048	0.34744	0.5	457	159	378	999	2.19
1960-1964	102	0.44471	0.36381	0.5	298	108	244	622	2.08
