NC: North Carolina, Lifetables (period 5x1), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.03011	0.02934	0.14	100000	2934	97468	7247130	72.47
1959	1-4	0.00133	0.00529	1.58	97066	514	387021	7149662	73.66
1959	5-9	0.00049	0.00246	2.23	96552	238	482100	6762641	70.04
1959	10-14	0.00028	0.00138	2.31	96314	133	481211	6280541	65.21
1959	15-19	0.00047	0.00234	2.51	96181	225	480342	5799330	60.30
1959	20-24	0.00082	0.00411	2.41	95955	394	478753	5318987	55.43
1959	25-29	0.00104	0.00520	2.35	95561	497	476487	4840234	50.65
1959	30-34	0.00143	0.00711	2.78	95064	676	473816	4363747	45.90
1959	35-39	0.00202	0.01003	2.65	94388	947	469713	3889931	41.21
1959	40-44	0.00340	0.01687	2.62	93441	1576	463453	3420218	36.60
1959	45-49	0.00451	0.02230	2.62	91864	2049	454438	2956766	32.19
1959	50-54	0.00655	0.03224	2.65	89816	2895	442270	2502327	27.86
1959	55-59	0.01026	0.05013	2.73	86921	4358	424703	2060057	23.70
1959	60-64	0.01472	0.07119	2.7	82563	5877	399305	1635354	19.81
1959	65-69	0.02349	0.11137	2.67	76686	8540	363504	1236049	16.12
1959	70-74	0.03714	0.17059	2.62	68145	11625	313026	872546	12.80
1959	75-79	0.05782	0.25383	2.6	56521	14347	248127	559520	9.90
1959	80-84	0.09263	0.37680	2.53	42174	15891	171552	311393	7.38
1959	85-89	0.15869	0.55711	2.33	26283	14642	92271	139842	5.32
1959	90-94	0.21985	0.67720	2.17	11640	7883	35854	47570	4.09
1959	95-99	0.30252	0.79567	2.02	3757	2990	9883	11716	3.12
1959	100-104	0.40792	0.88536	1.8	768	680	1666	1833	2.39
1959	105-109	0.52266	0.93929	1.59	88	83	158	167	1.90
1959	110+	0.61654	1.00000	1.62	5	5	9	9	1.62
1960	0	0.02797	0.02731	0.13	100000	2731	97628	7215280	72.15
1960	1-4	0.00111	0.00442	1.6	97269	430	388044	7117652	73.17
1960	5-9	0.00053	0.00266	2.08	96839	258	483445	6729608	69.49
1960	10-14	0.00038	0.00188	2.5	96582	181	482456	6246163	64.67
1960	15-19	0.00061	0.00303	2.67	96400	292	481323	5763708	59.79
1960	20-24	0.00071	0.00352	2.17	96109	338	479586	5282385	54.96
1960	25-29	0.00111	0.00552	2.55	95770	529	477555	4802798	50.15
1960	30-34	0.00154	0.00767	2.7	95242	731	474524	4325243	45.41
1960	35-39	0.00236	0.01175	2.73	94511	1111	470033	3850719	40.74
1960	40-44	0.00327	0.01621	2.68	93400	1514	463483	3380686	36.20
1960	45-49	0.00433	0.02142	2.61	91886	1968	454722	2917202	31.75
1960	50-54	0.00718	0.03528	2.57	89918	3172	441895	2462481	27.39
1960	55-59	0.01032	0.05035	2.63	86746	4368	423357	2020585	23.29
1960	60-64	0.01620	0.07799	2.6	82378	6425	396489	1597229	19.39
1960	65-69	0.02496	0.11782	2.63	75953	8949	358566	1200740	15.81
1960	70-74	0.03824	0.17500	2.58	67005	11726	306612	842174	12.57
1960	75-79	0.06136	0.26734	2.59	55279	14778	240847	535562	9.69
1960	80-84	0.09833	0.39738	2.59	40501	16094	163681	294715	7.28
1960	85-89	0.15620	0.55248	2.35	24407	13484	86329	131034	5.37
1960	90-94	0.21858	0.67835	2.2	10922	7409	33897	44706	4.09
1960	95-99	0.30730	0.80082	2.01	3513	2813	9155	10809	3.08
1960	100-104	0.41254	0.88816	1.79	700	622	1507	1654	2.36
1960	105-109	0.52658	0.94053	1.58	78	74	140	147	1.88
1960	110+	0.61968	1.00000	1.61	5	5	8	8	1.61
1961	0	0.02749	0.02685	0.13	100000	2685	97664	7262748	72.63
1961	1-4	0.00119	0.00473	1.64	97315	461	388171	7165084	73.63
1961	5-9	0.00050	0.00250	2.11	96854	242	483572	6776913	69.97
1961	10-14	0.00035	0.00174	2.53	96612	168	482647	6293341	65.14
1961	15-19	0.00065	0.00322	2.71	96444	311	481511	5810694	60.25
1961	20-24	0.00088	0.00439	2.52	96134	422	479621	5329184	55.44
1961	25-29	0.00094	0.00471	2.66	95712	451	477506	4849563	50.67
1961	30-34	0.00145	0.00725	2.65	95261	690	474681	4372057	45.90
1961	35-39	0.00214	0.01064	2.65	94571	1006	470491	3897376	41.21
