PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NC,f,1960-1964,0,0.02741,0.02678,0.13,100000,2678,97670,7256561,72.57
NC,f,1960-1964,1-4,0.00110,0.00441,1.54,97322,429,388234,7158891,73.56
NC,f,1960-1964,5-9,0.00048,0.00241,2.18,96894,233,483810,6770656,69.88
NC,f,1960-1964,10-14,0.00035,0.00173,2.54,96660,167,482890,6286846,65.04
NC,f,1960-1964,15-19,0.00060,0.00300,2.71,96493,290,481801,5803956,60.15
NC,f,1960-1964,20-24,0.00079,0.00394,2.53,96203,380,480079,5322155,55.32
NC,f,1960-1964,25-29,0.00101,0.00502,2.59,95824,481,477962,4842075,50.53
NC,f,1960-1964,30-34,0.00149,0.00741,2.68,95343,706,475078,4364113,45.77
NC,f,1960-1964,35-39,0.00225,0.01120,2.71,94636,1060,470749,3889035,41.09
NC,f,1960-1964,40-44,0.00325,0.01612,2.64,93576,1508,464324,3418286,36.53
NC,f,1960-1964,45-49,0.00450,0.02227,2.63,92068,2050,455482,2953962,32.08
NC,f,1960-1964,50-54,0.00684,0.03365,2.62,90018,3029,442880,2498481,27.76
NC,f,1960-1964,55-59,0.00978,0.04784,2.68,86989,4161,425286,2055601,23.63
NC,f,1960-1964,60-64,0.01525,0.07364,2.66,82828,6099,399851,1630315,19.68
NC,f,1960-1964,65-69,0.02340,0.11077,2.6,76729,8500,363223,1230464,16.04
NC,f,1960-1964,70-74,0.03725,0.17096,2.6,68229,11664,313134,867241,12.71
NC,f,1960-1964,75-79,0.05796,0.25405,2.57,56565,14370,247949,554106,9.80
NC,f,1960-1964,80-84,0.09861,0.39689,2.54,42195,16747,169826,306158,7.26
NC,f,1960-1964,85-89,0.15506,0.55006,2.36,25448,13998,90275,136331,5.36
NC,f,1960-1964,90-94,0.22277,0.68600,2.2,11450,7855,35260,46057,4.02
NC,f,1960-1964,95-99,0.31562,0.81004,2,3595,2912,9228,10797,3.00
NC,f,1960-1964,100-104,0.42515,0.89601,1.77,683,612,1439,1569,2.30
NC,f,1960-1964,105-109,0.54282,0.94588,1.56,71,67,124,130,1.83
NC,f,1960-1964,110+,0.63821,1.00000,1.57,4,4,6,6,1.57
