NC: North Carolina, Lifetables (period 5x5), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.03568	0.03462	0.14	100000	3462	97026	6481079	64.81
1960-1964	1-4	0.00124	0.00496	1.56	96538	478	384988	6384054	66.13
1960-1964	5-9	0.00065	0.00324	2.35	96060	311	479475	5999066	62.45
1960-1964	10-14	0.00064	0.00320	2.66	95749	306	478026	5519591	57.65
1960-1964	15-19	0.00162	0.00806	2.85	95442	770	475554	5041565	52.82
1960-1964	20-24	0.00207	0.01029	2.47	94673	975	470898	4566011	48.23
1960-1964	25-29	0.00229	0.01138	2.47	93698	1066	465793	4095113	43.71
1960-1964	30-34	0.00280	0.01392	2.53	92632	1290	459971	3629321	39.18
1960-1964	35-39	0.00388	0.01921	2.68	91343	1755	452650	3169350	34.70
1960-1964	40-44	0.00604	0.02979	2.68	89588	2669	441740	2716700	30.32
1960-1964	45-49	0.00947	0.04631	2.65	86919	4025	425117	2274960	26.17
1960-1964	50-54	0.01453	0.07025	2.64	82894	5823	400703	1849843	22.32
1960-1964	55-59	0.02101	0.10002	2.62	77071	7709	366984	1449139	18.80
1960-1964	60-64	0.03064	0.14281	2.63	69362	9906	323293	1082156	15.60
1960-1964	65-69	0.04497	0.20218	2.51	59457	12021	267319	758863	12.76
1960-1964	70-74	0.06058	0.26313	2.5	47436	12482	206026	491544	10.36
1960-1964	75-79	0.08332	0.34420	2.48	34954	12031	144398	285518	8.17
1960-1964	80-84	0.12818	0.48216	2.43	22923	11052	86225	141120	6.16
1960-1964	85-89	0.18964	0.62085	2.22	11870	7370	38862	54895	4.62
1960-1964	90-94	0.26107	0.74011	2.07	4501	3331	12759	16033	3.56
1960-1964	95-99	0.34321	0.83501	1.93	1170	977	2846	3274	2.80
1960-1964	100-104	0.44203	0.90395	1.73	193	174	395	428	2.22
1960-1964	105-109	0.54589	0.94590	1.55	19	18	32	34	1.82
1960-1964	110+	0.62972	1.00000	1.59	1	1	2	2	1.59
1965-1969	0	0.03083	0.03002	0.13	100000	3002	97381	6467225	64.67
1965-1969	1-4	0.00117	0.00465	1.59	96998	452	386905	6369843	65.67
1965-1969	5-9	0.00061	0.00307	2.39	96546	296	481958	5982938	61.97
1965-1969	10-14	0.00063	0.00315	2.7	96250	304	480552	5500980	57.15
1965-1969	15-19	0.00176	0.00877	2.91	95946	841	477971	5020428	52.33
1965-1969	20-24	0.00246	0.01221	2.47	95105	1161	472592	4542457	47.76
1965-1969	25-29	0.00245	0.01219	2.57	93944	1146	466936	4069865	43.32
1965-1969	30-34	0.00296	0.01469	2.53	92798	1364	460628	3602929	38.83
1965-1969	35-39	0.00408	0.02019	2.63	91435	1846	452807	3142300	34.37
1965-1969	40-44	0.00648	0.03189	2.64	89589	2857	441190	2689493	30.02
1965-1969	45-49	0.00968	0.04732	2.69	86732	4104	424190	2248303	25.92
1965-1969	50-54	0.01477	0.07138	2.64	82627	5898	399239	1824113	22.08
1965-1969	55-59	0.02171	0.10320	2.62	76729	7918	364773	1424874	18.57
1965-1969	60-64	0.03124	0.14524	2.59	68811	9994	319941	1060101	15.41
1965-1969	65-69	0.04523	0.20365	2.56	58817	11978	264809	740160	12.58
1965-1969	70-74	0.06329	0.27362	2.53	46840	12816	202486	475351	10.15
1965-1969	75-79	0.08677	0.35503	2.44	34023	12079	139218	272865	8.02
1965-1969	80-84	0.12872	0.48342	2.43	21944	10608	82415	133648	6.09
1965-1969	85-89	0.19499	0.63408	2.24	11336	7188	36863	51233	4.52
1965-1969	90-94	0.26809	0.75311	2.09	4148	3124	11652	14370	3.46
1965-1969	95-99	0.36349	0.85305	1.89	1024	874	2403	2718	2.65
1965-1969	100-104	0.47085	0.91864	1.68	150	138	294	315	2.09
1965-1969	105-109	0.58140	0.95596	1.49	12	12	20	21	1.71
1965-1969	110+	0.66920	1.00000	1.49	1	1	1	1	1.49
