PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
ND,f,1960-1969,0,0.01865,0.01834,0.11,100000,1834,98359,7621480,76.21
ND,f,1960-1969,1,0.00113,0.00113,0.5,98166,111,98110,7523122,76.64
ND,f,1960-1969,2,0.00072,0.00072,0.5,98054,70,98019,7425012,75.72
ND,f,1960-1969,3,0.00054,0.00054,0.5,97984,53,97957,7326993,74.78
ND,f,1960-1969,4,0.00042,0.00042,0.5,97931,41,97910,7229035,73.82
ND,f,1960-1969,5,0.00047,0.00047,0.5,97889,46,97866,7131125,72.85
ND,f,1960-1969,6,0.00028,0.00028,0.5,97843,27,97830,7033259,71.88
ND,f,1960-1969,7,0.00040,0.00040,0.5,97816,39,97796,6935429,70.90
ND,f,1960-1969,8,0.00017,0.00017,0.5,97777,16,97769,6837633,69.93
ND,f,1960-1969,9,0.00027,0.00027,0.5,97761,26,97747,6739864,68.94
ND,f,1960-1969,10,0.00026,0.00026,0.5,97734,25,97722,6642117,67.96
ND,f,1960-1969,11,0.00025,0.00025,0.5,97709,24,97697,6544395,66.98
ND,f,1960-1969,12,0.00027,0.00027,0.5,97685,26,97672,6446698,65.99
ND,f,1960-1969,13,0.00034,0.00034,0.5,97659,33,97642,6349026,65.01
ND,f,1960-1969,14,0.00041,0.00041,0.5,97626,40,97606,6251384,64.03
ND,f,1960-1969,15,0.00038,0.00038,0.5,97586,37,97568,6153778,63.06
ND,f,1960-1969,16,0.00061,0.00061,0.5,97549,60,97519,6056210,62.08
ND,f,1960-1969,17,0.00059,0.00059,0.5,97490,57,97461,5958691,61.12
ND,f,1960-1969,18,0.00079,0.00079,0.5,97432,77,97394,5861230,60.16
ND,f,1960-1969,19,0.00068,0.00068,0.5,97356,66,97322,5763836,59.20
ND,f,1960-1969,20,0.00051,0.00051,0.5,97289,50,97265,5666514,58.24
ND,f,1960-1969,21,0.00064,0.00064,0.5,97240,62,97209,5569249,57.27
ND,f,1960-1969,22,0.00051,0.00051,0.5,97178,49,97153,5472041,56.31
ND,f,1960-1969,23,0.00046,0.00046,0.5,97128,45,97106,5374887,55.34
ND,f,1960-1969,24,0.00088,0.00088,0.5,97084,85,97041,5277782,54.36
ND,f,1960-1969,25,0.00066,0.00066,0.5,96998,64,96966,5180741,53.41
ND,f,1960-1969,26,0.00068,0.00068,0.5,96934,66,96901,5083774,52.45
ND,f,1960-1969,27,0.00038,0.00038,0.5,96868,37,96850,4986873,51.48
ND,f,1960-1969,28,0.00076,0.00076,0.5,96832,74,96795,4890023,50.50
ND,f,1960-1969,29,0.00065,0.00065,0.5,96758,63,96726,4793228,49.54
ND,f,1960-1969,30,0.00050,0.00050,0.5,96695,49,96671,4696502,48.57
ND,f,1960-1969,31,0.00074,0.00074,0.5,96647,71,96611,4599831,47.59
ND,f,1960-1969,32,0.00079,0.00079,0.5,96575,76,96537,4503220,46.63
ND,f,1960-1969,33,0.00117,0.00117,0.5,96499,113,96442,4406683,45.67
ND,f,1960-1969,34,0.00112,0.00112,0.5,96386,108,96332,4310240,44.72
ND,f,1960-1969,35,0.00109,0.00109,0.5,96278,105,96226,4213908,43.77
ND,f,1960-1969,36,0.00135,0.00135,0.5,96174,130,96109,4117682,42.82
ND,f,1960-1969,37,0.00106,0.00106,0.5,96044,101,95993,4021574,41.87
ND,f,1960-1969,38,0.00120,0.00120,0.5,95942,115,95884,3925581,40.92
ND,f,1960-1969,39,0.00144,0.00144,0.5,95827,138,95758,3829696,39.96
ND,f,1960-1969,40,0.00139,0.00139,0.5,95689,133,95623,3733938,39.02
ND,f,1960-1969,41,0.00178,0.00178,0.5,95556,170,95471,3638316,38.08
ND,f,1960-1969,42,0.00181,0.00181,0.5,95386,173,95300,3542845,37.14
