NE: Nebraska, Lifetables (period 5x1), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02442	0.02391	0.12	100000	2391	97888	7190281	71.90
1959	1-4	0.00094	0.00376	1.72	97609	367	389599	7092394	72.66
1959	5-9	0.00037	0.00183	2.32	97242	178	485734	6702795	68.93
1959	10-14	0.00048	0.00240	2.77	97064	233	484803	6217061	64.05
1959	15-19	0.00101	0.00505	2.84	96831	489	483103	5732258	59.20
1959	20-24	0.00117	0.00582	2.44	96342	561	480276	5249156	54.48
1959	25-29	0.00110	0.00551	1.97	95781	527	477310	4768879	49.79
1959	30-34	0.00132	0.00657	2.95	95254	626	474988	4291569	45.05
1959	35-39	0.00185	0.00919	2.51	94628	869	470973	3816581	40.33
1959	40-44	0.00274	0.01364	2.7	93758	1279	465845	3345608	35.68
1959	45-49	0.00436	0.02158	2.66	92480	1996	457734	2879762	31.14
1959	50-54	0.00707	0.03477	2.7	90484	3146	445169	2422028	26.77
1959	55-59	0.01032	0.05042	2.71	87338	4404	426612	1976859	22.63
1959	60-64	0.01677	0.08056	2.56	82934	6681	398389	1550247	18.69
1959	65-69	0.02619	0.12358	2.73	76253	9424	359850	1151858	15.11
1959	70-74	0.04249	0.19304	2.63	66829	12901	303629	792008	11.85
1959	75-79	0.06904	0.29493	2.53	53928	15905	230367	488380	9.06
1959	80-84	0.10713	0.42301	2.51	38023	16084	150134	258013	6.79
1959	85-89	0.17161	0.58776	2.32	21939	12895	75141	107879	4.92
1959	90-94	0.25210	0.73288	2.14	9044	6628	26292	32738	3.62
1959	95-99	0.35990	0.85213	1.91	2416	2059	5720	6446	2.67
1959	100-104	0.48429	0.92593	1.66	357	331	683	726	2.03
1959	105-109	0.61191	0.96368	1.45	26	26	42	43	1.63
1959	110+	0.71145	1.00000	1.41	1	1	1	1	1.41
1960	0	0.02257	0.02213	0.11	100000	2213	98033	7197188	71.97
1960	1-4	0.00088	0.00350	1.62	97787	342	390337	7099155	72.60
1960	5-9	0.00051	0.00255	2.39	97446	249	486579	6708818	68.85
1960	10-14	0.00036	0.00181	2.7	97197	176	485578	6222239	64.02
1960	15-19	0.00099	0.00492	2.74	97021	477	484023	5736661	59.13
1960	20-24	0.00099	0.00492	2.3	96543	475	481435	5252638	54.41
1960	25-29	0.00113	0.00563	2.72	96069	541	479113	4771203	49.66
1960	30-34	0.00137	0.00685	2.29	95528	654	475865	4292090	44.93
1960	35-39	0.00186	0.00927	2.6	94874	879	472263	3816224	40.22
1960	40-44	0.00258	0.01281	2.75	93995	1204	467259	3343961	35.58
1960	45-49	0.00461	0.02282	2.66	92790	2117	458997	2876703	31.00
1960	50-54	0.00797	0.03912	2.7	90673	3547	445220	2417705	26.66
1960	55-59	0.01094	0.05331	2.59	87126	4645	424448	1972485	22.64
1960	60-64	0.01677	0.08063	2.6	82482	6651	396480	1548037	18.77
1960	65-69	0.02722	0.12783	2.63	75831	9694	356185	1151557	15.19
1960	70-74	0.04090	0.18605	2.57	66137	12305	300832	795372	12.03
1960	75-79	0.06556	0.28253	2.56	53833	15209	232002	494540	9.19
1960	80-84	0.10590	0.41756	2.47	38623	16128	152297	262539	6.80
1960	85-89	0.16901	0.58096	2.31	22496	13069	77326	110242	4.90
1960	90-94	0.26218	0.74825	2.13	9427	7054	26903	32915	3.49
1960	95-99	0.38069	0.86923	1.87	2373	2063	5419	6012	2.53
1960	100-104	0.51595	0.93859	1.61	310	291	565	594	1.91
1960	105-109	0.65063	0.97109	1.39	19	19	28	29	1.53
1960	110+	0.75224	1.00000	1.33	1	1	1	1	1.33
1961	0	0.02343	0.02296	0.11	100000	2296	97965	7219129	72.19
1961	1-4	0.00084	0.00336	1.43	97704	329	389972	7121164	72.88
1961	5-9	0.00045	0.00223	2.17	97376	218	486263	6731192	69.13
1961	10-14	0.00028	0.00138	2.23	97158	134	485420	6244929	64.28
1961	15-19	0.00099	0.00493	2.72	97024	479	484028	5759510	59.36
1961	20-24	0.00111	0.00553	2.33	96546	534	481304	5275481	54.64
1961	25-29	0.00119	0.00594	2.38	96012	571	478563	4794177	49.93
1961	30-34	0.00153	0.00760	2.78	95442	725	475595	4315614	45.22
1961	35-39	0.00192	0.00958	2.96	94716	907	471733	3840018	40.54
1961	40-44	0.00271	0.01345	2.69	93809	1262	466135	3368286	35.91
1961	45-49	0.00482	0.02385	2.68	92547	2208	457619	2902151	31.36
1961	50-54	0.00702	0.03455	2.68	90340	3121	444472	2444531	27.06
1961	55-59	0.01096	0.05342	2.64	87218	4660	425093	2000060	22.93
1961	60-64	0.01643	0.07907	2.63	82559	6528	397319	1574966	19.08
1961	65-69	0.02604	0.12267	2.64	76031	9327	358141	1177648	15.49
1961	70-74	0.03823	0.17516	2.61	66705	11684	305632	819507	12.29
1961	75-79	0.06374	0.27472	2.49	55021	15115	237141	513875	9.34
1961	80-84	0.10295	0.40823	2.47	39906	16291	158244	276733	6.93
1961	85-89	0.16494	0.57623	2.39	23615	13608	82501	118490	5.02
1961	90-94	0.25300	0.73515	2.15	10007	7357	29078	35989	3.60
1961	95-99	0.36864	0.86011	1.9	2650	2280	6184	6911	2.61
1961	100-104	0.50277	0.93390	1.64	371	346	689	727	1.96
1961	105-109	0.63846	0.96906	1.41	25	24	37	38	1.56
1961	110+	0.74190	1.00000	1.35	1	1	1	1	1.35
1962	0	0.02106	0.02067	0.11	100000	2067	98153	7221449	72.21
1962	1-4	0.00077	0.00306	1.51	97933	300	390983	7123295	72.74
1962	5-9	0.00046	0.00228	2.29	97633	223	487563	6732312	68.96
1962	10-14	0.00040	0.00200	2.83	97410	194	486629	6244749	64.11
1962	15-19	0.00097	0.00484	2.67	97216	470	484982	5758120	59.23
1962	20-24	0.00141	0.00704	2.21	96746	681	481830	5273138	54.51
1962	25-29	0.00104	0.00519	2.81	96065	499	479231	4791309	49.88
1962	30-34	0.00133	0.00663	2.95	95566	634	476528	4312078	45.12
1962	35-39	0.00177	0.00880	2.72	94932	835	472759	3835550	40.40
1962	40-44	0.00302	0.01500	2.6	94097	1412	467102	3362791	35.74
1962	45-49	0.00482	0.02383	2.67	92685	2209	458280	2895689	31.24
1962	50-54	0.00742	0.03648	2.69	90476	3301	444753	2437409	26.94
1962	55-59	0.01031	0.05034	2.68	87176	4388	425684	1992656	22.86
1962	60-64	0.01701	0.08177	2.63	82787	6769	397885	1566972	18.93
1962	65-69	0.02485	0.11713	2.56	76018	8904	358340	1169086	15.38
1962	70-74	0.03964	0.18120	2.63	67114	12161	306804	810746	12.08
1962	75-79	0.06489	0.28024	2.57	54953	15400	237317	503942	9.17
1962	80-84	0.10667	0.41961	2.46	39553	16597	155589	266625	6.74
1962	85-89	0.17282	0.59029	2.32	22956	13551	78409	111037	4.84
1962	90-94	0.26459	0.75133	2.12	9405	7067	26708	32627	3.47
1962	95-99	0.38139	0.86936	1.87	2339	2033	5331	5919	2.53
1962	100-104	0.51285	0.93717	1.61	306	286	558	588	1.92
1962	105-109	0.64292	0.96959	1.4	19	19	29	30	1.55
1962	110+	0.74128	1.00000	1.35	1	1	1	1	1.35
1963	0	0.02170	0.02128	0.11	100000	2128	98103	7208818	72.09
1963	1-4	0.00101	0.00403	1.52	97872	395	390509	7110715	72.65
1963	5-9	0.00045	0.00226	2.29	97477	221	486787	6720206	68.94
1963	10-14	0.00050	0.00251	2.5	97256	244	485673	6233419	64.09
1963	15-19	0.00094	0.00467	2.86	97012	453	484091	5747746	59.25
1963	20-24	0.00114	0.00566	2.46	96559	546	481409	5263655	54.51
1963	25-29	0.00097	0.00483	2.73	96013	464	479009	4782246	49.81
1963	30-34	0.00122	0.00608	2.49	95549	581	476284	4303236	45.04
1963	35-39	0.00202	0.01003	2.75	94968	953	472696	3826952	40.30
1963	40-44	0.00285	0.01414	2.83	94015	1330	467190	3354256	35.68
1963	45-49	0.00441	0.02184	2.69	92685	2025	458757	2887067	31.15
1963	50-54	0.00707	0.03476	2.53	90661	3151	445516	2428309	26.78
1963	55-59	0.01128	0.05487	2.56	87509	4802	425818	1982793	22.66
1963	60-64	0.01702	0.08176	2.6	82708	6762	397288	1556975	18.83
1963	65-69	0.02558	0.12028	2.52	75946	9135	357101	1159687	15.27
1963	70-74	0.04047	0.18420	2.57	66811	12306	304095	802586	12.01
1963	75-79	0.06666	0.28586	2.51	54505	15581	233735	498491	9.15
1963	80-84	0.10303	0.41077	2.53	38924	15989	155188	264756	6.80
1963	85-89	0.17586	0.60110	2.37	22935	13786	78395	109568	4.78
1963	90-94	0.26912	0.75864	2.13	9149	6941	25790	31173	3.41
1963	95-99	0.39681	0.88136	1.85	2208	1946	4905	5383	2.44
1963	100-104	0.54139	0.94729	1.57	262	248	458	479	1.83
1963	105-109	0.68160	0.97593	1.34	14	13	20	20	1.46
1963	110+	0.78393	1.00000	1.28	0	0	0	0	1.28
1964	0	0.02250	0.02206	0.11	100000	2206	98038	7190661	71.91
1964	1-4	0.00088	0.00350	1.51	97794	342	390326	7092623	72.53
1964	5-9	0.00042	0.00212	2.38	97452	206	486721	6702297	68.78
1964	10-14	0.00043	0.00213	2.32	97246	207	485676	6215576	63.92
1964	15-19	0.00111	0.00553	2.86	97039	536	484050	5729900	59.05
1964	20-24	0.00120	0.00598	2.47	96503	577	481053	5245850	54.36
1964	25-29	0.00126	0.00630	2.6	95926	605	478180	4764797	49.67
1964	30-34	0.00151	0.00751	2.76	95321	716	475007	4286617	44.97
1964	35-39	0.00156	0.00775	2.64	94606	733	471301	3811610	40.29
1964	40-44	0.00308	0.01530	2.56	93872	1436	465853	3340309	35.58
1964	45-49	0.00482	0.02382	2.58	92436	2202	456863	2874456	31.10
1964	50-54	0.00773	0.03794	2.65	90234	3423	443114	2417593	26.79
1964	55-59	0.01142	0.05565	2.68	86811	4831	422852	1974479	22.74
1964	60-64	0.01760	0.08457	2.69	81980	6933	393897	1551628	18.93
1964	65-69	0.02611	0.12275	2.56	75048	9212	352763	1157731	15.43
1964	70-74	0.03929	0.17998	2.67	65836	11849	301582	804968	12.23
1964	75-79	0.06487	0.27936	2.52	53987	15082	232486	503386	9.32
1964	80-84	0.10276	0.40769	2.47	38905	15861	154345	270900	6.96
1964	85-89	0.16311	0.57048	2.37	23044	13146	80598	116555	5.06
1964	90-94	0.25022	0.73080	2.15	9898	7233	28908	35957	3.63
1964	95-99	0.36290	0.85527	1.91	2665	2279	6280	7049	2.65
1964	100-104	0.49394	0.93034	1.65	386	359	726	769	1.99
1964	105-109	0.62765	0.96703	1.42	27	26	41	43	1.59
1964	110+	0.73063	1.00000	1.37	1	1	1	1	1.37
1965	0	0.02201	0.02158	0.11	100000	2158	98078	7197952	71.98
