NE: Nebraska, Lifetables (period 1x10), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.01803	0.01775	0.1	100000	1775	98409	7593860	75.94
1960-1969	1	0.00133	0.00133	0.5	98225	131	98160	7495451	76.31
1960-1969	2	0.00075	0.00075	0.5	98094	73	98058	7397291	75.41
1960-1969	3	0.00061	0.00061	0.5	98021	60	97991	7299234	74.47
1960-1969	4	0.00055	0.00055	0.5	97962	54	97934	7201242	73.51
1960-1969	5	0.00046	0.00046	0.5	97907	45	97885	7103308	72.55
1960-1969	6	0.00044	0.00044	0.5	97862	43	97841	7005423	71.58
1960-1969	7	0.00032	0.00032	0.5	97819	32	97804	6907582	70.62
1960-1969	8	0.00041	0.00041	0.5	97788	40	97768	6809779	69.64
1960-1969	9	0.00028	0.00028	0.5	97748	27	97735	6712011	68.67
1960-1969	10	0.00025	0.00025	0.5	97721	24	97709	6614276	67.69
1960-1969	11	0.00032	0.00032	0.5	97697	31	97681	6516567	66.70
1960-1969	12	0.00030	0.00030	0.5	97666	29	97651	6418886	65.72
1960-1969	13	0.00036	0.00036	0.5	97637	35	97619	6321235	64.74
1960-1969	14	0.00026	0.00026	0.5	97601	25	97589	6223616	63.77
1960-1969	15	0.00042	0.00042	0.5	97576	41	97556	6126027	62.78
1960-1969	16	0.00045	0.00045	0.5	97535	44	97513	6028472	61.81
1960-1969	17	0.00062	0.00062	0.5	97491	61	97461	5930958	60.84
1960-1969	18	0.00068	0.00068	0.5	97431	67	97397	5833498	59.87
1960-1969	19	0.00068	0.00068	0.5	97364	67	97331	5736100	58.91
1960-1969	20	0.00073	0.00073	0.5	97297	71	97262	5638770	57.95
1960-1969	21	0.00067	0.00067	0.5	97226	65	97194	5541508	57.00
1960-1969	22	0.00057	0.00057	0.5	97161	55	97134	5444314	56.03
1960-1969	23	0.00052	0.00052	0.5	97106	50	97081	5347180	55.07
1960-1969	24	0.00069	0.00069	0.5	97056	67	97023	5250099	54.09
1960-1969	25	0.00061	0.00061	0.5	96989	59	96959	5153077	53.13
1960-1969	26	0.00064	0.00064	0.5	96930	62	96899	5056117	52.16
1960-1969	27	0.00065	0.00065	0.5	96868	63	96836	4959218	51.20
1960-1969	28	0.00054	0.00054	0.5	96805	52	96779	4862382	50.23
1960-1969	29	0.00093	0.00093	0.5	96753	90	96708	4765603	49.26
1960-1969	30	0.00076	0.00076	0.5	96662	74	96626	4668895	48.30
1960-1969	31	0.00078	0.00078	0.5	96589	76	96551	4572270	47.34
1960-1969	32	0.00098	0.00098	0.5	96513	94	96466	4475719	46.37
1960-1969	33	0.00116	0.00116	0.5	96419	112	96363	4379253	45.42
1960-1969	34	0.00129	0.00129	0.5	96307	124	96244	4282890	44.47
1960-1969	35	0.00126	0.00126	0.5	96182	121	96122	4186646	43.53
1960-1969	36	0.00127	0.00127	0.5	96061	122	96000	4090524	42.58
1960-1969	37	0.00128	0.00128	0.5	95939	123	95878	3994524	41.64
1960-1969	38	0.00162	0.00162	0.5	95816	155	95739	3898646	40.69
1960-1969	39	0.00176	0.00176	0.5	95661	168	95577	3802908	39.75
1960-1969	40	0.00173	0.00173	0.5	95493	165	95410	3707331	38.82
1960-1969	41	0.00203	0.00202	0.5	95328	193	95232	3611920	37.89
1960-1969	42	0.00239	0.00239	0.5	95135	227	95022	3516689	36.97
1960-1969	43	0.00220	0.00220	0.5	94908	209	94804	3421667	36.05
1960-1969	44	0.00260	0.00260	0.5	94699	246	94576	3326863	35.13
1960-1969	45	0.00278	0.00277	0.5	94453	262	94322	3232287	34.22
1960-1969	46	0.00319	0.00318	0.5	94191	300	94041	3137965	33.31
1960-1969	47	0.00322	0.00321	0.5	93892	302	93741	3043923	32.42
1960-1969	48	0.00339	0.00339	0.5	93590	317	93432	2950183	31.52
1960-1969	49	0.00403	0.00402	0.5	93273	375	93086	2856751	30.63
1960-1969	50	0.00429	0.00428	0.5	92898	398	92700	2763665	29.75
1960-1969	51	0.00467	0.00466	0.5	92501	431	92285	2670966	28.88
1960-1969	52	0.00510	0.00509	0.5	92069	469	91835	2578681	28.01
1960-1969	53	0.00544	0.00542	0.5	91601	497	91353	2486846	27.15
1960-1969	54	0.00553	0.00551	0.5	91104	502	90853	2395493	26.29
1960-1969	55	0.00539	0.00538	0.5	90602	487	90358	2304640	25.44
