NJ: New Jersey, Lifetables (period 1x5), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02423	0.02372	0.12	100000	2372	97902	7001626	70.02
1960-1964	1	0.00134	0.00134	0.5	97628	131	97562	6903724	70.71
1960-1964	2	0.00079	0.00079	0.5	97496	77	97458	6806162	69.81
1960-1964	3	0.00071	0.00071	0.5	97419	70	97385	6708704	68.86
1960-1964	4	0.00060	0.00060	0.5	97350	59	97321	6611320	67.91
1960-1964	5	0.00049	0.00049	0.5	97291	48	97267	6513999	66.95
1960-1964	6	0.00044	0.00044	0.5	97244	43	97222	6416731	65.99
1960-1964	7	0.00043	0.00043	0.5	97200	42	97179	6319509	65.02
1960-1964	8	0.00040	0.00040	0.5	97159	39	97139	6222330	64.04
1960-1964	9	0.00034	0.00034	0.5	97120	33	97103	6125191	63.07
1960-1964	10	0.00031	0.00031	0.5	97087	30	97072	6028088	62.09
1960-1964	11	0.00032	0.00032	0.5	97057	31	97041	5931016	61.11
1960-1964	12	0.00032	0.00032	0.5	97026	31	97010	5833975	60.13
1960-1964	13	0.00034	0.00034	0.5	96995	33	96979	5736964	59.15
1960-1964	14	0.00044	0.00044	0.5	96963	43	96941	5639985	58.17
1960-1964	15	0.00051	0.00051	0.5	96920	50	96895	5543044	57.19
1960-1964	16	0.00050	0.00050	0.5	96870	49	96846	5446149	56.22
1960-1964	17	0.00073	0.00073	0.5	96822	70	96787	5349303	55.25
1960-1964	18	0.00082	0.00082	0.5	96751	79	96712	5252517	54.29
1960-1964	19	0.00092	0.00092	0.5	96672	89	96627	5155805	53.33
1960-1964	20	0.00095	0.00095	0.5	96583	92	96537	5059177	52.38
1960-1964	21	0.00110	0.00109	0.5	96491	106	96438	4962640	51.43
1960-1964	22	0.00110	0.00110	0.5	96385	106	96332	4866202	50.49
1960-1964	23	0.00098	0.00098	0.5	96279	95	96232	4769870	49.54
1960-1964	24	0.00095	0.00095	0.5	96185	91	96139	4673638	48.59
1960-1964	25	0.00111	0.00111	0.5	96093	106	96040	4577499	47.64
