PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NJ,m,1960-1964,0,0.02746,0.02681,0.12,100000,2681,97637,6704643,67.05
NJ,m,1960-1964,1,0.00142,0.00142,0.5,97319,139,97249,6607006,67.89
NJ,m,1960-1964,2,0.00076,0.00076,0.5,97180,73,97143,6509756,66.99
NJ,m,1960-1964,3,0.00075,0.00075,0.5,97107,73,97070,6412613,66.04
NJ,m,1960-1964,4,0.00066,0.00066,0.5,97034,64,97002,6315543,65.09
NJ,m,1960-1964,5,0.00052,0.00052,0.5,96970,50,96945,6218540,64.13
NJ,m,1960-1964,6,0.00050,0.00050,0.5,96920,49,96895,6121595,63.16
NJ,m,1960-1964,7,0.00053,0.00053,0.5,96871,51,96845,6024700,62.19
NJ,m,1960-1964,8,0.00047,0.00047,0.5,96820,46,96797,5927855,61.23
NJ,m,1960-1964,9,0.00041,0.00041,0.5,96774,40,96754,5831058,60.25
NJ,m,1960-1964,10,0.00041,0.00040,0.5,96734,39,96714,5734304,59.28
NJ,m,1960-1964,11,0.00038,0.00038,0.5,96695,37,96676,5637590,58.30
NJ,m,1960-1964,12,0.00038,0.00038,0.5,96658,36,96639,5540914,57.33
NJ,m,1960-1964,13,0.00041,0.00041,0.5,96621,40,96601,5444274,56.35
NJ,m,1960-1964,14,0.00055,0.00055,0.5,96582,53,96555,5347673,55.37
NJ,m,1960-1964,15,0.00061,0.00061,0.5,96529,59,96499,5251118,54.40
NJ,m,1960-1964,16,0.00062,0.00062,0.5,96470,60,96440,5154619,53.43
NJ,m,1960-1964,17,0.00099,0.00099,0.5,96410,95,96362,5058179,52.47
NJ,m,1960-1964,18,0.00111,0.00111,0.5,96314,107,96261,4961817,51.52
NJ,m,1960-1964,19,0.00137,0.00136,0.5,96207,131,96142,4865556,50.57
NJ,m,1960-1964,20,0.00138,0.00138,0.5,96076,133,96010,4769415,49.64
NJ,m,1960-1964,21,0.00158,0.00158,0.5,95943,151,95868,4673405,48.71
NJ,m,1960-1964,22,0.00161,0.00161,0.5,95792,154,95715,4577537,47.79
NJ,m,1960-1964,23,0.00145,0.00145,0.5,95638,139,95568,4481823,46.86
NJ,m,1960-1964,24,0.00125,0.00125,0.5,95499,119,95439,4386254,45.93
NJ,m,1960-1964,25,0.00143,0.00143,0.5,95380,137,95312,4290815,44.99
NJ,m,1960-1964,26,0.00119,0.00119,0.5,95243,113,95187,4195503,44.05
NJ,m,1960-1964,27,0.00142,0.00142,0.5,95130,135,95063,4100316,43.10
NJ,m,1960-1964,28,0.00142,0.00142,0.5,94995,135,94927,4005253,42.16
NJ,m,1960-1964,29,0.00141,0.00140,0.5,94860,133,94793,3910326,41.22
NJ,m,1960-1964,30,0.00145,0.00145,0.5,94727,137,94658,3815533,40.28
NJ,m,1960-1964,31,0.00151,0.00151,0.5,94590,143,94518,3720874,39.34
NJ,m,1960-1964,32,0.00162,0.00162,0.5,94447,153,94370,3626356,38.40
NJ,m,1960-1964,33,0.00195,0.00195,0.5,94293,184,94202,3531986,37.46
NJ,m,1960-1964,34,0.00197,0.00196,0.5,94110,185,94017,3437785,36.53
NJ,m,1960-1964,35,0.00215,0.00215,0.5,93925,202,93824,3343767,35.60
NJ,m,1960-1964,36,0.00216,0.00216,0.5,93723,202,93622,3249943,34.68
NJ,m,1960-1964,37,0.00259,0.00259,0.5,93521,242,93400,3156321,33.75
NJ,m,1960-1964,38,0.00296,0.00295,0.5,93279,275,93142,3062921,32.84
NJ,m,1960-1964,39,0.00304,0.00303,0.5,93004,282,92863,2969779,31.93
NJ,m,1960-1964,40,0.00350,0.00349,0.5,92722,324,92560,2876916,31.03
NJ,m,1960-1964,41,0.00359,0.00359,0.5,92398,331,92232,2784357,30.13
NJ,m,1960-1964,42,0.00434,0.00434,0.5,92066,399,91867,2692125,29.24
NJ,m,1960-1964,43,0.00473,0.00472,0.5,91667,433,91451,2600258,28.37
NJ,m,1960-1964,44,0.00509,0.00507,0.5,91234,463,91003,2508807,27.50
NJ,m,1960-1964,45,0.00574,0.00573,0.5,90771,520,90512,2417804,26.64
NJ,m,1960-1964,46,0.00624,0.00623,0.5,90252,562,89971,2327293,25.79
NJ,m,1960-1964,47,0.00752,0.00749,0.5,89690,672,89354,2237322,24.95
NJ,m,1960-1964,48,0.00799,0.00796,0.5,89018,709,88663,2147968,24.13
NJ,m,1960-1964,49,0.00903,0.00899,0.5,88309,794,87912,2059305,23.32
NJ,m,1960-1964,50,0.00996,0.00991,0.5,87515,867,87081,1971393,22.53
NJ,m,1960-1964,51,0.01070,0.01065,0.5,86648,922,86187,1884312,21.75
NJ,m,1960-1964,52,0.01240,0.01233,0.5,85725,1057,85197,1798125,20.98
NJ,m,1960-1964,53,0.01358,0.01349,0.5,84669,1142,84098,1712928,20.23
NJ,m,1960-1964,54,0.01512,0.01500,0.5,83527,1253,82900,1628830,19.50
NJ,m,1960-1964,55,0.01603,0.01590,0.5,82274,1308,81619,1545930,18.79
NJ,m,1960-1964,56,0.01785,0.01769,0.5,80965,1432,80249,1464310,18.09
NJ,m,1960-1964,57,0.01928,0.01910,0.5,79533,1519,78774,1384061,17.40
NJ,m,1960-1964,58,0.02039,0.02018,0.5,78014,1575,77227,1305288,16.73
NJ,m,1960-1964,59,0.02248,0.02223,0.5,76440,1699,75590,1228061,16.07
