NM: New Mexico, Lifetables (period 1x10), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02554	0.02498	0.12	100000	2498	97813	7404071	74.04
1960-1969	1	0.00225	0.00225	0.5	97502	219	97392	7306259	74.93
1960-1969	2	0.00106	0.00106	0.5	97283	103	97231	7208867	74.10
1960-1969	3	0.00103	0.00103	0.5	97180	100	97129	7111635	73.18
1960-1969	4	0.00065	0.00065	0.5	97079	63	97048	7014506	72.26
1960-1969	5	0.00054	0.00054	0.5	97016	53	96990	6917458	71.30
1960-1969	6	0.00048	0.00048	0.5	96964	47	96940	6820468	70.34
1960-1969	7	0.00031	0.00031	0.5	96917	30	96902	6723528	69.37
1960-1969	8	0.00040	0.00040	0.5	96887	39	96867	6626626	68.40
1960-1969	9	0.00027	0.00027	0.5	96848	26	96835	6529759	67.42
1960-1969	10	0.00035	0.00035	0.5	96822	34	96805	6432924	66.44
1960-1969	11	0.00034	0.00034	0.5	96788	33	96772	6336119	65.46
1960-1969	12	0.00018	0.00018	0.5	96755	17	96747	6239348	64.49
1960-1969	13	0.00045	0.00045	0.5	96738	43	96716	6142601	63.50
1960-1969	14	0.00042	0.00042	0.5	96695	41	96674	6045885	62.53
1960-1969	15	0.00058	0.00058	0.5	96654	56	96626	5949210	61.55
1960-1969	16	0.00066	0.00066	0.5	96598	64	96566	5852584	60.59
1960-1969	17	0.00063	0.00063	0.5	96534	61	96504	5756018	59.63
1960-1969	18	0.00079	0.00079	0.5	96474	76	96436	5659514	58.66
1960-1969	19	0.00089	0.00089	0.5	96398	86	96355	5563078	57.71
1960-1969	20	0.00092	0.00092	0.5	96312	88	96268	5466723	56.76
1960-1969	21	0.00104	0.00104	0.5	96224	100	96174	5370455	55.81
1960-1969	22	0.00068	0.00068	0.5	96124	65	96091	5274282	54.87
1960-1969	23	0.00091	0.00091	0.5	96058	87	96014	5178191	53.91
1960-1969	24	0.00124	0.00124	0.5	95971	119	95911	5082177	52.96
1960-1969	25	0.00120	0.00120	0.5	95851	115	95794	4986266	52.02
1960-1969	26	0.00099	0.00099	0.5	95736	95	95689	4890472	51.08
1960-1969	27	0.00113	0.00113	0.5	95642	108	95588	4794783	50.13
1960-1969	28	0.00107	0.00107	0.5	95534	102	95483	4699195	49.19
1960-1969	29	0.00117	0.00117	0.5	95431	112	95376	4603712	48.24
1960-1969	30	0.00125	0.00125	0.5	95320	119	95260	4508337	47.30
1960-1969	31	0.00118	0.00118	0.5	95200	113	95144	4413077	46.36
1960-1969	32	0.00111	0.00111	0.5	95088	105	95035	4317933	45.41
1960-1969	33	0.00119	0.00119	0.5	94983	113	94926	4222898	44.46
1960-1969	34	0.00158	0.00158	0.5	94870	150	94795	4127971	43.51
1960-1969	35	0.00180	0.00180	0.5	94720	171	94635	4033176	42.58
1960-1969	36	0.00179	0.00179	0.5	94549	169	94465	3938542	41.66
1960-1969	37	0.00161	0.00161	0.5	94380	152	94304	3844077	40.73
1960-1969	38	0.00185	0.00184	0.5	94228	174	94141	3749773	39.79
1960-1969	39	0.00246	0.00246	0.5	94054	231	93939	3655631	38.87
1960-1969	40	0.00232	0.00232	0.5	93823	218	93714	3561693	37.96
1960-1969	41	0.00271	0.00270	0.5	93606	253	93479	3467978	37.05
1960-1969	42	0.00273	0.00272	0.5	93353	254	93226	3374499	36.15
1960-1969	43	0.00314	0.00313	0.5	93099	292	92953	3281273	35.25
1960-1969	44	0.00337	0.00336	0.5	92807	312	92651	3188321	34.35
1960-1969	45	0.00311	0.00310	0.5	92495	287	92351	3095670	33.47
