PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NM,f,1960-1964,0,0.02817,0.02749,0.13,100000,2749,97613,7352389,73.52
NM,f,1960-1964,1-4,0.00136,0.00542,1.5,97251,527,387685,7254776,74.60
NM,f,1960-1964,5-9,0.00041,0.00205,2.24,96723,198,483069,6867091,71.00
NM,f,1960-1964,10-14,0.00038,0.00189,2.51,96525,183,482171,6384022,66.14
NM,f,1960-1964,15-19,0.00073,0.00365,2.85,96342,352,480956,5901851,61.26
NM,f,1960-1964,20-24,0.00104,0.00520,2.54,95991,499,478727,5420895,56.47
NM,f,1960-1964,25-29,0.00113,0.00565,2.51,95492,540,476115,4942168,51.75
NM,f,1960-1964,30-34,0.00129,0.00641,2.53,94952,609,473255,4466053,47.03
NM,f,1960-1964,35-39,0.00197,0.00980,2.62,94343,924,469521,3992799,42.32
NM,f,1960-1964,40-44,0.00281,0.01396,2.63,93419,1304,464010,3523278,37.71
NM,f,1960-1964,45-49,0.00410,0.02030,2.63,92115,1870,456140,3059268,33.21
NM,f,1960-1964,50-54,0.00569,0.02805,2.63,90245,2531,445236,2603128,28.85
NM,f,1960-1964,55-59,0.00860,0.04213,2.63,87714,3696,429802,2157892,24.60
NM,f,1960-1964,60-64,0.01310,0.06358,2.68,84018,5341,407713,1728090,20.57
NM,f,1960-1964,65-69,0.02028,0.09661,2.56,78677,7601,374811,1320376,16.78
NM,f,1960-1964,70-74,0.03356,0.15570,2.68,71076,11066,329756,945565,13.30
NM,f,1960-1964,75-79,0.05277,0.23384,2.57,60009,14032,265920,615809,10.26
NM,f,1960-1964,80-84,0.09394,0.37977,2.48,45977,17461,185862,349888,7.61
NM,f,1960-1964,85-89,0.14069,0.51367,2.37,28516,14648,104118,164027,5.75
NM,f,1960-1964,90-94,0.20485,0.65353,2.23,13868,9063,44244,59908,4.32
NM,f,1960-1964,95-99,0.28776,0.77813,2.05,4805,3739,12993,15664,3.26
NM,f,1960-1964,100-104,0.38735,0.87119,1.84,1066,929,2398,2671,2.51
NM,f,1960-1964,105-109,0.49734,0.92982,1.63,137,128,257,273,1.99
NM,f,1960-1964,110+,0.58816,1.00000,1.7,10,10,16,16,1.70
NM,f,1965-1969,0,0.02215,0.02172,0.12,100000,2172,98078,7457488,74.57
NM,f,1965-1969,1-4,0.00111,0.00444,1.55,97828,435,390245,7359410,75.23
NM,f,1965-1969,5-9,0.00039,0.00196,2.14,97393,191,486420,6969165,71.56
NM,f,1965-1969,10-14,0.00032,0.00158,2.8,97202,153,485671,6482745,66.69
NM,f,1965-1969,15-19,0.00069,0.00345,2.58,97049,335,484430,5997074,61.79
NM,f,1965-1969,20-24,0.00089,0.00442,2.67,96713,428,482569,5512644,57.00
NM,f,1965-1969,25-29,0.00109,0.00544,2.49,96285,524,480113,5030075,52.24
