PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NV,b,1960-1969,0,0.02680,0.02619,0.12,100000,2619,97704,6840226,68.40
NV,b,1960-1969,1-4,0.00122,0.00488,1.67,97381,475,388419,6742522,69.24
NV,b,1960-1969,5-9,0.00052,0.00259,2.27,96906,251,483845,6354103,65.57
NV,b,1960-1969,10-14,0.00058,0.00290,2.79,96655,280,482655,5870258,60.73
NV,b,1960-1969,15-19,0.00135,0.00675,2.84,96374,650,480464,5387604,55.90
NV,b,1960-1969,20-24,0.00192,0.00953,2.44,95724,913,476284,4907140,51.26
NV,b,1960-1969,25-29,0.00180,0.00898,2.44,94811,851,471878,4430856,46.73
NV,b,1960-1969,30-34,0.00227,0.01131,2.56,93960,1063,467209,3958978,42.13
NV,b,1960-1969,35-39,0.00302,0.01501,2.65,92898,1395,461208,3491769,37.59
NV,b,1960-1969,40-44,0.00472,0.02335,2.62,91503,2137,452423,3030561,33.12
NV,b,1960-1969,45-49,0.00712,0.03503,2.73,89366,3130,439709,2578137,28.85
NV,b,1960-1969,50-54,0.01041,0.05079,2.59,86236,4380,420635,2138428,24.80
NV,b,1960-1969,55-59,0.01592,0.07662,2.57,81856,6272,394065,1717793,20.99
NV,b,1960-1969,60-64,0.02424,0.11453,2.6,75584,8656,357127,1323728,17.51
NV,b,1960-1969,65-69,0.03330,0.15403,2.57,66927,10309,309555,966601,14.44
NV,b,1960-1969,70-74,0.04998,0.22294,2.58,56618,12623,252574,657046,11.60
NV,b,1960-1969,75-79,0.07436,0.31324,2.49,43996,13781,185327,404472,9.19
NV,b,1960-1969,80-84,0.09717,0.39076,2.5,30214,11807,121498,219145,7.25
NV,b,1960-1969,85-89,0.15352,0.54671,2.37,18408,10064,65554,97647,5.30
NV,b,1960-1969,90-94,0.23377,0.70515,2.19,8344,5884,25170,32093,3.85
NV,b,1960-1969,95-99,0.33877,0.83402,1.96,2460,2052,6057,6923,2.81
NV,b,1960-1969,100-104,0.46246,0.91644,1.71,408,374,809,867,2.12
NV,b,1960-1969,105-109,0.59142,0.95927,1.48,34,33,55,57,1.68
NV,b,1960-1969,110+,0.69256,1.00000,1.44,1,1,2,2,1.44
NV,b,1970-1979,0,0.01770,0.01742,0.1,100000,1742,98427,7148951,71.49
NV,b,1970-1979,1-4,0.00079,0.00315,1.53,98258,310,392264,7050524,71.76
NV,b,1970-1979,5-9,0.00042,0.00209,2.21,97948,204,489169,6658259,67.98
NV,b,1970-1979,10-14,0.00042,0.00212,2.88,97744,207,488279,6169090,63.11
NV,b,1970-1979,15-19,0.00160,0.00799,2.87,97537,779,486023,5680811,58.24
NV,b,1970-1979,20-24,0.00171,0.00852,2.47,96757,825,481697,5194788,53.69
NV,b,1970-1979,25-29,0.00165,0.00820,2.54,95933,786,477729,4713091,49.13
NV,b,1970-1979,30-34,0.00178,0.00886,2.61,95147,843,473714,4235362,44.51
NV,b,1970-1979,35-39,0.00257,0.01278,2.58,94303,1206,468599,3761648,39.89
NV,b,1970-1979,40-44,0.00362,0.01796,2.67,93098,1672,461595,3293049,35.37
