NV: Nevada, Lifetables (period 5x5), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.03088	0.03007	0.13	100000	3007	97396	6785395	67.85
1960-1964	1-4	0.00146	0.00581	1.65	96993	563	386650	6687999	68.95
1960-1964	5-9	0.00057	0.00286	2.28	96429	276	481396	6301350	65.35
1960-1964	10-14	0.00055	0.00272	2.68	96153	262	480159	5819954	60.53
1960-1964	15-19	0.00119	0.00594	2.85	95891	569	478231	5339794	55.69
1960-1964	20-24	0.00191	0.00948	2.23	95322	904	474108	4861564	51.00
1960-1964	25-29	0.00188	0.00934	2.5	94418	882	469890	4387456	46.47
1960-1964	30-34	0.00226	0.01126	2.67	93536	1053	465227	3917566	41.88
1960-1964	35-39	0.00311	0.01542	2.67	92483	1426	459095	3452339	37.33
1960-1964	40-44	0.00482	0.02380	2.6	91057	2167	450091	2993244	32.87
1960-1964	45-49	0.00737	0.03626	2.71	88889	3223	437065	2543153	28.61
1960-1964	50-54	0.01092	0.05318	2.59	85666	4556	417335	2106088	24.58
1960-1964	55-59	0.01628	0.07829	2.57	81110	6351	390103	1688753	20.82
1960-1964	60-64	0.02444	0.11558	2.66	74760	8641	353538	1298650	17.37
1960-1964	65-69	0.03375	0.15582	2.54	66119	10303	305263	945111	14.29
1960-1964	70-74	0.05151	0.22932	2.61	55816	12800	248485	639848	11.46
1960-1964	75-79	0.07346	0.30990	2.48	43016	13331	181469	391363	9.10
1960-1964	80-84	0.10117	0.40323	2.48	29686	11970	118311	209894	7.07
1960-1964	85-89	0.15892	0.55949	2.36	17716	9912	62370	91584	5.17
1960-1964	90-94	0.24147	0.71735	2.17	7804	5598	23184	29214	3.74
1960-1964	95-99	0.34987	0.84418	1.94	2206	1862	5322	6030	2.73
1960-1964	100-104	0.47753	0.92346	1.68	344	317	665	708	2.06
1960-1964	105-109	0.60966	0.96341	1.45	26	25	42	43	1.63
1960-1964	110+	0.71246	1.00000	1.4	1	1	1	1	1.40
1965-1969	0	0.02299	0.02253	0.11	100000	2253	98002	6889816	68.90
1965-1969	1-4	0.00103	0.00410	1.7	97747	401	390066	6791814	69.48
1965-1969	5-9	0.00048	0.00239	2.27	97346	233	486094	6401748	65.76
1965-1969	10-14	0.00061	0.00303	2.87	97113	295	484938	5915654	60.92
1965-1969	15-19	0.00147	0.00733	2.82	96818	710	482548	5430716	56.09
1965-1969	20-24	0.00193	0.00960	2.58	96109	922	478311	4948168	51.49
1965-1969	25-29	0.00175	0.00871	2.39	95186	830	473770	4469857	46.96
1965-1969	30-34	0.00228	0.01133	2.48	94357	1069	469087	3996087	42.35
1965-1969	35-39	0.00295	0.01467	2.63	93288	1368	463196	3527000	37.81
1965-1969	40-44	0.00464	0.02297	2.63	91920	2111	454595	3063804	33.33
1965-1969	45-49	0.00692	0.03407	2.74	89808	3059	442122	2609209	29.05
1965-1969	50-54	0.01003	0.04896	2.6	86749	4247	423542	2167087	24.98
1965-1969	55-59	0.01565	0.07540	2.58	82502	6220	397454	1743545	21.13
1965-1969	60-64	0.02410	0.11378	2.56	76281	8679	360188	1346091	17.65
1965-1969	65-69	0.03297	0.15271	2.59	67602	10324	313098	985902	14.58
1965-1969	70-74	0.04876	0.21789	2.56	57278	12480	255935	672804	11.75
1965-1969	75-79	0.07511	0.31602	2.49	44798	14157	188476	416869	9.31
1965-1969	80-84	0.09304	0.37756	2.5	30641	11569	124338	228393	7.45
1965-1969	85-89	0.14756	0.53222	2.38	19072	10150	68789	104054	5.46
1965-1969	90-94	0.22583	0.69227	2.21	8922	6176	27349	35266	3.95
1965-1969	95-99	0.32936	0.82528	1.98	2745	2266	6879	7917	2.88
1965-1969	100-104	0.45293	0.91202	1.73	480	437	966	1038	2.16
1965-1969	105-109	0.58371	0.95760	1.49	42	40	69	72	1.70
1965-1969	110+	0.68746	1.00000	1.45	2	2	3	3	1.45
1970-1974	0	0.02119	0.02080	0.11	100000	2080	98143	7029116	70.29
1970-1974	1-4	0.00091	0.00363	1.52	97920	355	390801	6930972	70.78
1970-1974	5-9	0.00044	0.00222	2.25	97565	216	487231	6540171	67.03
1970-1974	10-14	0.00049	0.00245	2.91	97349	238	486246	6052940	62.18
1970-1974	15-19	0.00166	0.00826	2.84	97110	802	483818	5566694	57.32
1970-1974	20-24	0.00170	0.00847	2.34	96308	815	479377	5082876	52.78
1970-1974	25-29	0.00165	0.00823	2.48	95493	786	475483	4603499	48.21
1970-1974	30-34	0.00190	0.00944	2.61	94707	894	471398	4128016	43.59
1970-1974	35-39	0.00286	0.01418	2.56	93813	1330	465823	3656619	38.98
1970-1974	40-44	0.00405	0.02008	2.69	92482	1857	458129	3190796	34.50
1970-1974	45-49	0.00660	0.03250	2.58	90625	2946	445991	2732667	30.15
1970-1974	50-54	0.00875	0.04288	2.69	87679	3760	429727	2286676	26.08
1970-1974	55-59	0.01376	0.06663	2.62	83919	5592	406296	1856948	22.13
1970-1974	60-64	0.02055	0.09792	2.6	78327	7670	373200	1450652	18.52
1970-1974	65-69	0.02920	0.13645	2.6	70658	9641	330195	1077452	15.25
1970-1974	70-74	0.04845	0.21653	2.55	61017	13212	272688	747257	12.25
1970-1974	75-79	0.06675	0.28691	2.55	47805	13716	205478	474569	9.93
1970-1974	80-84	0.08558	0.35281	2.51	34089	12027	140543	269091	7.89
1970-1974	85-89	0.13460	0.49893	2.41	22062	11008	81781	128547	5.83
1970-1974	90-94	0.20698	0.65936	2.25	11055	7289	35216	46767	4.23
1970-1974	95-99	0.30635	0.80198	2.03	3766	3020	9858	11551	3.07
1970-1974	100-104	0.42967	0.90023	1.77	746	671	1562	1693	2.27
1970-1974	105-109	0.56469	0.95315	1.53	74	71	126	131	1.76
1970-1974	110+	0.67392	1.00000	1.48	3	3	5	5	1.48
1975-1979	0	0.01460	0.01440	0.09	100000	1440	98688	7244884	72.45
1975-1979	1-4	0.00068	0.00270	1.53	98560	266	393581	7146196	72.51
1975-1979	5-9	0.00039	0.00196	2.15	98294	193	490920	6752616	68.70
1975-1979	10-14	0.00036	0.00182	2.85	98101	178	490123	6261695	63.83
1975-1979	15-19	0.00156	0.00778	2.9	97923	762	488010	5771572	58.94
1975-1979	20-24	0.00172	0.00857	2.55	97161	833	483768	5283562	54.38
1975-1979	25-29	0.00164	0.00817	2.58	96328	787	479739	4799793	49.83
1975-1979	30-34	0.00170	0.00845	2.6	95541	807	475771	4320054	45.22
1975-1979	35-39	0.00236	0.01174	2.59	94734	1112	470991	3844283	40.58
1975-1979	40-44	0.00326	0.01619	2.64	93622	1515	464538	3373292	36.03
1975-1979	45-49	0.00511	0.02524	2.67	92106	2325	455106	2908754	31.58
