PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NY,m,1960-1969,0,0.02649,0.02589,0.12,100000,2589,97712,6671015,66.71
NY,m,1960-1969,1-4,0.00094,0.00373,1.68,97411,364,388802,6573303,67.48
NY,m,1960-1969,5-9,0.00048,0.00242,2.28,97048,235,484600,6184501,63.73
NY,m,1960-1969,10-14,0.00045,0.00225,2.71,96813,218,483566,5699901,58.88
NY,m,1960-1969,15-19,0.00120,0.00601,2.96,96595,580,481790,5216335,54.00
NY,m,1960-1969,20-24,0.00177,0.00883,2.48,96014,847,477938,4734545,49.31
NY,m,1960-1969,25-29,0.00179,0.00893,2.52,95167,850,473729,4256607,44.73
NY,m,1960-1969,30-34,0.00212,0.01053,2.58,94317,993,469183,3782878,40.11
NY,m,1960-1969,35-39,0.00303,0.01503,2.64,93324,1403,463313,3313695,35.51
NY,m,1960-1969,40-44,0.00471,0.02331,2.65,91921,2143,454568,2850383,31.01
NY,m,1960-1969,45-49,0.00748,0.03677,2.67,89778,3301,441199,2395815,26.69
NY,m,1960-1969,50-54,0.01221,0.05937,2.65,86477,5134,420332,1954615,22.60
NY,m,1960-1969,55-59,0.01910,0.09137,2.63,81343,7433,389101,1534283,18.86
NY,m,1960-1969,60-64,0.02926,0.13667,2.59,73911,10101,345222,1145183,15.49
NY,m,1960-1969,65-69,0.04327,0.19556,2.54,63809,12479,288395,799960,12.54
NY,m,1960-1969,70-74,0.06317,0.27317,2.53,51331,14022,221969,511565,9.97
NY,m,1960-1969,75-79,0.09052,0.36754,2.44,37308,13712,151480,289596,7.76
NY,m,1960-1969,80-84,0.13729,0.50506,2.38,23596,11917,86808,138116,5.85
NY,m,1960-1969,85-89,0.20056,0.64389,2.22,11679,7520,37494,51308,4.39
NY,m,1960-1969,90-94,0.28196,0.76971,2.05,4159,3201,11353,13814,3.32
NY,m,1960-1969,95-99,0.37674,0.86327,1.86,958,827,2195,2461,2.57
NY,m,1960-1969,100-104,0.48438,0.92446,1.66,131,121,250,266,2.04
NY,m,1960-1969,105-109,0.59395,0.95890,1.47,10,9,16,17,1.67
NY,m,1960-1969,110+,0.68042,1.00000,1.47,0,0,1,1,1.47
NY,m,1970-1979,0,0.01835,0.01805,0.09,100000,1805,98365,6843506,68.44
NY,m,1970-1979,1-4,0.00073,0.00291,1.73,98195,286,392129,6745141,68.69
NY,m,1970-1979,5-9,0.00039,0.00196,2.3,97909,192,489024,6353012,64.89
NY,m,1970-1979,10-14,0.00038,0.00192,2.76,97716,188,488162,5863988,60.01
NY,m,1970-1979,15-19,0.00129,0.00642,2.95,97529,626,486361,5375825,55.12
