OH: Ohio, Lifetables (period 5x10), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02219	0.02176	0.11	100000	2176	98063	7037571	70.38
1960-1969	1-4	0.00081	0.00323	1.65	97824	316	390554	6939508	70.94
1960-1969	5-9	0.00042	0.00208	2.28	97508	203	486987	6548954	67.16
1960-1969	10-14	0.00039	0.00197	2.67	97305	192	486076	6061967	62.30
1960-1969	15-19	0.00090	0.00449	2.82	97113	436	484616	5575891	57.42
1960-1969	20-24	0.00114	0.00567	2.51	96677	548	482020	5091275	52.66
1960-1969	25-29	0.00118	0.00590	2.54	96129	567	479245	4609254	47.95
1960-1969	30-34	0.00147	0.00731	2.62	95562	699	476143	4130009	43.22
1960-1969	35-39	0.00220	0.01092	2.67	94863	1036	471904	3653866	38.52
1960-1969	40-44	0.00350	0.01737	2.68	93827	1629	465357	3181963	33.91
1960-1969	45-49	0.00564	0.02783	2.68	92197	2566	455045	2716605	29.47
1960-1969	50-54	0.00915	0.04481	2.66	89632	4016	438772	2261560	25.23
1960-1969	55-59	0.01403	0.06790	2.65	85616	5814	414398	1822789	21.29
1960-1969	60-64	0.02116	0.10070	2.62	79802	8036	379857	1408390	17.65
1960-1969	65-69	0.03164	0.14702	2.6	71766	10551	333462	1028533	14.33
1960-1969	70-74	0.04805	0.21531	2.59	61215	13180	274278	695071	11.35
1960-1969	75-79	0.07299	0.30919	2.53	48035	14852	203488	420793	8.76
1960-1969	80-84	0.11381	0.44162	2.46	33183	14654	128766	217305	6.55
1960-1969	85-89	0.17757	0.60026	2.3	18529	11122	62634	88539	4.78
1960-1969	90-94	0.26294	0.74926	2.13	7407	5550	21106	25906	3.50
1960-1969	95-99	0.37299	0.86237	1.88	1857	1602	4294	4800	2.58
1960-1969	100-104	0.49778	0.93125	1.64	256	238	478	506	1.98
1960-1969	105-109	0.62423	0.96607	1.43	18	17	27	28	1.59
1960-1969	110+	0.72200	1.00000	1.39	1	1	1	1	1.39
1970-1979	0	0.01630	0.01606	0.09	100000	1606	98544	7200217	72.00
1970-1979	1-4	0.00066	0.00264	1.7	98394	259	392978	7101673	72.18
1970-1979	5-9	0.00036	0.00179	2.3	98135	176	490199	6708694	68.36
1970-1979	10-14	0.00035	0.00173	2.72	97959	170	489407	6218495	63.48
1970-1979	15-19	0.00095	0.00475	2.83	97789	464	487938	5729088	58.59
1970-1979	20-24	0.00127	0.00635	2.48	97325	618	485070	5241150	53.85
1970-1979	25-29	0.00119	0.00593	2.48	96708	574	482093	4756080	49.18
1970-1979	30-34	0.00136	0.00676	2.61	96134	650	479113	4273987	44.46
1970-1979	35-39	0.00197	0.00980	2.66	95484	936	475234	3794873	39.74
1970-1979	40-44	0.00316	0.01571	2.71	94548	1485	469333	3319639	35.11
1970-1979	45-49	0.00512	0.02529	2.67	93063	2354	459824	2850306	30.63
1970-1979	50-54	0.00812	0.03985	2.67	90709	3615	445125	2390482	26.35
1970-1979	55-59	0.01254	0.06090	2.65	87095	5304	423005	1945357	22.34
1970-1979	60-64	0.01937	0.09262	2.63	81790	7575	391006	1522352	18.61
1970-1979	65-69	0.02893	0.13528	2.6	74215	10040	347009	1131346	15.24
1970-1979	70-74	0.04273	0.19359	2.57	64175	12424	290748	784337	12.22
1970-1979	75-79	0.06515	0.28079	2.54	51752	14531	223030	493590	9.54
1970-1979	80-84	0.09815	0.39360	2.48	37220	14650	149253	270560	7.27
1970-1979	85-89	0.15158	0.54165	2.37	22570	12225	80652	121307	5.37
1970-1979	90-94	0.22872	0.69641	2.19	10345	7204	31499	40654	3.93
